icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label,head_neck_cancer,gi_cancer,colorectal_cancer,lung_cancer,bone_cancer,melanoma_cancer,breast_cancer,uterine_cervical_cancer,other_female_cancer,male_genital_cancer,urinary_cancer,brain_cancer,lymph_hem_cancer,other_cancer,benign_cancer,nonmelanoma_skin_cancer,uncertain_unspecified_cancer,carcinoma_in_situ_cancer
'1400',9,"malignant neoplasm of upper lip, vermilion border",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1401',9,"malignant neoplasm of lower lip, vermilion border",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1403',9,"malignant neoplasm of upper lip, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1404',9,"malignant neoplasm of lower lip, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1405',9,"malignant neoplasm of lip, unspecified, inner aspect",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1406',9,malignant neoplasm of commissure of lip,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1408',9,malignant neoplasm of other sites of lip,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1409',9,"malignant neoplasm of lip, unspecified, vermilion border",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1410',9,malignant neoplasm of base of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1411',9,malignant neoplasm of dorsal surface of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1412',9,malignant neoplasm of tip and lateral border of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1413',9,malignant neoplasm of ventral surface of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1414',9,"malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1415',9,malignant neoplasm of junctional zone of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1416',9,malignant neoplasm of lingual tonsil,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1418',9,malignant neoplasm of other sites of tongue,11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'1419',9,"malignant neoplasm of tongue, unspecified",11,(11) cancer of head and neck,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
