icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
'1700',9,"malignant neoplasm of bones of skull and face, except mandible",21,(21) cancer of bone and connective tissue
'1701',9,malignant neoplasm of mandible,21,(21) cancer of bone and connective tissue
'1702',9,"malignant neoplasm of vertebral column, excluding sacrum and coccyx",21,(21) cancer of bone and connective tissue
'1703',9,"malignant neoplasm of ribs, sternum, and clavicle",21,(21) cancer of bone and connective tissue
'1704',9,malignant neoplasm of scapula and long bones of upper limb,21,(21) cancer of bone and connective tissue
'1705',9,malignant neoplasm of short bones of upper limb,21,(21) cancer of bone and connective tissue
'1706',9,"malignant neoplasm of pelvic bones, sacrum, and coccyx",21,(21) cancer of bone and connective tissue
'1707',9,malignant neoplasm of long bones of lower limb,21,(21) cancer of bone and connective tissue
'1708',9,malignant neoplasm of short bones of lower limb,21,(21) cancer of bone and connective tissue
'1709',9,"malignant neoplasm of bone and articular cartilage, site unspecified",21,(21) cancer of bone and connective tissue
'1710',9,"malignant neoplasm of connective and other soft tissue of head, face, and neck",21,(21) cancer of bone and connective tissue
'1712',9,"malignant neoplasm of connective and other soft tissue of upper limb, including shoulder",21,(21) cancer of bone and connective tissue
'1713',9,"malignant neoplasm of connective and other soft tissue of lower limb, including hip",21,(21) cancer of bone and connective tissue
'1714',9,malignant neoplasm of connective and other soft tissue of thorax,21,(21) cancer of bone and connective tissue
'1715',9,malignant neoplasm of connective and other soft tissue of abdomen,21,(21) cancer of bone and connective tissue
'1716',9,malignant neoplasm of connective and other soft tissue of pelvis,21,(21) cancer of bone and connective tissue
'1717',9,"malignant neoplasm of connective and other soft tissue of trunk, unspecified",21,(21) cancer of bone and connective tissue
'1718',9,malignant neoplasm of other specified sites of connective and other soft tissue,21,(21) cancer of bone and connective tissue
'1719',9,"malignant neoplasm of connective and other soft tissue, site unspecified",21,(21) cancer of bone and connective tissue
'C4000',10,malignant neoplasm of scapula and long bones of unspecified upper limb,21,(21) cancer of bone and connective tissue
'C4001',10,malignant neoplasm of scapula and long bones of right upper limb,21,(21) cancer of bone and connective tissue
'C4002',10,malignant neoplasm of scapula and long bones of left upper limb,21,(21) cancer of bone and connective tissue
'C4010',10,malignant neoplasm of short bones of unspecified upper limb,21,(21) cancer of bone and connective tissue
'C4011',10,malignant neoplasm of short bones of right upper limb,21,(21) cancer of bone and connective tissue
'C4012',10,malignant neoplasm of short bones of left upper limb,21,(21) cancer of bone and connective tissue
'C4020',10,malignant neoplasm of long bones of unspecified lower limb,21,(21) cancer of bone and connective tissue
'C4021',10,malignant neoplasm of long bones of right lower limb,21,(21) cancer of bone and connective tissue
'C4022',10,malignant neoplasm of long bones of left lower limb,21,(21) cancer of bone and connective tissue
'C4030',10,malignant neoplasm of short bones of unspecified lower limb,21,(21) cancer of bone and connective tissue
'C4031',10,malignant neoplasm of short bones of right lower limb,21,(21) cancer of bone and connective tissue
'C4032',10,malignant neoplasm of short bones of left lower limb,21,(21) cancer of bone and connective tissue
'C4080',10,malignant neoplasm of overlapping sites of bone and articular cartilage of unspecified limb,21,(21) cancer of bone and connective tissue
'C4081',10,malignant neoplasm of overlapping sites of bone and articular cartilage of right limb,21,(21) cancer of bone and connective tissue
'C4082',10,malignant neoplasm of overlapping sites of bone and articular cartilage of left limb,21,(21) cancer of bone and connective tissue
'C4090',10,malignant neoplasm of unspecified bones and articular cartilage of unspecified limb,21,(21) cancer of bone and connective tissue
'C4091',10,malignant neoplasm of unspecified bones and articular cartilage of right limb,21,(21) cancer of bone and connective tissue
'C4092',10,malignant neoplasm of unspecified bones and articular cartilage of left limb,21,(21) cancer of bone and connective tissue
'C410',10,malignant neoplasm of bones of skull and face,21,(21) cancer of bone and connective tissue
'C411',10,malignant neoplasm of mandible,21,(21) cancer of bone and connective tissue
'C412',10,malignant neoplasm of vertebral column,21,(21) cancer of bone and connective tissue
'C413',10,"malignant neoplasm of ribs, sternum and clavicle",21,(21) cancer of bone and connective tissue
'C414',10,"malignant neoplasm of pelvic bones, sacrum and coccyx",21,(21) cancer of bone and connective tissue
'C419',10,"malignant neoplasm of bone and articular cartilage, unspecified",21,(21) cancer of bone and connective tissue
'C490',10,"malignant neoplasm of connective and soft tissue of head, face and neck",21,(21) cancer of bone and connective tissue
'C4910',10,"malignant neoplasm of connective and soft tissue of unspecified upper limb, including shoulder",21,(21) cancer of bone and connective tissue
'C4911',10,"malignant neoplasm of connective and soft tissue of right upper limb, including shoulder",21,(21) cancer of bone and connective tissue
'C4912',10,"malignant neoplasm of connective and soft tissue of left upper limb, including shoulder",21,(21) cancer of bone and connective tissue
'C4920',10,"malignant neoplasm of connective and soft tissue of unspecified lower limb, including hip",21,(21) cancer of bone and connective tissue
'C4921',10,"malignant neoplasm of connective and soft tissue of right lower limb, including hip",21,(21) cancer of bone and connective tissue
'C4922',10,"malignant neoplasm of connective and soft tissue of left lower limb, including hip",21,(21) cancer of bone and connective tissue
'C493',10,malignant neoplasm of connective and soft tissue of thorax,21,(21) cancer of bone and connective tissue
'C494',10,malignant neoplasm of connective and soft tissue of abdomen,21,(21) cancer of bone and connective tissue
'C495',10,malignant neoplasm of connective and soft tissue of pelvis,21,(21) cancer of bone and connective tissue
'C496',10,"malignant neoplasm of connective and soft tissue of trunk, unspecified",21,(21) cancer of bone and connective tissue
'C498',10,malignant neoplasm of overlapping sites of connective and soft tissue,21,(21) cancer of bone and connective tissue
'C499',10,"malignant neoplasm of connective and soft tissue, unspecified",21,(21) cancer of bone and connective tissue
