icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
'1740',9,malignant neoplasm of nipple and areola of female breast,24,(24) cancer of breast
'1741',9,malignant neoplasm of central portion of female breast,24,(24) cancer of breast
'1742',9,malignant neoplasm of upper-inner quadrant of female breast,24,(24) cancer of breast
'1743',9,malignant neoplasm of lower-inner quadrant of female breast,24,(24) cancer of breast
'1744',9,malignant neoplasm of upper-outer quadrant of female breast,24,(24) cancer of breast
'1745',9,malignant neoplasm of lower-outer quadrant of female breast,24,(24) cancer of breast
'1746',9,malignant neoplasm of axillary tail of female breast,24,(24) cancer of breast
'1748',9,malignant neoplasm of other specified sites of female breast,24,(24) cancer of breast
'1749',9,"malignant neoplasm of breast (female), unspecified",24,(24) cancer of breast
'1750',9,malignant neoplasm of nipple and areola of male breast,24,(24) cancer of breast
'1759',9,malignant neoplasm of other and unspecified sites of male breast,24,(24) cancer of breast
'V103',9,personal history of malignant neoplasm of breast,24,(24) cancer of breast
'C50011',10,"malignant neoplasm of nipple and areola, right female breast",24,(24) cancer of breast
'C50012',10,"malignant neoplasm of nipple and areola, left female breast",24,(24) cancer of breast
'C50019',10,"malignant neoplasm of nipple and areola, unspecified female breast",24,(24) cancer of breast
'C50021',10,"malignant neoplasm of nipple and areola, right male breast",24,(24) cancer of breast
'C50022',10,"malignant neoplasm of nipple and areola, left male breast",24,(24) cancer of breast
'C50029',10,"malignant neoplasm of nipple and areola, unspecified male breast",24,(24) cancer of breast
'C50111',10,malignant neoplasm of central portion of right female breast,24,(24) cancer of breast
'C50112',10,malignant neoplasm of central portion of left female breast,24,(24) cancer of breast
'C50119',10,malignant neoplasm of central portion of unspecified female breast,24,(24) cancer of breast
'C50121',10,malignant neoplasm of central portion of right male breast,24,(24) cancer of breast
'C50122',10,malignant neoplasm of central portion of left male breast,24,(24) cancer of breast
'C50129',10,malignant neoplasm of central portion of unspecified male breast,24,(24) cancer of breast
'C50211',10,malignant neoplasm of upper-inner quadrant of right female breast,24,(24) cancer of breast
'C50212',10,malignant neoplasm of upper-inner quadrant of left female breast,24,(24) cancer of breast
'C50219',10,malignant neoplasm of upper-inner quadrant of unspecified female breast,24,(24) cancer of breast
'C50221',10,malignant neoplasm of upper-inner quadrant of right male breast,24,(24) cancer of breast
