icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
'1500',9,malignant neoplasm of cervical esophagus,12,(12) cancer of esophagus
'1501',9,malignant neoplasm of thoracic esophagus,12,(12) cancer of esophagus
'1502',9,malignant neoplasm of abdominal esophagus,12,(12) cancer of esophagus
'1503',9,malignant neoplasm of upper third of esophagus,12,(12) cancer of esophagus
'1504',9,malignant neoplasm of middle third of esophagus,12,(12) cancer of esophagus
'1505',9,malignant neoplasm of lower third of esophagus,12,(12) cancer of esophagus
'1508',9,malignant neoplasm of other specified part of esophagus,12,(12) cancer of esophagus
'1509',9,"malignant neoplasm of esophagus, unspecified site",12,(12) cancer of esophagus
'V1003',9,personal history of malignant neoplasm of esophagus,12,(12) cancer of esophagus
'C153',10,malignant neoplasm of upper third of esophagus,12,(12) cancer of esophagus
'C154',10,malignant neoplasm of middle third of esophagus,12,(12) cancer of esophagus
'C155',10,malignant neoplasm of lower third of esophagus,12,(12) cancer of esophagus
'C158',10,malignant neoplasm of overlapping sites of esophagus,12,(12) cancer of esophagus
'C159',10,"malignant neoplasm of esophagus, unspecified",12,(12) cancer of esophagus
'C49A1',10,gastrointestinal stromal tumor of esophagus,12,(12) cancer of esophagus
'Z8501',10,personal history of malignant neoplasm of esophagus,12,(12) cancer of esophagus
'1510',9,malignant neoplasm of cardia,13,(13) cancer of stomach
'1511',9,malignant neoplasm of pylorus,13,(13) cancer of stomach
'1512',9,malignant neoplasm of pyloric antrum,13,(13) cancer of stomach
'1513',9,malignant neoplasm of fundus of stomach,13,(13) cancer of stomach
'1514',9,malignant neoplasm of body of stomach,13,(13) cancer of stomach
'1515',9,"malignant neoplasm of lesser curvature of stomach, unspecified",13,(13) cancer of stomach
'1516',9,"malignant neoplasm of greater curvature of stomach, unspecified",13,(13) cancer of stomach
'1518',9,malignant neoplasm of other specified sites of stomach,13,(13) cancer of stomach
'1519',9,"malignant neoplasm of stomach, unspecified site",13,(13) cancer of stomach
'20923',9,malignant carcinoid tumor of the stomach,13,(13) cancer of stomach
'V1004',9,personal history of malignant neoplasm of stomach,13,(13) cancer of stomach
'C160',10,malignant neoplasm of cardia,13,(13) cancer of stomach
'C161',10,malignant neoplasm of fundus of stomach,13,(13) cancer of stomach
'C162',10,malignant neoplasm of body of stomach,13,(13) cancer of stomach
'C163',10,malignant neoplasm of pyloric antrum,13,(13) cancer of stomach
'C164',10,malignant neoplasm of pylorus,13,(13) cancer of stomach
'C165',10,"malignant neoplasm of lesser curvature of stomach, unspecified",13,(13) cancer of stomach
'C166',10,"malignant neoplasm of greater curvature of stomach, unspecified",13,(13) cancer of stomach
'C168',10,malignant neoplasm of overlapping sites of stomach,13,(13) cancer of stomach
'C169',10,"malignant neoplasm of stomach, unspecified",13,(13) cancer of stomach
'C49A2',10,gastrointestinal stromal tumor of stomach,13,(13) cancer of stomach
'C49A3',10,gastrointestinal stromal tumor of small intestine,13,(13) cancer of stomach
'C7A092',10,malignant carcinoid tumor of the stomach,13,(13) cancer of stomach
'Z85028',10,personal history of other malignant neoplasm of stomach,13,(13) cancer of stomach
'1550',9,"malignant neoplasm of liver, primary",16,(16) cancer of liver and intrahepatic bile duct
'1551',9,malignant neoplasm of intrahepatic bile ducts,16,(16) cancer of liver and intrahepatic bile duct
'1552',9,"malignant neoplasm of liver, not specified as primary or secondary",16,(16) cancer of liver and intrahepatic bile duct
'V1007',9,personal history of malignant neoplasm of liver,16,(16) cancer of liver and intrahepatic bile duct
'C220',10,liver cell carcinoma,16,(16) cancer of liver and intrahepatic bile duct
'C221',10,intrahepatic bile duct carcinoma,16,(16) cancer of liver and intrahepatic bile duct
'C222',10,hepatoblastoma,16,(16) cancer of liver and intrahepatic bile duct
'C223',10,angiosarcoma of liver,16,(16) cancer of liver and intrahepatic bile duct
'C224',10,other sarcomas of liver,16,(16) cancer of liver and intrahepatic bile duct
'C227',10,other specified carcinomas of liver,16,(16) cancer of liver and intrahepatic bile duct
'C228',10,"malignant neoplasm of liver, primary, unspecified as to type",16,(16) cancer of liver and intrahepatic bile duct
'C229',10,"malignant neoplasm of liver, not specified as primary or secondary",16,(16) cancer of liver and intrahepatic bile duct
'Z8505',10,personal history of malignant neoplasm of liver,16,(16) cancer of liver and intrahepatic bile duct
'1570',9,malignant neoplasm of head of pancreas,17,(17) cancer of pancreas
'1571',9,malignant neoplasm of body of pancreas,17,(17) cancer of pancreas
'1572',9,malignant neoplasm of tail of pancreas,17,(17) cancer of pancreas
'1573',9,malignant neoplasm of pancreatic duct,17,(17) cancer of pancreas
'1574',9,malignant neoplasm of islets of langerhans,17,(17) cancer of pancreas
'1578',9,malignant neoplasm of other specified sites of pancreas,17,(17) cancer of pancreas
'1579',9,"malignant neoplasm of pancreas, part unspecified",17,(17) cancer of pancreas
'C250',10,malignant neoplasm of head of pancreas,17,(17) cancer of pancreas
'C251',10,malignant neoplasm of body of pancreas,17,(17) cancer of pancreas
'C252',10,malignant neoplasm of tail of pancreas,17,(17) cancer of pancreas
'C253',10,malignant neoplasm of pancreatic duct,17,(17) cancer of pancreas
'C254',10,malignant neoplasm of endocrine pancreas,17,(17) cancer of pancreas
'C257',10,malignant neoplasm of other parts of pancreas,17,(17) cancer of pancreas
'C258',10,malignant neoplasm of overlapping sites of pancreas,17,(17) cancer of pancreas
'C259',10,"malignant neoplasm of pancreas, unspecified",17,(17) cancer of pancreas
'1520',9,malignant neoplasm of duodenum,18,(18) cancer of other gi organs; peritoneum
