icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
'1400',9,"malignant neoplasm of upper lip, vermilion border",11,(11) cancer of head and neck
'1401',9,"malignant neoplasm of lower lip, vermilion border",11,(11) cancer of head and neck
'1403',9,"malignant neoplasm of upper lip, inner aspect",11,(11) cancer of head and neck
'1404',9,"malignant neoplasm of lower lip, inner aspect",11,(11) cancer of head and neck
'1405',9,"malignant neoplasm of lip, unspecified, inner aspect",11,(11) cancer of head and neck
'1406',9,malignant neoplasm of commissure of lip,11,(11) cancer of head and neck
'1408',9,malignant neoplasm of other sites of lip,11,(11) cancer of head and neck
'1409',9,"malignant neoplasm of lip, unspecified, vermilion border",11,(11) cancer of head and neck
'1410',9,malignant neoplasm of base of tongue,11,(11) cancer of head and neck
'1411',9,malignant neoplasm of dorsal surface of tongue,11,(11) cancer of head and neck
'1412',9,malignant neoplasm of tip and lateral border of tongue,11,(11) cancer of head and neck
'1413',9,malignant neoplasm of ventral surface of tongue,11,(11) cancer of head and neck
'1414',9,"malignant neoplasm of anterior two-thirds of tongue, part unspecified",11,(11) cancer of head and neck
'1415',9,malignant neoplasm of junctional zone of tongue,11,(11) cancer of head and neck
'1416',9,malignant neoplasm of lingual tonsil,11,(11) cancer of head and neck
'1418',9,malignant neoplasm of other sites of tongue,11,(11) cancer of head and neck
'1419',9,"malignant neoplasm of tongue, unspecified",11,(11) cancer of head and neck
'1420',9,malignant neoplasm of parotid gland,11,(11) cancer of head and neck
'1421',9,malignant neoplasm of submandibular gland,11,(11) cancer of head and neck
'1422',9,malignant neoplasm of sublingual gland,11,(11) cancer of head and neck
'1428',9,malignant neoplasm of other major salivary glands,11,(11) cancer of head and neck
'1429',9,"malignant neoplasm of salivary gland, unspecified",11,(11) cancer of head and neck
'1430',9,malignant neoplasm of upper gum,11,(11) cancer of head and neck
'1431',9,malignant neoplasm of lower gum,11,(11) cancer of head and neck
'1438',9,malignant neoplasm of other sites of gum,11,(11) cancer of head and neck
'1439',9,"malignant neoplasm of gum, unspecified",11,(11) cancer of head and neck
'1440',9,malignant neoplasm of anterior portion of floor of mouth,11,(11) cancer of head and neck
'1441',9,malignant neoplasm of lateral portion of floor of mouth,11,(11) cancer of head and neck
'1448',9,malignant neoplasm of other sites of floor of mouth,11,(11) cancer of head and neck
'1449',9,"malignant neoplasm of floor of mouth, part unspecified",11,(11) cancer of head and neck
'1450',9,malignant neoplasm of cheek mucosa,11,(11) cancer of head and neck
'1451',9,malignant neoplasm of vestibule of mouth,11,(11) cancer of head and neck
'1452',9,malignant neoplasm of hard palate,11,(11) cancer of head and neck
'1453',9,malignant neoplasm of soft palate,11,(11) cancer of head and neck
'1454',9,malignant neoplasm of uvula,11,(11) cancer of head and neck
'1455',9,"malignant neoplasm of palate, unspecified",11,(11) cancer of head and neck
'1456',9,malignant neoplasm of retromolar area,11,(11) cancer of head and neck
'1458',9,malignant neoplasm of other specified parts of mouth,11,(11) cancer of head and neck
'1459',9,"malignant neoplasm of mouth, unspecified",11,(11) cancer of head and neck
'1460',9,malignant neoplasm of tonsil,11,(11) cancer of head and neck
'1461',9,malignant neoplasm of tonsillar fossa,11,(11) cancer of head and neck
