icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
'20100',9,"hodgkin's paragranuloma, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20101',9,"hodgkin's paragranuloma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20102',9,"hodgkin's paragranuloma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20103',9,"hodgkin's paragranuloma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20104',9,"hodgkin's paragranuloma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20105',9,"hodgkin's paragranuloma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20106',9,"hodgkin's paragranuloma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20107',9,"hodgkin's paragranuloma, spleen",37,(37) hodgkin`s disease
'20108',9,"hodgkin's paragranuloma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20110',9,"hodgkin's granuloma, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20111',9,"hodgkin's granuloma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20112',9,"hodgkin's granuloma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20113',9,"hodgkin's granuloma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20114',9,"hodgkin's granuloma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20115',9,"hodgkin's granuloma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20116',9,"hodgkin's granuloma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20117',9,"hodgkin's granuloma, spleen",37,(37) hodgkin`s disease
'20118',9,"hodgkin's granuloma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20120',9,"hodgkin's sarcoma, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20121',9,"hodgkin's sarcoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20122',9,"hodgkin's sarcoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20123',9,"hodgkin's sarcoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20124',9,"hodgkin's sarcoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20125',9,"hodgkin's sarcoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20126',9,"hodgkin's sarcoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20127',9,"hodgkin's sarcoma, spleen",37,(37) hodgkin`s disease
'20128',9,"hodgkin's sarcoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20140',9,"hodgkin's disease, lymphocytic-histiocytic predominance, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20141',9,"hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20142',9,"hodgkin's disease, lymphocytic-histiocytic predominance, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20143',9,"hodgkin's disease, lymphocytic-histiocytic predominance, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20144',9,"hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20145',9,"hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20146',9,"hodgkin's disease, lymphocytic-histiocytic predominance, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20147',9,"hodgkin's disease, lymphocytic-histiocytic predominance, spleen",37,(37) hodgkin`s disease
'20148',9,"hodgkin's disease, lymphocytic-histiocytic predominance, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20150',9,"hodgkin's disease, nodular sclerosis, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20151',9,"hodgkin's disease, nodular sclerosis, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20152',9,"hodgkin's disease, nodular sclerosis, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20153',9,"hodgkin's disease, nodular sclerosis, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20154',9,"hodgkin's disease, nodular sclerosis, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20155',9,"hodgkin's disease, nodular sclerosis, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20156',9,"hodgkin's disease, nodular sclerosis, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20157',9,"hodgkin's disease, nodular sclerosis, spleen",37,(37) hodgkin`s disease
'20158',9,"hodgkin's disease, nodular sclerosis, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20160',9,"hodgkin's disease, mixed cellularity, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20161',9,"hodgkin's disease, mixed cellularity, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20162',9,"hodgkin's disease, mixed cellularity, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20163',9,"hodgkin's disease, mixed cellularity, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20164',9,"hodgkin's disease, mixed cellularity, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20165',9,"hodgkin's disease, mixed cellularity, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20166',9,"hodgkin's disease, mixed cellularity, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20167',9,"hodgkin's disease, mixed cellularity, spleen",37,(37) hodgkin`s disease
'20168',9,"hodgkin's disease, mixed cellularity, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20170',9,"hodgkin's disease, lymphocytic depletion, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20171',9,"hodgkin's disease, lymphocytic depletion, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20172',9,"hodgkin's disease, lymphocytic depletion, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20173',9,"hodgkin's disease, lymphocytic depletion, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20174',9,"hodgkin's disease, lymphocytic depletion, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20175',9,"hodgkin's disease, lymphocytic depletion, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20176',9,"hodgkin's disease, lymphocytic depletion, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20177',9,"hodgkin's disease, lymphocytic depletion, spleen",37,(37) hodgkin`s disease
'20178',9,"hodgkin's disease, lymphocytic depletion, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'20190',9,"hodgkin's disease, unspecified type, unspecified site, extranodal and solid organ sites",37,(37) hodgkin`s disease
'20191',9,"hodgkin's disease, unspecified type, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'20192',9,"hodgkin's disease, unspecified type, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'20193',9,"hodgkin's disease, unspecified type, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'20194',9,"hodgkin's disease, unspecified type, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'20195',9,"hodgkin's disease, unspecified type, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'20196',9,"hodgkin's disease, unspecified type, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'20197',9,"hodgkin's disease, unspecified type, spleen",37,(37) hodgkin`s disease
'20198',9,"hodgkin's disease, unspecified type, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'V1072',9,personal history of hodgkin's disease,37,(37) hodgkin`s disease
'C8100',10,"nodular lymphocyte predominant hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8101',10,"nodular lymphocyte predominant hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8102',10,"nodular lymphocyte predominant hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8103',10,"nodular lymphocyte predominant hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8104',10,"nodular lymphocyte predominant hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8105',10,"nodular lymphocyte predominant hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8106',10,"nodular lymphocyte predominant hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8107',10,"nodular lymphocyte predominant hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8108',10,"nodular lymphocyte predominant hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8109',10,"nodular lymphocyte predominant hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8110',10,"nodular sclerosis hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8111',10,"nodular sclerosis hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8112',10,"nodular sclerosis hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8113',10,"nodular sclerosis hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8114',10,"nodular sclerosis hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8115',10,"nodular sclerosis hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8116',10,"nodular sclerosis hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8117',10,"nodular sclerosis hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8118',10,"nodular sclerosis hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8119',10,"nodular sclerosis hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8120',10,"mixed cellularity hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8121',10,"mixed cellularity hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8122',10,"mixed cellularity hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8123',10,"mixed cellularity hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8124',10,"mixed cellularity hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8125',10,"mixed cellularity hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8126',10,"mixed cellularity hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8127',10,"mixed cellularity hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8128',10,"mixed cellularity hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8129',10,"mixed cellularity hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8130',10,"lymphocyte depleted hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8131',10,"lymphocyte depleted hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8132',10,"lymphocyte depleted hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8133',10,"lymphocyte depleted hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8134',10,"lymphocyte depleted hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8135',10,"lymphocyte depleted hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8136',10,"lymphocyte depleted hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8137',10,"lymphocyte depleted hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8138',10,"lymphocyte depleted hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8139',10,"lymphocyte depleted hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8140',10,"lymphocyte-rich hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8141',10,"lymphocyte-rich hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8142',10,"lymphocyte-rich hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8143',10,"lymphocyte-rich hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8144',10,"lymphocyte-rich hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8145',10,"lymphocyte-rich hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8146',10,"lymphocyte-rich hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8147',10,"lymphocyte-rich hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8148',10,"lymphocyte-rich hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8149',10,"lymphocyte-rich hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8170',10,"other hodgkin lymphoma, unspecified site",37,(37) hodgkin`s disease
'C8171',10,"other hodgkin lymphoma, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8172',10,"other hodgkin lymphoma, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8173',10,"other hodgkin lymphoma, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8174',10,"other hodgkin lymphoma, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8175',10,"other hodgkin lymphoma, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8176',10,"other hodgkin lymphoma, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8177',10,"other hodgkin lymphoma, spleen",37,(37) hodgkin`s disease
'C8178',10,"other hodgkin lymphoma, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8179',10,"other hodgkin lymphoma, extranodal and solid organ sites",37,(37) hodgkin`s disease
'C8190',10,"hodgkin lymphoma, unspecified, unspecified site",37,(37) hodgkin`s disease
'C8191',10,"hodgkin lymphoma, unspecified, lymph nodes of head, face, and neck",37,(37) hodgkin`s disease
'C8192',10,"hodgkin lymphoma, unspecified, intrathoracic lymph nodes",37,(37) hodgkin`s disease
'C8193',10,"hodgkin lymphoma, unspecified, intra-abdominal lymph nodes",37,(37) hodgkin`s disease
'C8194',10,"hodgkin lymphoma, unspecified, lymph nodes of axilla and upper limb",37,(37) hodgkin`s disease
'C8195',10,"hodgkin lymphoma, unspecified, lymph nodes of inguinal region and lower limb",37,(37) hodgkin`s disease
'C8196',10,"hodgkin lymphoma, unspecified, intrapelvic lymph nodes",37,(37) hodgkin`s disease
'C8197',10,"hodgkin lymphoma, unspecified, spleen",37,(37) hodgkin`s disease
'C8198',10,"hodgkin lymphoma, unspecified, lymph nodes of multiple sites",37,(37) hodgkin`s disease
'C8199',10,"hodgkin lymphoma, unspecified, extranodal and solid organ sites",37,(37) hodgkin`s disease
'Z8571',10,personal history of hodgkin lymphoma,37,(37) hodgkin`s disease
