icd_cm,ver
'1400',9
'1401',9
'1403',9
'1404',9
'1405',9
'1406',9
'1408',9
'1409',9
'1410',9
'1411',9
'1412',9
'1413',9
'1414',9
'1415',9
'1416',9
'1418',9
'1419',9
'1420',9
'1421',9
'1422',9
'1428',9
'1429',9
'1430',9
'1431',9
'1438',9
'1439',9
'1440',9
'1441',9
'1448',9
'1449',9
'1450',9
'1451',9
'1452',9
'1453',9
'1454',9
'1455',9
'1456',9
'1458',9
'1459',9
'1460',9
'1461',9
'1462',9
'1463',9
'1464',9
'1465',9
'1466',9
'1467',9
'1468',9
'1469',9
'1470',9
'1471',9
'1472',9
'1473',9
'1478',9
'1479',9
'1480',9
'1481',9
'1482',9
'1483',9
'1488',9
'1489',9
'1490',9
'1491',9
'1498',9
'1499',9
'1600',9
'1601',9
'1602',9
'1603',9
'1604',9
'1605',9
'1608',9
'1609',9
'1610',9
'1611',9
'1612',9
'1613',9
'1618',9
'1619',9
'1950',9
'V1001',9
'V1002',9
'V1021',9
'C000',10
'C001',10
'C002',10
'C003',10
'C004',10
'C005',10
'C006',10
'C008',10
'C009',10
'C01',10
'C020',10
'C021',10
'C022',10
'C023',10
'C024',10
'C028',10
'C029',10
'C030',10
'C031',10
'C039',10
'C040',10
'C041',10
'C048',10
'C049',10
'C050',10
'C051',10
'C052',10
'C058',10
'C059',10
'C060',10
'C061',10
'C062',10
'C0680',10
'C0689',10
'C069',10
'C07',10
'C080',10
'C081',10
'C089',10
'C090',10
'C091',10
'C098',10
'C099',10
'C100',10
'C101',10
'C102',10
'C103',10
'C104',10
'C108',10
'C109',10
'C110',10
'C111',10
'C112',10
'C113',10
'C118',10
'C119',10
'C12',10
'C130',10
'C131',10
'C132',10
'C138',10
'C139',10
'C140',10
'C142',10
'C148',10
'C300',10
'C301',10
'C310',10
'C311',10
'C312',10
'C313',10
'C318',10
'C319',10
'C320',10
'C321',10
'C322',10
'C323',10
'C328',10
'C329',10
'C760',10
'Z8521',10
'Z85810',10
'Z85818',10
'Z85819',10
'1500',9
'1501',9
'1502',9
'1503',9
'1504',9
'1505',9
'1508',9
'1509',9
'V1003',9
'C153',10
'C154',10
'C155',10
'C158',10
'C159',10
'C49A1',10
'Z8501',10
'1510',9
'1511',9
'1512',9
'1513',9
'1514',9
'1515',9
'1516',9
'1518',9
'1519',9
'20923',9
'V1004',9
'C160',10
'C161',10
'C162',10
'C163',10
'C164',10
'C165',10
'C166',10
'C168',10
'C169',10
'C49A2',10
'C49A3',10
'C7A092',10
'Z85028',10
'1530',9
'1531',9
'1532',9
'1533',9
'1534',9
'1535',9
'1536',9
'1537',9
'1538',9
'1539',9
'1590',9
'20910',9
'20911',9
'20912',9
'20913',9
'20914',9
'20915',9
'20916',9
'V1005',9
'C180',10
'C181',10
'C182',10
'C183',10
'C184',10
'C185',10
'C186',10
'C187',10
'C188',10
'C189',10
'C260',10
'C49A4',10
'C7A020',10
'C7A021',10
'C7A022',10
'C7A023',10
