icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
28262,9,hb-ss disease w crisis,61,(61) sickle cell anemia
33811,9,acute pain due to trauma,95,(95) other nervous system disorders
33812,9,acute post-thoracot pain,95,(95) other nervous system disorders
33818,9,acute postop pain nec,95,(95) other nervous system disorders
33819,9,acute pain nec,95,(95) other nervous system disorders
5225,9,periapical abscess,136,(136) disorders of teeth and jaw
5227,9,periapical absc w sinus,136,(136) disorders of teeth and jaw
574,9,cholelithiasis*,,
5740,9,cholelith w ac cholecyst*,,
57400,9,cholelith w ac cholecyst,149,(149) biliary tract disease
57401,9,cholelith/ac gb inf-obst,149,(149) biliary tract disease
5741,9,cholelith w cholecys nec*,,
57410,9,cholelith w cholecys nec,149,(149) biliary tract disease
57411,9,cholelith/gb inf nec-obs,149,(149) biliary tract disease
5742,9,cholelithiasis nos*,,
57420,9,cholelithiasis nos,149,(149) biliary tract disease
57421,9,cholelithias nos w obstr,149,(149) biliary tract disease
5743,9,choledocholith/ac gb inf*,,
57430,9,choledocholith/ac gb inf,149,(149) biliary tract disease
57431,9,choledochlith/ac gb-obst,149,(149) biliary tract disease
5744,9,choledochlith/gb inf nec*,,
57440,9,choledochlith/gb inf nec,149,(149) biliary tract disease
57441,9,choledochlith/gb nec-obs,149,(149) biliary tract disease
5745,9,choledocholithiasis nos*,,
57450,9,choledocholithiasis nos,149,(149) biliary tract disease
57451,9,choledochlith nos w obst,149,(149) biliary tract disease
5746,9,*,,
57460,9,gall&bil cal w/ac w/o ob,149,(149) biliary tract disease
57461,9,gall&bil cal w/ac w obs,149,(149) biliary tract disease
5747,9,*,,
57470,9,gal&bil cal w/oth w/o ob,149,(149) biliary tract disease
57471,9,gall&bil cal w/oth w obs,149,(149) biliary tract disease
5748,9,*,,
57480,9,gal&bil cal w/ac&chr w/o,149,(149) biliary tract disease
57481,9,gal&bil cal w/ac&ch w ob,149,(149) biliary tract disease
5749,9,*,,
57490,9,gall&bil cal w/o cho w/o,149,(149) biliary tract disease
57491,9,gall&bil cal w/o ch w ob,149,(149) biliary tract disease
577,9,diseases of pancreas*,,
5770,9,acute pancreatitis,152,(152) pancreatic disorders (not diabetes)
5771,9,chronic pancreatitis,152,(152) pancreatic disorders (not diabetes)
5772,9,pancreat cyst/pseudocyst,152,(152) pancreatic disorders (not diabetes)
5778,9,pancreatic disease nec,152,(152) pancreatic disorders (not diabetes)
5779,9,pancreatic disease nos,152,(152) pancreatic disorders (not diabetes)
592,9,renal/ureteral calculus*,,
5920,9,calculus of kidney,160,(160) calculus of urinary tract
5921,9,calculus of ureter,160,(160) calculus of urinary tract
5929,9,urinary calculus nos,160,(160) calculus of urinary tract
7331,9,pathological fracture*,207,(207) pathological fracture
73310,9,path fx unspecified site,207,(207) pathological fracture
73311,9,path fx humerus,207,(207) pathological fracture
73312,9,path fx dstl radius ulna,207,(207) pathological fracture
73313,9,path fx vertebrae,207,(207) pathological fracture
73314,9,path fx neck of femur,207,(207) pathological fracture
73315,9,path fx oth spcf prt fmr,207,(207) pathological fracture
73316,9,path fx tibia fibula,207,(207) pathological fracture
73319,9,path fx oth specif site,207,(207) pathological fracture
800,9,skull vault fracture*,,
8000,9,closed skull vault fx*,,
80000,9,closed skull vault fx,228,(228) skull and face fractures
80001,9,cl skull vlt fx w/o coma,228,(228) skull and face fractures
80002,9,cl skull vlt fx-brf coma,228,(228) skull and face fractures
80003,9,cl skull vlt fx-mod coma,228,(228) skull and face fractures
80004,9,cl skl vlt fx-proln coma,228,(228) skull and face fractures
80005,9,cl skul vlt fx-deep coma,228,(228) skull and face fractures
80006,9,cl skull vlt fx-coma nos,228,(228) skull and face fractures
80009,9,cl skl vlt fx-concus nos,228,(228) skull and face fractures
8001,9,cl skl vlt fx/cerebr lac*,,
80010,9,cl skl vlt fx/cerebr lac,233,(233) intracranial injury
80011,9,cl skull vlt fx w/o coma,233,(233) intracranial injury
80012,9,cl skull vlt fx-brf coma,233,(233) intracranial injury
80013,9,cl skull vlt fx-mod coma,233,(233) intracranial injury
80014,9,cl skl vlt fx-proln coma,233,(233) intracranial injury
80015,9,cl skul vlt fx-deep coma,233,(233) intracranial injury
80016,9,cl skull vlt fx-coma nos,233,(233) intracranial injury
80019,9,cl skl vlt fx-concus nos,233,(233) intracranial injury
8002,9,cl skl vlt fx/mening hem*,,
80020,9,cl skl vlt fx/mening hem,233,(233) intracranial injury
80021,9,cl skull vlt fx w/o coma,233,(233) intracranial injury
80022,9,cl skull vlt fx-brf coma,233,(233) intracranial injury
80023,9,cl skull vlt fx-mod coma,233,(233) intracranial injury
80024,9,cl skl vlt fx-proln coma,233,(233) intracranial injury
80025,9,cl skul vlt fx-deep coma,233,(233) intracranial injury
80026,9,cl skull vlt fx-coma nos,233,(233) intracranial injury
80029,9,cl skl vlt fx-concus nos,233,(233) intracranial injury
8003,9,cl skull vlt fx/hem nec*,,
80030,9,cl skull vlt fx/hem nec,233,(233) intracranial injury
80031,9,cl skull vlt fx w/o coma,233,(233) intracranial injury
80032,9,cl skull vlt fx-brf coma,233,(233) intracranial injury
80033,9,cl skull vlt fx-mod coma,233,(233) intracranial injury
80034,9,cl skl vlt fx-proln coma,233,(233) intracranial injury
80035,9,cl skul vlt fx-deep coma,233,(233) intracranial injury
80036,9,cl skull vlt fx-coma nos,233,(233) intracranial injury
80039,9,cl skl vlt fx-concus nos,233,(233) intracranial injury
8004,9,cl skl vlt fx/br inj nec*,,
80040,9,cl skl vlt fx/br inj nec,233,(233) intracranial injury
80041,9,cl skull vlt fx w/o coma,233,(233) intracranial injury
80042,9,cl skull vlt fx-brf coma,233,(233) intracranial injury
80043,9,cl skull vlt fx-mod coma,233,(233) intracranial injury
80044,9,cl skl vlt fx-proln coma,233,(233) intracranial injury
80045,9,cl skul vlt fx-deep coma,233,(233) intracranial injury
80046,9,cl skull vlt fx-coma nos,233,(233) intracranial injury
80049,9,cl skl vlt fx-concus nos,233,(233) intracranial injury
8005,9,opn skull vault fracture*,,
80050,9,opn skull vault fracture,228,(228) skull and face fractures
80051,9,opn skul vlt fx w/o coma,228,(228) skull and face fractures
80052,9,opn skul vlt fx-brf coma,228,(228) skull and face fractures
80053,9,opn skul vlt fx-mod coma,228,(228) skull and face fractures
80054,9,opn skl vlt fx-proln com,228,(228) skull and face fractures
