icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
7140,9,rheumatoid arthritis,202,(202) rheumatoid arthritis and related disease
7141,9,felty's syndrome,202,(202) rheumatoid arthritis and related disease
7142,9,other rheumatoid arthritis with visceral or systemic involvement,202,(202) rheumatoid arthritis and related disease
71430,9,"polyarticular juvenile rheumatoid arthritis, chronic or unspecified",202,(202) rheumatoid arthritis and related disease
71431,9,"polyarticular juvenile rheumatoid arthritis, acute",202,(202) rheumatoid arthritis and related disease
71432,9,pauciarticular juvenile rheumatoid arthritis,202,(202) rheumatoid arthritis and related disease
71433,9,monoarticular juvenile rheumatoid arthritis,202,(202) rheumatoid arthritis and related disease
7144,9,chronic postrheumatic arthropathy,202,(202) rheumatoid arthritis and related disease
71481,9,rheumatoid lung,202,(202) rheumatoid arthritis and related disease
71489,9,other specified inflammatory polyarthropathies,202,(202) rheumatoid arthritis and related disease
7149,9,unspecified inflammatory polyarthropathy,202,(202) rheumatoid arthritis and related disease
71500,9,"osteoarthrosis, generalized, site unspecified",203,(203) osteoarthritis
71504,9,"osteoarthrosis, generalized, hand",203,(203) osteoarthritis
71509,9,"osteoarthrosis, generalized, multiple sites",203,(203) osteoarthritis
71510,9,"osteoarthrosis, localized, primary, site unspecified",203,(203) osteoarthritis
71511,9,"osteoarthrosis, localized, primary, shoulder region",203,(203) osteoarthritis
71512,9,"osteoarthrosis, localized, primary, upper arm",203,(203) osteoarthritis
71513,9,"osteoarthrosis, localized, primary, forearm",203,(203) osteoarthritis
71514,9,"osteoarthrosis, localized, primary, hand",203,(203) osteoarthritis
71515,9,"osteoarthrosis, localized, primary, pelvic region and thigh",203,(203) osteoarthritis
71516,9,"osteoarthrosis, localized, primary, lower leg",203,(203) osteoarthritis
71517,9,"osteoarthrosis, localized, primary, ankle and foot",203,(203) osteoarthritis
71518,9,"osteoarthrosis, localized, primary, other specified sites",203,(203) osteoarthritis
71520,9,"osteoarthrosis, localized, secondary, site unspecified",203,(203) osteoarthritis
71521,9,"osteoarthrosis, localized, secondary, shoulder region",203,(203) osteoarthritis
71522,9,"osteoarthrosis, localized, secondary, upper arm",203,(203) osteoarthritis
71523,9,"osteoarthrosis, localized, secondary, forearm",203,(203) osteoarthritis
71524,9,"osteoarthrosis, localized, secondary, hand",203,(203) osteoarthritis
71525,9,"osteoarthrosis, localized, secondary, pelvic region and thigh",203,(203) osteoarthritis
71526,9,"osteoarthrosis, localized, secondary, lower leg",203,(203) osteoarthritis
71527,9,"osteoarthrosis, localized, secondary, ankle and foot",203,(203) osteoarthritis
71528,9,"osteoarthrosis, localized, secondary, other specified sites",203,(203) osteoarthritis
71530,9,"osteoarthrosis, localized, not specified whether primary or secondary, site unspecified",203,(203) osteoarthritis
71531,9,"osteoarthrosis, localized, not specified whether primary or secondary, shoulder region",203,(203) osteoarthritis
71532,9,"osteoarthrosis, localized, not specified whether primary or secondary, upper arm",203,(203) osteoarthritis
71533,9,"osteoarthrosis, localized, not specified whether primary or secondary, forearm",203,(203) osteoarthritis
71534,9,"osteoarthrosis, localized, not specified whether primary or secondary, hand",203,(203) osteoarthritis
71535,9,"osteoarthrosis, localized, not specified whether primary or secondary, pelvic region and thigh",203,(203) osteoarthritis
71536,9,"osteoarthrosis, localized, not specified whether primary or secondary, lower leg",203,(203) osteoarthritis
71537,9,"osteoarthrosis, localized, not specified whether primary or secondary, ankle and foot",203,(203) osteoarthritis
71538,9,"osteoarthrosis, localized, not specified whether primary or secondary, other specified sites",203,(203) osteoarthritis
71580,9,"osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, site unspecified",203,(203) osteoarthritis
71589,9,"osteoarthrosis involving, or with mention of more than one site, but not specified as generalized, multiple sites",203,(203) osteoarthritis
71590,9,"osteoarthrosis, unspecified whether generalized or localized, site unspecified",203,(203) osteoarthritis
71591,9,"osteoarthrosis, unspecified whether generalized or localized, shoulder region",203,(203) osteoarthritis
71592,9,"osteoarthrosis, unspecified whether generalized or localized, upper arm",203,(203) osteoarthritis
71593,9,"osteoarthrosis, unspecified whether generalized or localized, forearm",203,(203) osteoarthritis
71594,9,"osteoarthrosis, unspecified whether generalized or localized, hand",203,(203) osteoarthritis
71595,9,"osteoarthrosis, unspecified whether generalized or localized, pelvic region and thigh",203,(203) osteoarthritis
71596,9,"osteoarthrosis, unspecified whether generalized or localized, lower leg",203,(203) osteoarthritis
71597,9,"osteoarthrosis, unspecified whether generalized or localized, ankle and foot",203,(203) osteoarthritis
71598,9,"osteoarthrosis, unspecified whether generalized or localized, other specified sites",203,(203) osteoarthritis
