icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
30789,9,psychogenic pain nec,670,(670) miscellaneous mental health disorders    
7210,9,cervical spondylosis,205,(205) spondylosis; intervertebral disc disorders; other back problems
7211,9,cerv spondyl w myelopath,205,(205) spondylosis; intervertebral disc disorders; other back problems
7212,9,thoracic spondylosis,205,(205) spondylosis; intervertebral disc disorders; other back problems
7213,9,lumbosacral spondylosis,205,(205) spondylosis; intervertebral disc disorders; other back problems
7220,9,cervical disc displacmnt,205,(205) spondylosis; intervertebral disc disorders; other back problems
72231,9,schmorls node-thoracic,205,(205) spondylosis; intervertebral disc disorders; other back problems
72271,9,cerv disc dis w myelopat,205,(205) spondylosis; intervertebral disc disorders; other back problems
72281,9,postlaminect synd-cerv,205,(205) spondylosis; intervertebral disc disorders; other back problems
72291,9,disc dis nec/nos-cerv,205,(205) spondylosis; intervertebral disc disorders; other back problems
723,9,other cervical spine dis*,,
7230,9,cervical spinal stenosis,205,(205) spondylosis; intervertebral disc disorders; other back problems
7231,9,cervicalgia,205,(205) spondylosis; intervertebral disc disorders; other back problems
7232,9,cervicocranial syndrome,205,(205) spondylosis; intervertebral disc disorders; other back problems
7233,9,cervicobrachial syndrome,205,(205) spondylosis; intervertebral disc disorders; other back problems
7234,9,brachial neuritis nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7235,9,torticollis nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7236,9,panniculitis of neck,205,(205) spondylosis; intervertebral disc disorders; other back problems
7237,9,ossification cerv lig,205,(205) spondylosis; intervertebral disc disorders; other back problems
7238,9,cervical syndrome nec,205,(205) spondylosis; intervertebral disc disorders; other back problems
7239,9,neck disorder/sympt nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7242,9,lumbago,205,(205) spondylosis; intervertebral disc disorders; other back problems
7244,9,lumbosacral neuritis nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7245,9,backache nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7246,9,disorders of sacrum,205,(205) spondylosis; intervertebral disc disorders; other back problems
7247,9,disorders of coccyx*,,
72470,9,disorder of coccyx nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
72471,9,hypermobility of coccyx,205,(205) spondylosis; intervertebral disc disorders; other back problems
72479,9,disorder of coccyx nec,205,(205) spondylosis; intervertebral disc disorders; other back problems
7248,9,other back symptoms,205,(205) spondylosis; intervertebral disc disorders; other back problems
8390,9,disloc cervical vert-cl*,,
83900,9,disloc cerv vert nos-cl,225,(225) joint disorders and dislocations; trauma-related
83901,9,disloc 1st cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83902,9,disloc 2nd cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83903,9,disloc 3rd cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83904,9,disloc 4th cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83905,9,disloc 5th cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83906,9,disloc 6th cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83907,9,disloc 7th cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
83908,9,disloc mult cerv vert-cl,225,(225) joint disorders and dislocations; trauma-related
8391,9,disloc cervical vert-opn*,,
83910,9,disloc cerv vert nos-opn,225,(225) joint disorders and dislocations; trauma-related
83911,9,disloc lst cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83912,9,disloc 2nd cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83913,9,disloc 3rd cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83914,9,disloc 4th cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83915,9,disloc 5th cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83916,9,disloc 6th cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83917,9,disloc 7th cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
83918,9,disloc mlt cerv vert-opn,225,(225) joint disorders and dislocations; trauma-related
846,9,sprain sacroiliac region*,,
8460,9,sprain lumbosacral,232,(232) sprains and strains
8461,9,sprain sacroiliac,232,(232) sprains and strains
8462,9,sprain sacrospinatus,232,(232) sprains and strains
8463,9,sprain sacrotuberous,232,(232) sprains and strains
8468,9,sprain sacroiliac nec,232,(232) sprains and strains
8469,9,sprain sacroiliac nos,232,(232) sprains and strains
8470,9,sprain of neck,232,(232) sprains and strains
8471,9,sprain thoracic region,232,(232) sprains and strains
8472,9,sprain lumbar region,232,(232) sprains and strains
8474,9,sprain of coccyx,232,(232) sprains and strains
8479,9,sprain of back nos,232,(232) sprains and strains
F4542,10,pain disorder with related psychological factors,670,(670) miscellaneous mental health disorders    
M4327,10,"fusion of spine, lumbosacral region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4328,10,"fusion of spine, sacral and sacrococcygeal region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M436,10,torticollis,205,(205) spondylosis; intervertebral disc disorders; other back problems
M4641,10,"discitis, unspecified, occipito-atlanto-axial region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4642,10,"discitis, unspecified, cervical region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4643,10,"discitis, unspecified, cervicothoracic region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47011,10,"anterior spinal artery compression syndromes, occipito-atlanto-axial region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47012,10,"anterior spinal artery compression syndromes, cervical region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47013,10,"anterior spinal artery compression syndromes, cervicothoracic region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47014,10,"anterior spinal artery compression syndromes, thoracic region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47015,10,"anterior spinal artery compression syndromes, thoracolumbar region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47016,10,"anterior spinal artery compression syndromes, lumbar region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47019,10,"anterior spinal artery compression syndromes, site unspecified",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47021,10,"vertebral artery compression syndromes, occipito-atlanto-axial region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47022,10,"vertebral artery compression syndromes, cervical region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M47029,10,"vertebral artery compression syndromes, site unspecified",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4711,10,"other spondylosis with myelopathy, occipito-atlanto-axial region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4712,10,"other spondylosis with myelopathy, cervical region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4713,10,"other spondylosis with myelopathy, cervicothoracic region",205,(205) spondylosis; intervertebral disc disorders; other back problems
M4721,10,"other spondylosis with radiculopathy, occipito-atlanto-axial region",205,(205) spondylosis; intervertebral disc disorders; other back problems
