icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
30781,9,tension headache,670,(670) miscellaneous mental health disorders    
33821,9,chronc pain d/t trauma,95,(95) other nervous system disorders
33822,9,chron post-thoracot pain,95,(95) other nervous system disorders
33828,9,chronic postop pain nec,95,(95) other nervous system disorders
33829,9,chronic pain nec,95,(95) other nervous system disorders
3384,9,chronic pain syndrome,95,(95) other nervous system disorders
3460,9,classical migraine*,84,(84) headache; including migraine
34600,9,mgrn w aura wo ntrc mgrn,84,(84) headache; including migraine
34601,9,mgrn w aura w ntrc mgrn,84,(84) headache; including migraine
34602,9,mgrn w aur wo ntrc mgrn,84,(84) headache; including migraine
34603,9,mgrn w aura w ntrc mgrn,84,(84) headache; including migraine
3461,9,common migraine*,84,(84) headache; including migraine
34610,9,mgrn wo aura wo ntrc mgr,84,(84) headache; including migraine
34611,9,mgrn wo aura w ntrc mgrn,84,(84) headache; including migraine
34612,9,mgrn wo aura wo ntrc mgr,84,(84) headache; including migraine
34613,9,mgrn wo aura w ntrc mgrn,84,(84) headache; including migraine
3462,9,variants of migraine*,84,(84) headache; including migraine
34620,9,vrnt mgrn wo ntr mgr nec,84,(84) headache; including migraine
34621,9,vrnt mgrn w ntrc mgr nec,84,(84) headache; including migraine
34622,9,var mgr nec wo ntc mgr,84,(84) headache; including migraine
34623,9,var mgrn nec w ntrc mgr,84,(84) headache; including migraine
3463,9,*,,
34630,9,hmplg mgr wo ntrc wo st,84,(84) headache; including migraine
34631,9,hmplg mgrn w ntrc wo st,84,(84) headache; including migraine
34632,9,hemplg mgr wo ntrc w st,84,(84) headache; including migraine
34633,9,hmplg mgrn w ntrc w st,84,(84) headache; including migraine
3464,9,*,,
34640,9,menst mgr wo ntrc wo st,84,(84) headache; including migraine
34641,9,menstl mgrn w ntrc wo st,84,(84) headache; including migraine
34642,9,menstl mgr wo ntrc w st,84,(84) headache; including migraine
34643,9,menstl mgrn w ntrc w st,84,(84) headache; including migraine
3465,9,*,,
34650,9,prst aura wo inf/ntr/st,84,(84) headache; including migraine
34651,9,prs ara w ntr wo inf/st,84,(84) headache; including migraine
34652,9,prs ara wo inf/ntr w st,84,(84) headache; including migraine
34653,9,prs ara wo inf w ntr/st,84,(84) headache; including migraine
3466,9,*,,
34660,9,prs ara w inf wo ntr/st,109,(109) acute cerebrovascular disease
34661,9,prs ara w/inf/ntr wo st,109,(109) acute cerebrovascular disease
34662,9,prs ara wo ntr w inf/st,109,(109) acute cerebrovascular disease
34663,9,prst ara w inf w ntr/st,109,(109) acute cerebrovascular disease
3467,9,*,,
34670,9,ch mgr wo ar wo nt wo st,84,(84) headache; including migraine
34671,9,ch mgr wo ara w nt wo st,84,(84) headache; including migraine
34672,9,ch mgr wo ara wo nt w st,84,(84) headache; including migraine
34673,9,ch mgr wo ara w ntr w st,84,(84) headache; including migraine
3468,9,migraine nec*,84,(84) headache; including migraine
34680,9,othr migrne wo ntrc mgrn,84,(84) headache; including migraine
34681,9,othr migrne w ntrc mgrne,84,(84) headache; including migraine
34682,9,oth mgr wo ntrc w st mgr,84,(84) headache; including migraine
34683,9,oth mgr w ntrc w st mgr,84,(84) headache; including migraine
3469,9,migraine nos*,84,(84) headache; including migraine
34690,9,migrne unsp wo ntrc mgrn,84,(84) headache; including migraine
34691,9,mgrn unsp w ntrc mgr std,84,(84) headache; including migraine
34692,9,mgr nos wo ntrc w st mgr,84,(84) headache; including migraine
34693,9,mgrn nos w ntrc w st mgr,84,(84) headache; including migraine
710,9,diff connective tiss dis*,,
7100,9,syst lupus erythematosus,210,(210) systemic lupus erythematosus and connective tissue disorders
7101,9,systemic sclerosis,210,(210) systemic lupus erythematosus and connective tissue disorders
7102,9,sicca syndrome,210,(210) systemic lupus erythematosus and connective tissue disorders
7103,9,dermatomyositis,210,(210) systemic lupus erythematosus and connective tissue disorders
7104,9,polymyositis,210,(210) systemic lupus erythematosus and connective tissue disorders
7105,9,eosinophilia myalgia snd,211,(211) other connective tissue disease
7108,9,diff connect tis dis nec,210,(210) systemic lupus erythematosus and connective tissue disorders
7109,9,diff connect tis dis nos,210,(210) systemic lupus erythematosus and connective tissue disorders
711,9,arthropathy w infection*,,
7110,9,pyogenic arthritis*,,
71100,9,pyogen arthritis-unspec,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
71101,9,pyogen arthritis-shlder,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
71102,9,pyogen arthritis-up/arm,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
71103,9,pyogen arthritis-forearm,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
71104,9,pyogen arthritis-hand,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
71105,9,pyogen arthritis-pelvis,201,(201) infective arthritis and osteomyelitis (except that caused by tuberculosis or sexually transmitted disease)
