icd_cm,ver,icd_cm_label,hcup_ccs_single,hcup_ccs_single_label
3370,9,idiopath auto neuropathy#,81,(81) other hereditary and degenerative nervous system conditions
33700,9,"idiopathic peripheral autonomic neuropathy, unspecified",81,(81) other hereditary and degenerative nervous system conditions
33709,9,other idiopathic peripheral autonomic neuropathy,81,(81) other hereditary and degenerative nervous system conditions
3371,9,peripheral autonomic neuropathy in disorders classified elsewhere,81,(81) other hereditary and degenerative nervous system conditions
3501,9,trigeminal neuralgia,95,(95) other nervous system disorders
3502,9,atypical face pain,95,(95) other nervous system disorders
3508,9,other specified trigeminal nerve disorders,95,(95) other nervous system disorders
3509,9,"trigeminal nerve disorder, unspecified",95,(95) other nervous system disorders
3510,9,bell's palsy,95,(95) other nervous system disorders
3511,9,geniculate ganglionitis,95,(95) other nervous system disorders
3518,9,other facial nerve disorders,95,(95) other nervous system disorders
3519,9,"facial nerve disorder, unspecified",95,(95) other nervous system disorders
3520,9,disorders of olfactory (1st) nerve,95,(95) other nervous system disorders
3521,9,glossopharyngeal neuralgia,95,(95) other nervous system disorders
3522,9,other disorders of glossopharyngeal [9th] nerve,95,(95) other nervous system disorders
3523,9,disorders of pneumogastric [10th] nerve,95,(95) other nervous system disorders
3524,9,disorders of accessory [11th] nerve,95,(95) other nervous system disorders
3525,9,disorders of hypoglossal [12th] nerve,95,(95) other nervous system disorders
3526,9,multiple cranial nerve palsies,95,(95) other nervous system disorders
3529,9,unspecified disorder of cranial nerves,95,(95) other nervous system disorders
3530,9,brachial plexus lesions,95,(95) other nervous system disorders
3531,9,lumbosacral plexus lesions,95,(95) other nervous system disorders
3532,9,"cervical root lesions, not elsewhere classified",95,(95) other nervous system disorders
3533,9,"thoracic root lesions, not elsewhere classified",95,(95) other nervous system disorders
3534,9,"lumbosacral root lesions, not elsewhere classified",95,(95) other nervous system disorders
3535,9,neuralgic amyotrophy,95,(95) other nervous system disorders
3536,9,phantom limb (syndrome),95,(95) other nervous system disorders
3538,9,other nerve root and plexus disorders,95,(95) other nervous system disorders
3539,9,unspecified nerve root and plexus disorder,95,(95) other nervous system disorders
3540,9,carpal tunnel syndrome,95,(95) other nervous system disorders
3541,9,other lesion of median nerve,95,(95) other nervous system disorders
3542,9,lesion of ulnar nerve,95,(95) other nervous system disorders
3543,9,lesion of radial nerve,95,(95) other nervous system disorders
3544,9,causalgia of upper limb,95,(95) other nervous system disorders
3545,9,mononeuritis multiplex,95,(95) other nervous system disorders
3548,9,other mononeuritis of upper limb,95,(95) other nervous system disorders
3549,9,"mononeuritis of upper limb, unspecified",95,(95) other nervous system disorders
3550,9,lesion of sciatic nerve,95,(95) other nervous system disorders
3551,9,meralgia paresthetica,95,(95) other nervous system disorders
3552,9,other lesion of femoral nerve,95,(95) other nervous system disorders
3553,9,lesion of lateral popliteal nerve,95,(95) other nervous system disorders
3554,9,lesion of medial popliteal nerve,95,(95) other nervous system disorders
3555,9,tarsal tunnel syndrome,95,(95) other nervous system disorders
3556,9,lesion of plantar nerve,95,(95) other nervous system disorders
3557,9,mononeuritis leg nec*,95,(95) other nervous system disorders
35571,9,causalgia of lower limb,95,(95) other nervous system disorders
35579,9,other mononeuritis of lower limb,95,(95) other nervous system disorders
3558,9,"mononeuritis of lower limb, unspecified",95,(95) other nervous system disorders
3559,9,mononeuritis of unspecified site,95,(95) other nervous system disorders
3560,9,hereditary peripheral neuropathy,95,(95) other nervous system disorders
3561,9,peroneal muscular atrophy,95,(95) other nervous system disorders
3562,9,hereditary sensory neuropathy,95,(95) other nervous system disorders
3563,9,refsum's disease,95,(95) other nervous system disorders
3564,9,idiopathic progressive polyneuropathy,95,(95) other nervous system disorders
3568,9,other specified idiopathic peripheral neuropathy,95,(95) other nervous system disorders
3569,9,unspecified hereditary and idiopathic peripheral neuropathy,95,(95) other nervous system disorders
3570,9,acute infective polyneuritis,95,(95) other nervous system disorders
3571,9,polyneuropathy in collagen vascular disease,95,(95) other nervous system disorders
3572,9,polyneuropathy in diabetes,95,(95) other nervous system disorders
3573,9,polyneuropathy in malignant disease,95,(95) other nervous system disorders
3574,9,polyneuropathy in other diseases classified elsewhere,95,(95) other nervous system disorders
3576,9,polyneuropathy due to drugs,95,(95) other nervous system disorders
3577,9,polyneuropathy due to other toxic agents,95,(95) other nervous system disorders
3578,9,inflam/tox neuropthy nec#,95,(95) other nervous system disorders
35781,9,chronic inflammatory demyelinating polyneuritis,95,(95) other nervous system disorders
35782,9,critical illness polyneuropathy,95,(95) other nervous system disorders
35789,9,other inflammatory and toxic neuropathy,95,(95) other nervous system disorders
3579,9,unspecified inflammatory and toxic neuropathy,95,(95) other nervous system disorders
3580,9,myasthenia gravis#,95,(95) other nervous system disorders
35800,9,myasthenia gravis without (acute) exacerbation,95,(95) other nervous system disorders
35801,9,myasthenia gravis with (acute) exacerbation,95,(95) other nervous system disorders
3581,9,myasthenic syndromes in diseases classified elsewhere,95,(95) other nervous system disorders
3582,9,toxic myoneural disorders,95,(95) other nervous system disorders
35830,9,"lambert-eaton syndrome, unspecified",95,(95) other nervous system disorders
35831,9,lambert-eaton syndrome in neoplastic disease,95,(95) other nervous system disorders
35839,9,lambert-eaton syndrome in other diseases classified elsewhere,95,(95) other nervous system disorders
3588,9,other specified myoneural disorders,95,(95) other nervous system disorders
3589,9,"myoneural disorders, unspecified",95,(95) other nervous system disorders
3590,9,congenital hereditary muscular dystrophy,95,(95) other nervous system disorders
3591,9,hereditary progressive muscular dystrophy,95,(95) other nervous system disorders
3592,9,myotonic disorders#,95,(95) other nervous system disorders
35921,9,myotonic muscular dystrophy,95,(95) other nervous system disorders
35922,9,myotonia congenita,95,(95) other nervous system disorders
35923,9,myotonic chondrodystrophy,95,(95) other nervous system disorders
35924,9,drug- induced myotonia,95,(95) other nervous system disorders
35929,9,other specified myotonic disorder,95,(95) other nervous system disorders
3593,9,periodic paralysis,95,(95) other nervous system disorders
3594,9,toxic myopathy,95,(95) other nervous system disorders
3595,9,myopathy in endocrine diseases classified elsewhere,95,(95) other nervous system disorders
3596,9,symptomatic inflammatory myopathy in diseases classified elsewhere,95,(95) other nervous system disorders
35971,9,inclusion body myositis,95,(95) other nervous system disorders
35979,9,"other inflammatory and immune myopathies, nec",95,(95) other nervous system disorders
3598,9,myopathy nec#,95,(95) other nervous system disorders
35981,9,critical illness myopathy,95,(95) other nervous system disorders
35989,9,other myopathies,95,(95) other nervous system disorders
3599,9,"myopathy, unspecified",95,(95) other nervous system disorders
37730,9,"optic neuritis, unspecified",90,(90) inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
37732,9,retrobulbar neuritis (acute),90,(90) inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
37733,9,nutritional optic neuropathy,90,(90) inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
37734,9,toxic optic neuropathy,90,(90) inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
37739,9,other optic neuritis,90,(90) inflammation; infection of eye (except that caused by tuberculosis or sexually transmitteddisease)
37741,9,ischemic optic neuropathy,91,(91) other eye disorders
7234,9,brachial neuritis or radiculitis nos,205,(205) spondylosis; intervertebral disc disorders; other back problems
7244,9,"thoracic or lumbosacral neuritis or radiculitis, unspecified",205,(205) spondylosis; intervertebral disc disorders; other back problems
7292,9,"neuralgia, neuritis, and radiculitis, unspecified",211,(211) other connective tissue disease
V5302,9,fitting and adjustment of neuropacemaker (brain) (peripheral nerve) (spinal cord),95,(95) other nervous system disorders
B2701,10,gammaherpesviral mononucleosis with polyneuropathy,95,(95) other nervous system disorders
