ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00074226602',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira,active,NA,NA,NA
'00074226605',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira,active,NA,NA,NA
'00074226610',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,abbott hosp,active,NA,NA,NA
'00074226649',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,novaplus,active,NA,NA,NA
'00074226651',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,novaplus,active,NA,NA,NA
'00074226652',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,novaplus,active,NA,NA,NA
'00409226602',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira,active,NA,NA,NA
'00409226605',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira,active,NA,NA,NA
'00409226649',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira/novaplu,active,NA,NA,NA
'00409226651',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,hospira,active,NA,NA,NA
'10019006001',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,baxter anesthes,active,NA,NA,NA
'10019006002',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,baxter anesthes,active,NA,NA,NA
'11098006002',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,taylor pharm,inactive,NA,NA,NA
'11098006005',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,taylor pharm,inactive,NA,NA,NA
'11098006010',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,taylor pharm,inactive,NA,NA,NA
'11098006020',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,taylor pharm,inactive,NA,NA,NA
'17478006702',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,akorn inc.,active,NA,NA,NA
'17478006705',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,akorn inc.,active,NA,NA,NA
'17478006710',alfentanil hydrochloride,alfentanil hydrochloride,alfentanil,NA,500,ug/ml,"akorn, inc.",NA,NA,NA,NA
'17478006720',alfentanil hydrochloride,alfentanil hydrochloride,alfentanil,NA,500,ug/ml,"akorn, inc.",NA,NA,NA,NA
'17478084102',alfentanil,alfentanil,alfentanil,NA,500,mcg/ml,akorn inc.,active,NA,NA,NA
'17478084105',alfentanil,alfentanil hydrochloride,alfentanil,NA,500,ug/ml,"akorn, inc.",NA,NA,NA,NA
'17478084110',alfentanil,alfentanil hydrochloride,alfentanil,NA,500,ug/ml,"akorn, inc.",NA,NA,NA,NA
'17478084120',alfentanil,alfentanil hydrochloride,alfentanil,NA,500,ug/ml,"akorn, inc.",NA,NA,NA,NA
'17487084102',premierpro rx alfentanil hcl,alfentanil hydrochloride,alfentanil,NA,0.5 mg/ml,NA,NA,NA,NA,NA,NA
'50458006002',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,janssen pharm.,inactive,NA,NA,NA
'50458006005',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,janssen pharm.,inactive,NA,NA,NA
'50458006010',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,janssen pharm.,inactive,NA,NA,NA
'50458006020',alfenta,alfentanil,alfentanil,NA,500,mcg/ml,janssen pharm.,inactive,NA,NA,NA
