ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00054017613',buprenorphine hcl,buprenorphine,buprenorphine,NA,2,mg,"west-ward, inc.",active,NA,NA,NA
'00054017713',buprenorphine hcl,buprenorphine,buprenorphine,NA,8,mg,roxane/west-war,active,NA,NA,NA
'00054018813',buprenorphine-naloxone,buprenorphine; combinations,buprenorphine,NA,2-0.5,mg,"west-ward, inc.",active,NA,NA,NA
'00054018913',buprenorphine-naloxone,buprenorphine; combinations,buprenorphine,NA,2-aug,mg,"west-ward, inc.",active,NA,NA,NA
'00074201201',buprenorphine hcl,buprenorphine,buprenorphine,NA,0.3,mg/ml,hospira,active,NA,NA,NA
'00074201232',buprenorphine hcl,buprenorphine,buprenorphine,NA,0.3,mg/ml,hospira,active,NA,NA,NA
'00093360040',buprenorphine,buprenorphine,buprenorphine,NA,5 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093360140',buprenorphine,buprenorphine,buprenorphine,NA,10 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093360240',buprenorphine,buprenorphine,buprenorphine,NA,15 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093360340',buprenorphine,buprenorphine,buprenorphine,NA,20 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093365640',buprenorphine,buprenorphine,buprenorphine,NA,5 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093365740',buprenorphine,buprenorphine,buprenorphine,NA,10 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093365840',buprenorphine,buprenorphine,buprenorphine,NA,15 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093365940',buprenorphine,buprenorphine,buprenorphine,NA,20 ug/h,NA,"teva pharmaceuticals usa, inc.",NA,NA,NA,NA
'00093537856',buprenorphine hcl,buprenorphine,buprenorphine,NA,2,mg,teva usa,active,NA,NA,NA
'00093537956',buprenorphine hcl,buprenorphine,buprenorphine,NA,8,mg,teva usa,active,NA,NA,NA
'00093572056',buprenorphine-naloxone,buprenorphine; combinations,buprenorphine,NA,2-0.5,mg,teva usa,active,NA,NA,NA
'00093572156',buprenorphine-naloxone,buprenorphine; combinations,buprenorphine,NA,2-aug,mg,teva usa,active,NA,NA,NA
'00149075701',buprenex,buprenorphine,buprenorphine,NA,0.3,mg/ml,reckitt/colman,active,NA,NA,NA
'00228315303',buprenorphine hcl,buprenorphine,buprenorphine,NA,8,mg,actavis pharma,active,NA,NA,NA
