ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00015564415',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00015564420',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00015564423',stadol,butorphanol,butorphanol,NA,2,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564433',stadol,butorphanol,butorphanol,NA,2,mg/ml,geneva pharm.,inactive,NA,NA,NA
'00015564515',stadol,butorphanol,butorphanol,NA,1,mg/ml,sandoz,inactive,NA,NA,NA
'00015564520',stadol,butorphanol,butorphanol,NA,1,mg/ml,sandoz,inactive,NA,NA,NA
'00015564523',stadol,butorphanol,butorphanol,NA,1,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564533',stadol,butorphanol,butorphanol,NA,1,mg/ml,geneva pharm.,inactive,NA,NA,NA
'00015564615',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00015564620',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00015564623',stadol,butorphanol,butorphanol,NA,2,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564627',stadol,butorphanol,butorphanol,NA,2,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564633',stadol,butorphanol,butorphanol,NA,2,mg/ml,geneva pharm.,inactive,NA,NA,NA
'00015564697',stadol,butorphanol,butorphanol,NA,2,mg/ml,bristol labs.,inactive,NA,NA,NA
'00015564820',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00015564823',stadol,butorphanol,butorphanol,NA,2,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564827',stadol,butorphanol,butorphanol,NA,2,mg/ml,vha plus/brist,inactive,NA,NA,NA
'00015564897',stadol,butorphanol,butorphanol,NA,2,mg/ml,sandoz,inactive,NA,NA,NA
'00054309036',butorphanol tartrate,butorphanol,butorphanol,NA,10,mg/ml,roxane/west-war,active,NA,NA,NA
'00074162301',butorphanol tartrate,butorphanol,butorphanol,NA,1,mg/ml,hospira,active,NA,NA,NA
'00074162349',butorphanol tartrate,butorphanol,butorphanol,NA,1,mg/ml,novaplus,active,NA,NA,NA
'00074162401',butorphanol tartrate,butorphanol,butorphanol,NA,1,mg/ml,hospira,inactive,NA,NA,NA
'00074162449',butorphanol tartrate,butorphanol,butorphanol,NA,1,mg/ml,vha plus/abbott,inactive,NA,NA,NA
'00074162601',butorphanol tartrate,butorphanol,butorphanol,NA,2,mg/ml,hospira,active,NA,NA,NA
'00074162602',butorphanol tartrate,butorphanol,butorphanol,NA,2,mg/ml,hospira,active,NA,NA,NA
'00074162649',butorphanol tartrate,butorphanol,butorphanol,NA,2,mg/ml,novaplus,active,NA,NA,NA
'00074162651',butorphanol tartrate,butorphanol,butorphanol,NA,2,mg/ml,novaplus,active,NA,NA,NA
'00074162701',butorphanol tartrate,butorphanol,butorphanol,NA,2,mg/ml,hospira,inactive,NA,NA,NA
