ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00002100902',codeine sulfate,codeine sulfate,codeine,NA,15,mg,eli lilly & co.,active,NA,NA,NA
'00002100904',codeine sulfate,codeine sulfate,codeine,NA,15,mg,eli lilly & co.,active,NA,NA,NA
'00002101002',codeine sulfate,codeine sulfate,codeine,NA,30,mg,eli lilly & co.,active,NA,NA,NA
'00002101004',codeine sulfate,codeine sulfate,codeine,NA,30,mg,eli lilly & co.,active,NA,NA,NA
'00002101033',codeine sulfate,codeine sulfate,codeine,NA,30,mg,eli lilly & co.,active,NA,NA,NA
'00002101102',codeine sulfate,codeine sulfate,codeine,NA,60,mg,eli lilly & co.,active,NA,NA,NA
'00002101104',codeine sulfate,codeine sulfate,codeine,NA,60,mg,eli lilly & co.,active,NA,NA,NA
'00002163601',codeine sulfate,codeine sulfate,codeine,NA,30 mg/ml,NA,NA,NA,NA,NA,NA
'00002254502',codeine sulfate,codeine sulfate,codeine,NA,15 mg,NA,NA,NA,NA,NA,NA
'00002254602',codeine sulfate,codeine sulfate,codeine,NA,30 mg,NA,NA,NA,NA,NA,NA
'00002254603',codeine sulfate,codeine sulfate,codeine,NA,30 mg,NA,NA,NA,NA,NA,NA
'00002255502',codeine sulfate,codeine sulfate,codeine,NA,60 mg,NA,NA,NA,NA,NA,NA
'00002255503',codeine sulfate,codeine sulfate,codeine,NA,60 mg,NA,NA,NA,NA,NA,NA
'00002255602',codeine sulfate,codeine sulfate,codeine,NA,15 mg,NA,NA,NA,NA,NA,NA
'00002255702',codeine phosphate soluble,codeine phosphate,codeine,NA,30,mg,ranbaxy pharmac,inactive,NA,NA,NA
'00002255703',codeine phosphate,codeine phosphate,codeine,NA,30,mg,eli lilly & co.,inactive,NA,NA,NA
'00002255802',codeine phosphate soluble,codeine phosphate,codeine,NA,60,mg,ranbaxy pharmac,inactive,NA,NA,NA
'00002255803',codeine phosphate,codeine phosphate,codeine,NA,60,mg,eli lilly & co.,inactive,NA,NA,NA
'00002311202',a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,325 mg-15 mg,NA,NA,NA,NA,NA,NA
'00002311203',a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,325 mg-15 mg,NA,NA,NA,NA,NA,NA
'00002311302',a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,325 mg-30 mg,NA,NA,NA,NA,NA,NA
'00002406702',a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,325 mg-30 mg,NA,NA,NA,NA,NA,NA
'00002406703',a.s.a. & codeine compound,aspirin; codeine phosphate,codeine,NA,325 mg-30 mg,NA,NA,NA,NA,NA,NA
'00005313123',acetaminophen-codeine,codeine; paracetamol,codeine,NA,300-60,mg,lederle labs.,active,NA,NA,NA
'00005313131',acetaminophen-codeine,codeine; paracetamol,codeine,NA,300-60,mg,lederle labs.,active,NA,NA,NA
'00005332934',acetaminophen-codeine,codeine; paracetamol,codeine,NA,300-30,mg,lederle labs.,active,NA,NA,NA
'00007049420',sk-apap-codeine,codeine; paracetamol,codeine,NA,300-15,mg,sk beecham phar,inactive,NA,NA,NA
