ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00008419101',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,356.4-30-16,mg,women first hc,active,NA,NA,NA
'00008419102',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,women first hc,inactive,NA,NA,NA
'00008419103',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,wyeth pharm,inactive,NA,NA,NA
'00032129001',compal,dihydrocodeine; apap; caffeine,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00034800080',dhc plus,acetaminophen; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,356.4 mg-30 mg-16 mg,NA,NA,NA,NA,NA,NA
'00082419101',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,356.4-30-16,mg,ives labs.,active,NA,NA,NA
'00082419102',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ives labs.,inactive,NA,NA,NA
'00082419103',synalgos-dc,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ives labs.,inactive,NA,NA,NA
'00102294001',regal-dc,dihydrocodeine; apap; caffeine,dihydrocodeine,NA,16 mg,NA,NA,NA,NA,NA,NA
'00102294101',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,regal labs.,inactive,NA,NA,NA
'00150128440',dihydro d.c.,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00150128460',dihydro d.c.,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00172399460',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax pharmaceut,inactive,NA,NA,NA
'00172399470',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax pharmaceut,inactive,NA,NA,NA
'00172399480',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax pharmaceut,inactive,NA,NA,NA
'00182011101',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax/goldline l,inactive,NA,NA,NA
'00182140901',synlgen dc,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00182140905',synlgen dc,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00182165901',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax/goldline l,inactive,NA,NA,NA
'00182165905',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,ivax/goldline l,inactive,NA,NA,NA
'00217281701',triaprin dc,dihydrocodeine; apap; salicyl,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00217281703',triaprin dc,dihydrocodeine; apap; salicyl,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00304077801',dihydrocodeine compound,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00304077805',dihydrocodeine compound,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
'00306321680',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,azar inc,inactive,NA,NA,NA
'00306321685',dihydroxcodeine compound,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,azar inc,inactive,NA,NA,NA
'00349831301',aspirin-caffeine-dihydrocodein,aspirin; caffeine; dihydrocodein,dihydrocodeine,NA,NA,NA,parmed pharm.,inactive,NA,NA,NA
'00359152210',dihydrocodeine compound,aspirin; caffeine; dihydrocodeine bitartrate,dihydrocodeine,NA,NA,NA,NA,NA,NA,NA,NA
