ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00024068202',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024068205',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024068233',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024068234',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,sanofi winthrop,inactive,NA,NA,NA
'00037512030',onsolis,fentanyl,fentanyl,NA,"1,200",mcg,meda pharmaceut,inactive,NA,NA,NA
'00037520030',onsolis,fentanyl,fentanyl,NA,200,mcg,meda pharmaceut,inactive,NA,NA,NA
'00037540030',onsolis,fentanyl,fentanyl,NA,400,mcg,meda pharmaceut,inactive,NA,NA,NA
'00037560030',onsolis,fentanyl,fentanyl,NA,600,mcg,meda pharmaceut,inactive,NA,NA,NA
'00037580030',onsolis,fentanyl,fentanyl,NA,800,mcg,meda pharmaceut,inactive,NA,NA,NA
'00074118602',fentanyl-droperidol,fentanyl; combinations,fentanyl,NA,50-2.5,mcg-mg/ml,abbott hosp,inactive,NA,NA,NA
'00074118612',fentanyl-droperidol,fentanyl; combinations,fentanyl,NA,50-2.5,mcg-mg/ml,hospira,inactive,NA,NA,NA
'00074127602',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,hospira,inactive,NA,NA,NA
'00074127605',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,hospira,inactive,NA,NA,NA
'00074127612',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,hospira,inactive,NA,NA,NA
'00074127615',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,hospira,inactive,NA,NA,NA
'00074127632',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,hospira,inactive,NA,NA,NA
'00074127635',fentanyl citrate (pf),fentanyl,fentanyl,NA,50,mcg/ml,abbott hosp,inactive,NA,NA,NA
'00074244305',fentanyl oralet,fentanyl,fentanyl,NA,100,mcg,"cephalon,inc.-t",inactive,NA,NA,NA
'00074244405',fentanyl oralet,fentanyl,fentanyl,NA,200,mcg,"cephalon,inc.-t",inactive,NA,NA,NA
'00074244505',fentanyl oralet,fentanyl,fentanyl,NA,300,mcg,"cephalon,inc.-t",inactive,NA,NA,NA
'00074244605',fentanyl oralet,fentanyl,fentanyl,NA,400,mcg,"cephalon,inc.-t",inactive,NA,NA,NA
'00074246001',actiq,fentanyl,fentanyl,NA,200,mcg,"cephalon,inc.-t",active,NA,NA,NA
'00074246024',actiq,fentanyl,fentanyl,NA,200,mcg,"cephalon,inc.-t",active,NA,NA,NA
'00074246101',actiq,fentanyl,fentanyl,NA,400,mcg,"cephalon,inc.-t",active,NA,NA,NA
'00074246124',actiq,fentanyl,fentanyl,NA,400,mcg,"cephalon,inc.-t",active,NA,NA,NA
