ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00019158255',hydrocodone bitartrate (bulk),hydrocodone,hydrocodone,NA,.,NA,mallinckrodt,active,NA,NA,NA
'00023041901',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,2.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023042001',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023042005',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023043001',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,7.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023043005',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,7.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023043101',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023043105',hydrocodone bitartrate and acetaminophen,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023600201',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023602101',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,7.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023602105',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,7.5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023602201',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023602205',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,10-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023609001',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023609005',norco,hydrocodone bitartrate; acetaminophen,hydrocodone,NA,5-325,mg/1,"allergan, inc.",NA,NA,NA,NA
'00029136030',anexsia-d,aspirin; hydrocodone bitartrate,hydrocodone,NA,NA,NA,NA,NA,NA,NA,NA
'00029136033',anexsia-d,aspirin; hydrocodone bitartrate,hydrocodone,NA,NA,NA,NA,NA,NA,NA,NA
'00029136230',anexsia,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,monarch phrm,inactive,NA,NA,NA
'00029136530',anexsia,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,monarch phrm,inactive,NA,NA,NA
'00029136533',anexsia,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,sk beecham phar,inactive,NA,NA,NA
'00044072302',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,knoll pharm.,inactive,NA,NA,NA
'00044072303',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,knoll pharm.,inactive,NA,NA,NA
'00044072341',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,abbvie us llc,inactive,NA,NA,NA
'00044072502',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-660,mg,abbvie us llc,inactive,NA,NA,NA
'00044072503',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-660,mg,abbvie us llc,inactive,NA,NA,NA
'00044072702',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00044072703',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00044072741',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00044072802',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00044072803',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,knoll pharm.,inactive,NA,NA,NA
'00044072812',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00044072841',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00047016424',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,10-650,mg,warner-chilcott,inactive,NA,NA,NA
'00047031824',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,2.5-500,mg,warner-chilcott,inactive,NA,NA,NA
'00047031924',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,warner-chilcott,inactive,NA,NA,NA
'00047031930',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-500,mg,warner-chilcott,inactive,NA,NA,NA
'00047035524',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-650,mg,warner-chilcott,inactive,NA,NA,NA
'00047044824',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,warner-chilcott,inactive,NA,NA,NA
'00047044830',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,warner-chilcott,inactive,NA,NA,NA
'00047048624',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,warner-chilcott,inactive,NA,NA,NA
'00047048630',hydrocodone-acetaminophen,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,warner-chilcott,inactive,NA,NA,NA
'00056009170',zydone,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,endo labs,inactive,NA,NA,NA
'00074194912',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00074194914',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00074194954',vicodin,hydrocodone; acetaminophen,hydrocodone,NA,5-500,mg,abbvie us llc,inactive,NA,NA,NA
'00074197312',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00074197314',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00074197354',vicodin es,hydrocodone; acetaminophen,hydrocodone,NA,7.5-750,mg,abbvie us llc,inactive,NA,NA,NA
'00074227414',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-660,mg,abbvie us llc,inactive,NA,NA,NA
'00074227454',vicodin hp,hydrocodone; acetaminophen,hydrocodone,NA,10-660,mg,abbvie us llc,inactive,NA,NA,NA
'00074227712',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,abbvie us llc,inactive,NA,NA,NA
'00074227714',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,abbvie us llc,inactive,NA,NA,NA
'00074227754',vicoprofen,hydrocodone; ibuprofen,hydrocodone,NA,7.5-200,mg,abbvie us llc,inactive,NA,NA,NA
