ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00008029501',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,esi lederle,active,NA,NA,NA
'00008029502',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,wyeth pharm,active,NA,NA,NA
'00008029550',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,esi lederle,active,NA,NA,NA
'00008029601',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,esi lederle,active,NA,NA,NA
'00008029602',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,wyeth pharm,active,NA,NA,NA
'00008029650',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,esi lederle,active,NA,NA,NA
'00008038701',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,wyeth pharm,active,NA,NA,NA
'00008038703',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,esi lederle,active,NA,NA,NA
'00008038750',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,esi lederle,active,NA,NA,NA
'00008038801',hydromorphone,hydromorphone,hydromorphone,NA,3,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00024072601',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072602',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072622',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072702',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072704',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072722',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072802',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072812',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024072822',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00044101101',dilaudid (pf),hydromorphone,hydromorphone,NA,1,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101201',dilaudid (pf),hydromorphone,hydromorphone,NA,2,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101209',dilaudid (pf),hydromorphone,hydromorphone,NA,2,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101401',dilaudid (pf),hydromorphone,hydromorphone,NA,4,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101706',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101710',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044101725',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044102102',dilaudid,hydromorphone hydrochloride,hydromorphone,NA,1 mg,NA,NA,NA,NA,NA,NA
'00044102202',dilaudid,hydromorphone,hydromorphone,NA,2,mg,abbvie us llc,active,NA,NA,NA
'00044102203',dilaudid,hydromorphone,hydromorphone,NA,2,mg,abbvie us llc,active,NA,NA,NA
'00044102215',dilaudid,hydromorphone,hydromorphone,NA,2,mg,abbvie us llc,active,NA,NA,NA
'00044102245',dilaudid,hydromorphone,hydromorphone,NA,2,mg,abbvie us llc,active,NA,NA,NA
'00044102302',dilaudid,hydromorphone hydrochloride,hydromorphone,NA,3 mg,NA,NA,NA,NA,NA,NA
'00044102402',dilaudid,hydromorphone,hydromorphone,NA,4,mg,abbvie us llc,active,NA,NA,NA
'00044102403',dilaudid,hydromorphone,hydromorphone,NA,4,mg,abbvie us llc,active,NA,NA,NA
'00044102415',dilaudid,hydromorphone,hydromorphone,NA,4,mg,abbvie us llc,active,NA,NA,NA
'00044102445',dilaudid,hydromorphone,hydromorphone,NA,4,mg,abbvie us llc,active,NA,NA,NA
'00044102802',dilaudid,hydromorphone,hydromorphone,NA,8,mg,abbvie us llc,active,NA,NA,NA
'00044104001',dilaudid,hydromorphone,hydromorphone,NA,NA,NA,abbvie us llc,inactive,NA,NA,NA
'00044105301',dilaudid,hydromorphone,hydromorphone,NA,3,mg,abbvie us llc,inactive,NA,NA,NA
'00044106205',dilaudid,hydromorphone,hydromorphone,NA,2,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044108501',dilaudid-5,hydromorphone,hydromorphone,NA,1,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00044191101',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,250,mg,abbvie us llc,inactive,NA,NA,NA
'00054026424',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,"west-ward, inc.",active,NA,NA,NA
'00054026425',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,"west-ward, inc.",active,NA,NA,NA
'00054026525',hydromorphone,hydromorphone,hydromorphone,NA,8,mg,"west-ward, inc.",active,NA,NA,NA
'00054038663',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,"west-ward, inc.",active,NA,NA,NA
'00054338750',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,roxane labs.,active,NA,NA,NA
'00054338758',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,roxane labs.,active,NA,NA,NA
'00054338763',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,roxane labs.,active,NA,NA,NA
'00054437025',hydromorphone,hydromorphone,hydromorphone,NA,8,mg,roxane labs.,active,NA,NA,NA
'00054439225',hydromorphone,hydromorphone,hydromorphone,NA,2,mg,roxane labs.,active,NA,NA,NA
'00054439425',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,roxane labs.,active,NA,NA,NA
'00054834916',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,roxane labs.,active,NA,NA,NA
'00054835016',hydromorphone,hydromorphone,hydromorphone,NA,1,mg/ml,roxane labs.,active,NA,NA,NA
'00054839224',hydromorphone,hydromorphone,hydromorphone,NA,2,mg,roxane labs.,active,NA,NA,NA
'00054839424',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,roxane labs.,active,NA,NA,NA
'00074128301',hydromorphone (pf),hydromorphone,hydromorphone,NA,1,mg/ml,hospira,active,NA,NA,NA
'00074128331',hydromorphone (pf),hydromorphone,hydromorphone,NA,1,mg/ml,hospira,active,NA,NA,NA
'00074130401',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,abbott hosp,active,NA,NA,NA
'00074130412',hydromorphone,hydromorphone,hydromorphone,NA,4,mg/ml,abbott hosp,active,NA,NA,NA
'00074130431',hydromorphone (pf),hydromorphone,hydromorphone,NA,4,mg/ml,hospira,active,NA,NA,NA
'00074131201',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,abbott hosp,active,NA,NA,NA
'00074131202',hydromorphone (pf),hydromorphone,hydromorphone,NA,2,mg/ml,hospira,active,NA,NA,NA
'00074131212',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,abbott hosp,active,NA,NA,NA
'00074131230',hydromorphone (pf),hydromorphone,hydromorphone,NA,2,mg/ml,hospira,active,NA,NA,NA
'00074131231',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,abbott hosp,active,NA,NA,NA
'00074217201',hydromorphone,hydromorphone,hydromorphone,NA,10,mg/ml,abbott hosp,inactive,NA,NA,NA
'00074233211',dilaudid (pf),hydromorphone,hydromorphone,NA,1,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074233311',dilaudid (pf),hydromorphone,hydromorphone,NA,2,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074233326',dilaudid (pf),hydromorphone,hydromorphone,NA,2,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074233411',dilaudid (pf),hydromorphone,hydromorphone,NA,4,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074241421',dilaudid,hydromorphone,hydromorphone,NA,2,mg/ml,abbvie us llc,inactive,NA,NA,NA
'00074241512',dilaudid,hydromorphone,hydromorphone,NA,2,mg,purdue pharma l,active,NA,NA,NA
'00074241514',dilaudid,hydromorphone,hydromorphone,NA,2,mg,purdue pharma l,active,NA,NA,NA
'00074241554',dilaudid,hydromorphone,hydromorphone,NA,2,mg,abbvie us llc,active,NA,NA,NA
'00074241612',dilaudid,hydromorphone,hydromorphone,NA,4,mg,purdue pharma l,active,NA,NA,NA
'00074241614',dilaudid,hydromorphone,hydromorphone,NA,4,mg,purdue pharma l,active,NA,NA,NA
'00074241654',dilaudid,hydromorphone,hydromorphone,NA,4,mg,purdue pharma l,active,NA,NA,NA
'00074242614',dilaudid,hydromorphone,hydromorphone,NA,8,mg,purdue pharma l,active,NA,NA,NA
'00074242816',dilaudid,hydromorphone,hydromorphone,NA,NA,NA,abbvie us llc,inactive,NA,NA,NA
'00074245107',dilaudid,hydromorphone,hydromorphone,NA,3,mg,abbvie us llc,inactive,NA,NA,NA
'00074245202',dilaudid-5,hydromorphone,hydromorphone,NA,1,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074245311',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074245327',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074245351',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,10,mg/ml,purdue pharma l,inactive,NA,NA,NA
'00074245531',dilaudid-hp (pf),hydromorphone,hydromorphone,NA,250,mg,purdue pharma l,inactive,NA,NA,NA
'00182917201',hydromorphone,hydromorphone,hydromorphone,NA,2,mg,ivax/goldline l,active,NA,NA,NA
'00182917301',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,ivax/goldline l,active,NA,NA,NA
'00182917801',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,ivax/goldline l,active,NA,NA,NA
'00186130901',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,astra pharm.,active,NA,NA,NA
'00209423520',hydromorphone,hydromorphone,hydromorphone,NA,2,mg/ml,marsam pharm,active,NA,NA,NA
'00209423612',hydromorphone,hydromorphone,hydromorphone,NA,10,mg/ml,marsam pharm,inactive,NA,NA,NA
'00209423712',hydromorphone,hydromorphone,hydromorphone,NA,10,mg/ml,marsam pharm,inactive,NA,NA,NA
'00254361128',hydromorphone,hydromorphone,hydromorphone,NA,2,mg,vintage pharm,active,NA,NA,NA
'00254361228',hydromorphone,hydromorphone,hydromorphone,NA,4,mg,vintage pharm,active,NA,NA,NA
'00338935737',hydromorphone-bupiv (pf)-nacl,hydromorphone,hydromorphone,NA,20-0.06,mcg/ml-%,baxter healthca,active,NA,NA,NA
'00338935837',hydromorphone-bupiv (pf)-nacl,hydromorphone,hydromorphone,NA,20-0.125,mcg/ml-%,baxter healthca,active,NA,NA,NA
'00338936141',hydromorphone in 0.9 % nacl,hydromorphone,hydromorphone,NA,0.2,mg/ml,baxter healthca,active,NA,NA,NA
'00338936267',hydromorphone in 0.9 % nacl,hydromorphone,hydromorphone,NA,5 mg/25 ml,(0.2 mg/ml),baxter healthca,active,NA,NA,NA
'00338936375',hydromorphone in 0.9 % nacl,hydromorphone,hydromorphone,NA,10 mg/50 ml,(0.2 mg/ml),baxter healthca,active,NA,NA,NA
