ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00008023401',mepergan,meperidine,meperidine,NA,25-25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008023501',mepergan,meperidine,meperidine,NA,25-25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008023550',mepergan,meperidine,meperidine,NA,25-25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008025801',meperidine (pf),meperidine,meperidine,NA,50,mg/ml,esi lederle,active,NA,NA,NA
'00008025901',meperidine,meperidine,meperidine,NA,100,mg/ml,esi lederle,active,NA,NA,NA
'00008026102',mepergan fortis,meperidine,meperidine,NA,50-25,mg,wyeth pharm,inactive,NA,NA,NA
'00008030801',meperidine,meperidine,meperidine,NA,50,mg,wyeth pharm,active,NA,NA,NA
'00008030802',meperidine,meperidine,meperidine,NA,50,mg,esi lederle,active,NA,NA,NA
'00008030803',meperidine,meperidine,meperidine,NA,50,mg,esi lederle,active,NA,NA,NA
'00008060102',meperidine,meperidine,meperidine,NA,25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060103',meperidine,meperidine,meperidine,NA,25,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008060150',meperidine,meperidine,meperidine,NA,25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060151',meperidine,meperidine,meperidine,NA,25,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060202',meperidine,meperidine,meperidine,NA,50,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060203',meperidine,meperidine,meperidine,NA,50,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008060250',meperidine,meperidine,meperidine,NA,50,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060251',meperidine,meperidine,meperidine,NA,50,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060502',meperidine,meperidine,meperidine,NA,75,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060503',meperidine,meperidine,meperidine,NA,75,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008060550',meperidine,meperidine,meperidine,NA,75,mg/ml,esi lederle,inactive,NA,NA,NA
'00008060551',meperidine,meperidine,meperidine,NA,75,mg/ml,esi lederle,inactive,NA,NA,NA
'00008061302',meperidine,meperidine,meperidine,NA,100,mg/ml,esi lederle,inactive,NA,NA,NA
'00008061303',meperidine,meperidine,meperidine,NA,100,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008061350',meperidine,meperidine,meperidine,NA,100,mg/ml,esi lederle,inactive,NA,NA,NA
'00024002102',atropine-demerol,meperidine,meperidine,NA,50-0.4,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024002202',atropine-demerol,meperidine,meperidine,NA,75-0.4,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024022506',demerol,meperidine,meperidine,NA,50,mg,sanofi winthrop,inactive,NA,NA,NA
'00024032402',demerol,meperidine,meperidine,NA,25,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032404',demerol hydrochloride,meperidine hydrochloride,meperidine,NA,25 mg,NA,NA,inactive,NA,NA,NA
'00024032423',demerol,meperidine,meperidine,NA,25,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032442',demerol,meperidine,meperidine,NA,25,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032463',demerol,meperidine,meperidine,NA,25,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032502',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032504',demerol hydrochloride,meperidine hydrochloride,meperidine,NA,50 mg,NA,NA,inactive,NA,NA,NA
'00024032533',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032543',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032573',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032602',demerol,meperidine,meperidine,NA,75,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032604',demerol hydrochloride,meperidine hydrochloride,meperidine,NA,75 mg,NA,NA,inactive,NA,NA,NA
'00024032633',demerol,meperidine,meperidine,NA,75,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032644',demerol,meperidine,meperidine,NA,75,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032683',demerol,meperidine,meperidine,NA,75,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032802',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032804',demerol hydrochloride,meperidine hydrochloride,meperidine,NA,100 mg,NA,NA,inactive,NA,NA,NA
'00024032833',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032845',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032893',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024032901',demerol (pf),meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024033101',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024033206',demerol,meperidine,meperidine,NA,50,mg/5 ml,sanofi-aventis,inactive,NA,NA,NA
'00024033502',demerol,meperidine,meperidine,NA,50,mg,sanofi-aventis,inactive,NA,NA,NA
'00024033504',demerol,meperidine,meperidine,NA,50,mg,sanofi-aventis,inactive,NA,NA,NA
'00024033505',demerol,meperidine,meperidine,NA,50,mg,sanofi/validus,inactive,NA,NA,NA
'00024033506',demerol,meperidine,meperidine,NA,50,mg,sanofi-aventis,inactive,NA,NA,NA
'00024033702',demerol,meperidine,meperidine,NA,100,mg,sanofi winthrop,active,NA,NA,NA
'00024033704',demerol,meperidine,meperidine,NA,100,mg,sanofi-aventis,active,NA,NA,NA
'00024033705',demerol,meperidine,meperidine,NA,100,mg,sanofi/validus,active,NA,NA,NA
'00024033706',demerol,meperidine,meperidine,NA,100,mg,sanofi-aventis,active,NA,NA,NA
'00024036104',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024036204',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024036304',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024036404',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024036504',demerol,meperidine,meperidine,NA,100,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024037102',demerol hydrochloride,meperidine hydrochloride,meperidine,NA,25 mg,NA,NA,inactive,NA,NA,NA
'00024037104',demerol,meperidine,meperidine,NA,50,mg/ml,sanofi winthrop,active,NA,NA,NA
