ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00002106402',dolophine,methadone,methadone,NA,5,mg,eli lilly & co.,active,NA,NA,NA
'00002106404',dolophine,methadone,methadone,NA,5,mg,eli lilly & co.,active,NA,NA,NA
'00002107202',dolophine,methadone,methadone,NA,10,mg,eli lilly & co.,active,NA,NA,NA
'00002168201',dolophine,methadone,methadone,NA,10,mg/ml,eli lilly & co.,inactive,NA,NA,NA
'00002168225',dolophine,methadone,methadone,NA,10,mg/ml,eli lilly & co.,inactive,NA,NA,NA
'00002168702',dolophine hcl,methadone hydrochloride,methadone,NA,10 mg/1 ml,NA,NA,NA,NA,NA,NA
'00002168712',dolophine hcl,methadone hydrochloride,methadone,NA,10 mg/1 ml,NA,NA,NA,NA,NA,NA
'00002215302',methadone,methadone,methadone,NA,40,mg,eli lilly & co.,active,NA,NA,NA
'00019052705',methadose,methadone,methadone,NA,10,mg/ml,mallinckrodt,active,NA,NA,NA
'00019151056',methadone (bulk),methadone,methadone,NA,100,%,mallinckrodt,active,NA,NA,NA
'00019151057',methadone (bulk),methadone,methadone,NA,100,%,mallinckrodt,active,NA,NA,NA
'00019151059',methadone (bulk),methadone,methadone,NA,100,%,mallinckrodt,active,NA,NA,NA
'00019151061',methadone (bulk),methadone,methadone,NA,100,%,mallinckrodt,active,NA,NA,NA
'00054039168',methadone,methadone,methadone,NA,10,mg/ml,roxane/west-war,active,NA,NA,NA
'00054039268',methadone,methadone,methadone,NA,10,mg/ml,roxane/west-war,active,NA,NA,NA
'00054121811',dolophine,methadone,methadone,NA,10,mg/ml,roxane labs.,inactive,NA,NA,NA
'00054121842',dolophine,methadone,methadone,NA,10,mg/ml,roxane labs.,inactive,NA,NA,NA
'00054355344',methadone intensol,methadone,methadone,NA,10,mg/ml,roxane/west-war,active,NA,NA,NA
'00054355367',methadone,methadone,methadone,NA,10,mg/ml,roxane labs.,active,NA,NA,NA
'00054355467',methadone,methadone,methadone,NA,10,mg/ml,roxane labs.,active,NA,NA,NA
'00054355563',methadone,methadone,methadone,NA,5,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054355663',methadone,methadone,methadone,NA,10,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054421625',dolophine,methadone,methadone,NA,5,mg,roxane labs.,active,NA,NA,NA
'00054421725',dolophine,methadone,methadone,NA,10,mg,roxane labs.,active,NA,NA,NA
'00054421825',dolophine,methadone,methadone,NA,5,mg,"west-ward, inc.",active,NA,NA,NA
'00054421925',dolophine,methadone,methadone,NA,10,mg,"west-ward, inc.",active,NA,NA,NA
'00054453825',diskets,methadone,methadone,NA,40,mg,"west-ward, inc.",active,NA,NA,NA
'00054454725',methadone,methadone,methadone,NA,40,mg,roxane labs.,active,NA,NA,NA
'00054457025',methadone,methadone,methadone,NA,5,mg,"west-ward, inc.",active,NA,NA,NA
'00054457125',methadone,methadone,methadone,NA,10,mg,"west-ward, inc.",active,NA,NA,NA
'00054854725',methadone,methadone,methadone,NA,40,mg,roxane labs.,active,NA,NA,NA
'00054854816',methadone,methadone,methadone,NA,5,mg/5 ml,roxane labs.,active,NA,NA,NA
'00054854916',methadone,methadone,methadone,NA,10,mg/5 ml,roxane labs.,active,NA,NA,NA
'00054855311',methadone,methadone,methadone,NA,5,mg,roxane labs.,active,NA,NA,NA
'00054855324',methadone,methadone,methadone,NA,5,mg,"west-ward, inc.",active,NA,NA,NA
'00054855411',methadone,methadone,methadone,NA,10,mg,roxane labs.,active,NA,NA,NA
