ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00002163701',morphine,morphine,morphine,NA,15,mg/ml,eli lilly & co.,active,NA,NA,NA
'00002254902',morphine,morphine,morphine,NA,10,mg,ranbaxy pharmac,inactive,NA,NA,NA
'00002255002',morphine,morphine,morphine,NA,15,mg,ranbaxy pharmac,inactive,NA,NA,NA
'00002255003',morphine,morphine,morphine,NA,15,mg,eli lilly & co.,inactive,NA,NA,NA
'00002255102',morphine,morphine,morphine,NA,30,mg,ranbaxy pharmac,inactive,NA,NA,NA
'00002255103',morphine,morphine,morphine,NA,30,mg,eli lilly & co.,inactive,NA,NA,NA
'00008020501',morphine,morphine,morphine,NA,8,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020502',morphine,morphine,morphine,NA,8,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020503',morphine,morphine,morphine,NA,8,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020601',morphine,morphine,morphine,NA,10,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020602',morphine,morphine,morphine,NA,10,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020603',morphine,morphine,morphine,NA,10,mg/ml,wyeth pharm,active,NA,NA,NA
'00008020701',morphine,morphine,morphine,NA,15,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008020702',morphine,morphine,morphine,NA,15,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008020703',morphine,morphine,morphine,NA,15,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008053201',morphine,morphine,morphine,NA,2,mg/ml,wyeth pharm,active,NA,NA,NA
'00008053301',morphine,morphine,morphine,NA,4,mg/ml,wyeth pharm,active,NA,NA,NA
'00008064901',morphine,morphine,morphine,NA,2,mg/ml,esi lederle,active,NA,NA,NA
'00008064950',morphine,morphine,morphine,NA,2,mg/ml,esi lederle,active,NA,NA,NA
'00008064951',morphine,morphine,morphine,NA,2,mg/ml,esi lederle,active,NA,NA,NA
'00008065301',morphine,morphine,morphine,NA,4,mg/ml,esi lederle,active,NA,NA,NA
'00008065350',morphine,morphine,morphine,NA,4,mg/ml,esi lederle,active,NA,NA,NA
'00008065351',morphine,morphine,morphine,NA,4,mg/ml,esi lederle,active,NA,NA,NA
'00008065501',morphine,morphine,morphine,NA,8,mg/ml,wyeth pharm,active,NA,NA,NA
'00008065502',morphine,morphine,morphine,NA,8,mg/ml,wyeth pharm,active,NA,NA,NA
'00008065503',morphine,morphine,morphine,NA,8,mg/ml,esi lederle,active,NA,NA,NA
'00008065550',morphine,morphine,morphine,NA,8,mg/ml,esi lederle,active,NA,NA,NA
'00008065551',morphine,morphine,morphine,NA,8,mg/ml,esi lederle,active,NA,NA,NA
'00008065601',morphine,morphine,morphine,NA,10,mg/ml,esi lederle,active,NA,NA,NA
'00008065602',morphine,morphine,morphine,NA,10,mg/ml,wyeth pharm,active,NA,NA,NA
'00008065603',morphine,morphine,morphine,NA,10,mg/ml,wyeth pharm,active,NA,NA,NA
'00008065650',morphine,morphine,morphine,NA,10,mg/ml,esi lederle,active,NA,NA,NA
'00008065651',morphine,morphine,morphine,NA,10,mg/ml,esi lederle,active,NA,NA,NA
'00008065701',morphine,morphine,morphine,NA,15,mg/ml,esi lederle,inactive,NA,NA,NA
'00008065702',morphine,morphine,morphine,NA,15,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008065703',morphine,morphine,morphine,NA,15,mg/ml,wyeth pharm,inactive,NA,NA,NA
'00008065750',morphine,morphine,morphine,NA,15,mg/ml,esi lederle,inactive,NA,NA,NA
'00019152153',morphine (bulk),morphine,morphine,NA,100,%,mallinckrodt sp,active,NA,NA,NA
'00019152155',morphine (bulk),morphine,morphine,NA,100,%,mallinckrodt sp,active,NA,NA,NA
'00023601160',kadian,morphine sulfate,morphine,NA,10,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601260',kadian,morphine sulfate,morphine,NA,20,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601360',kadian,morphine sulfate,morphine,NA,30,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601460',kadian,morphine sulfate,morphine,NA,40,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601560',kadian,morphine sulfate,morphine,NA,50,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601660',kadian,morphine sulfate,morphine,NA,60,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601760',kadian,morphine sulfate,morphine,NA,80,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601860',kadian,morphine sulfate,morphine,NA,100,mg/1,"allergan, inc.",NA,NA,NA,NA
'00023601960',kadian,morphine sulfate,morphine,NA,200,mg/1,"allergan, inc.",NA,NA,NA,NA
'00024125701',morphine,morphine,morphine,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125702',morphine,morphine,morphine,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125711',morphine,morphine,morphine,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125721',morphine,morphine,morphine,NA,2,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125802',morphine,morphine,morphine,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125803',morphine,morphine,morphine,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125813',morphine,morphine,morphine,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125823',morphine,morphine,morphine,NA,4,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024125902',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126002',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126005',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126007',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126027',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126037',morphine,morphine,morphine,NA,8,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126102',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126128',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126202',morphine,morphine,morphine,NA,15,mg/ml,sanofi winthrop,inactive,NA,NA,NA
'00024126302',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126308',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126318',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
'00024126320',morphine,morphine,morphine,NA,15,mg/ml,sanofi-aventis,inactive,NA,NA,NA
'00024126347',morphine,morphine,morphine,NA,10,mg/ml,sanofi winthrop,active,NA,NA,NA
