ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00378876793',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,mylan pharmaceuticals inc.,NA,NA,NA,NA
'00378876893',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"12 mg/1,                         3  mg/1",NA,mylan pharmaceuticals inc.,NA,NA,NA,NA
'00406192309',buprenorphine hcl and naloxone hcl,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-.5,mg/1,"mallinckrodt, inc.",NA,NA,NA,NA
'00406192409',buprenorphine hcl and naloxone hcl,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,"mallinckrodt, inc.",NA,NA,NA,NA
'00406800503',buprenorphine hydrochloride and naloxone hydrochloride dihydrate,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,specgx llc,NA,NA,NA,NA
'00406802003',buprenorphine hydrochloride and naloxone hydrochloride dihydrate,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,specgx llc,NA,NA,NA,NA
'00490005100',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'00490005130',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'00490005160',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'00490005190',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'00781721664',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,2-.5,mg/1,NA,NA,NA,NA,NA
'00781722764',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,1-apr,mg/1,NA,NA,NA,NA,NA
'00781723864',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,2-aug,mg/1,NA,NA,NA,NA,NA
'00781724964',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,3-dec,mg/1,NA,NA,NA,NA,NA
'16590066605',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,2 mg-0.5 mg,NA,NA,NA,NA,NA,NA
'16590066705',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'16590066730',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'16590066790',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'23490927003',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'23490927006',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'23490927009',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'43598057930',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,dr.reddys laboratories inc,NA,NA,NA,NA
'43598058030',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"4 mg/1,                         1  mg/1",NA,dr.reddys laboratories inc,NA,NA,NA,NA
'43598058130',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"12 mg/1,                         3  mg/1",NA,dr.reddys laboratories inc,NA,NA,NA,NA
'43598058230',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,dr.reddys laboratories inc,NA,NA,NA,NA
'47781035503',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,alvogen inc.,NA,NA,NA,NA
'47781035603',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"4 mg/1,                         1  mg/1",NA,alvogen inc.,NA,NA,NA,NA
'47781035703',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,alvogen inc.,NA,NA,NA,NA
'47781035803',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,"12 mg/1,                         3  mg/1",NA,alvogen inc.,NA,NA,NA,NA
'53217013830',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,2-aug,mg/1,aidarex pharmaceuticals llc,NA,NA,NA,NA
'53217032801',suboxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,aidarex pharmaceuticals llc,NA,NA,NA,NA
'55887031204',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'55887031215',suboxone,buprenorphine; naloxone,naloxone,buprenorphine,8 mg-2 mg,NA,NA,NA,NA,NA,NA
'60429058633',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,"2 mg/1,                         .5  mg/1",NA,"golden state medical supply, inc.",NA,NA,NA,NA
'60429058733',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride,naloxone,buprenorphine,"8 mg/1,                         2  mg/1",NA,"golden state medical supply, inc.",NA,NA,NA,NA
'60846097003',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-.5,mg/1,"gemini laboratories, llc",NA,NA,NA,NA
'60846097103',buprenorphine and naloxone,buprenorphine hydrochloride; naloxone hydrochloride dihydrate,naloxone,buprenorphine,2-aug,mg/1,"gemini laboratories, llc",NA,NA,NA,NA
'62175045232',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,2-.5,mg/1,kremers urban pharmaceuticals inc.,NA,NA,NA,NA
'62175045832',buprenorphine and naloxone,buprenorphine; naloxone,naloxone,buprenorphine,2-aug,mg/1,kremers urban pharmaceuticals inc.,NA,NA,NA,NA
