ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00007031920',oxycodone hcl-oxycodone-asa,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,sk beecham phar,inactive,NA,NA,NA
'00007032020',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-325,mg,sk beecham phar,active,NA,NA,NA
'00007032025',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-325,mg,sk beecham phar,active,NA,NA,NA
'00045052560',tylox,oxycodone; paracetamol,oxycodone,NA,5-500,mg,mc neil,inactive,NA,NA,NA
'00045052579',tylox,oxycodone; paracetamol,oxycodone,NA,5-500,mg,mc neil,inactive,NA,NA,NA
'00045052660',tylox,oxycodone; paracetamol,oxycodone,NA,5-500,mg,mc neil,inactive,NA,NA,NA
'00045052679',tylox,oxycodone; paracetamol,oxycodone,NA,5-500,mg,mc neil,inactive,NA,NA,NA
'00054039041',oxycodone,oxycodone,oxycodone,NA,5,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054039063',oxycodone,oxycodone,oxycodone,NA,5,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054039344',oxycodone,oxycodone,oxycodone,NA,20,mg/ml,roxane/west-war,active,NA,NA,NA
'00054052244',oxycodone,oxycodone,oxycodone,NA,20,mg/ml,roxane/west-war,active,NA,NA,NA
'00054052341',oxycodone,oxycodone,oxycodone,NA,5,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054052363',oxycodone,oxycodone,oxycodone,NA,5,mg/5 ml,roxane/west-war,active,NA,NA,NA
'00054055124',oxycodone and acetaminophen,oxycodone; acetaminophen,oxycodone,NA,5-325,mg/1,NA,NA,NA,NA,NA
'00054055125',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane/west-war,active,NA,NA,NA
'00054055129',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane/west-war,active,NA,NA,NA
'00054279525',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-500,mg,roxane labs.,inactive,NA,NA,NA
'00054368263',roxicodone,oxycodone,oxycodone,NA,5,mg/5 ml,xanodyne pharm,inactive,NA,NA,NA
'00054368344',roxicodone intensol,oxycodone,oxycodone,NA,20,mg/ml,xanodyne pharm,inactive,NA,NA,NA
'00054368663',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg/5 ml,roxane labs.,inactive,NA,NA,NA
'00054465025',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465029',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465325',roxiprin,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465331',roxiprin,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465525',oxycodone-aspirin,oxycodone; acetylsalicyclic acid,oxycodone,NA,2.44-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465531',oxycodone-aspirin,oxycodone; acetylsalicyclic acid,oxycodone,NA,2.44-325,mg,roxane labs.,inactive,NA,NA,NA
'00054465725',roxicodone,oxycodone,oxycodone,NA,5,mg,xanodyne pharm,active,NA,NA,NA
'00054465825',roxicodone,oxycodone,oxycodone,NA,15,mg,xanodyne pharm,active,NA,NA,NA
'00054466525',roxicodone,oxycodone,oxycodone,NA,30,mg,xanodyne pharm,active,NA,NA,NA
'00054478425',roxicet,oxycodone; paracetamol,oxycodone,NA,5-500,mg,roxane labs.,inactive,NA,NA,NA
'00054864804',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg/5 ml,roxane labs.,inactive,NA,NA,NA
'00054864816',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg/5 ml,roxane labs.,inactive,NA,NA,NA
'00054865011',oxycodone-acetaminophen,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane labs.,active,NA,NA,NA
'00054865024',roxicet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,roxane labs.,inactive,NA,NA,NA
'00054865311',oxycodone hcl-oxycodone-asa,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,roxane labs.,inactive,NA,NA,NA
'00054865324',roxiprin,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,roxane labs.,inactive,NA,NA,NA
'00054865511',oxycodone-aspirin,oxycodone; acetylsalicyclic acid,oxycodone,NA,2.44-325,mg,roxane labs.,inactive,NA,NA,NA
'00054865711',oxycodone,oxycodone,oxycodone,NA,5,mg,roxane labs.,active,NA,NA,NA
'00054865724',roxicodone,oxycodone,oxycodone,NA,5,mg,xanodyne pharm,active,NA,NA,NA
'00054865824',roxicodone,oxycodone,oxycodone,NA,15,mg,elan,active,NA,NA,NA
'00054866524',roxicodone,oxycodone,oxycodone,NA,30,mg,elan,active,NA,NA,NA
'00054878216',roxicodone,oxycodone,oxycodone,NA,5,mg/5 ml,xanodyne pharm,inactive,NA,NA,NA
'00054878424',roxicet,oxycodone; paracetamol,oxycodone,NA,5-500,mg,roxane labs.,inactive,NA,NA,NA
'00060012725',percocet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,dupont ph(p.r.),active,NA,NA,NA
'00060012765',percocet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,du pont pharma,active,NA,NA,NA
'00060012770',percocet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,du pont pharma,active,NA,NA,NA
'00060012785',percocet,oxycodone; paracetamol,oxycodone,NA,5-325,mg,du pont pharma,active,NA,NA,NA
'00060013525',percodan,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,dupont ph(p.r.),inactive,NA,NA,NA
'00060013565',percodan,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,du pont pharma,inactive,NA,NA,NA
'00060013570',percodan,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,du pont pharma,inactive,NA,NA,NA
'00060013585',percodan,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,du pont pharma,inactive,NA,NA,NA
'00060013590',percodan,oxycodone; acetylsalicyclic acid,oxycodone,NA,4.5-0.38-325,mg,du pont pharma,inactive,NA,NA,NA
