ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00054028325',oxymorphone,oxymorphone,oxymorphone,NA,5,mg,roxane/west-war,active,NA,NA,NA
'00054028425',oxymorphone,oxymorphone,oxymorphone,NA,10,mg,roxane/west-war,active,NA,NA,NA
'00093586101',oxymorphone,oxymorphone,oxymorphone,NA,5,mg,teva usa,active,NA,NA,NA
'00093586201',oxymorphone,oxymorphone,oxymorphone,NA,10,mg,teva usa,active,NA,NA,NA
'00115123101',oxymorphone,oxymorphone,oxymorphone,NA,5,mg,global pharm,active,NA,NA,NA
'00115123103',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,5,mg/1,impax generics,NA,NA,NA,NA
'00115123108',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,5,mg/1,impax generics,NA,NA,NA,NA
'00115123113',oxymorphone,oxymorphone,oxymorphone,NA,5,mg,global pharm,active,NA,NA,NA
'00115123201',oxymorphone,oxymorphone,oxymorphone,NA,10,mg,global pharm,active,NA,NA,NA
'00115123203',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,10,mg/1,impax generics,NA,NA,NA,NA
'00115123208',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,10,mg/1,impax generics,NA,NA,NA,NA
'00115123213',oxymorphone,oxymorphone,oxymorphone,NA,10,mg,global pharm,active,NA,NA,NA
'00115123301',oxymorphone,oxymorphone,oxymorphone,NA,20,mg,global pharm,active,NA,NA,NA
'00115123303',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,20,mg/1,impax generics,NA,NA,NA,NA
'00115123308',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,20,mg/1,impax generics,NA,NA,NA,NA
'00115123313',oxymorphone,oxymorphone,oxymorphone,NA,20,mg,global pharm,active,NA,NA,NA
'00115123401',oxymorphone,oxymorphone,oxymorphone,NA,40,mg,global pharm,active,NA,NA,NA
'00115123403',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,40,mg/1,impax generics,NA,NA,NA,NA
'00115123408',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,40,mg/1,impax generics,NA,NA,NA,NA
'00115123413',oxymorphone,oxymorphone,oxymorphone,NA,40,mg,global pharm,active,NA,NA,NA
'00115131501',oxymorphone,oxymorphone,oxymorphone,NA,7.5,mg,global pharm,active,NA,NA,NA
'00115131503',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,7.5,mg/1,impax generics,NA,NA,NA,NA
'00115131508',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,7.5,mg/1,impax generics,NA,NA,NA,NA
'00115131513',oxymorphone,oxymorphone,oxymorphone,NA,7.5,mg,global pharm,active,NA,NA,NA
'00115131601',oxymorphone,oxymorphone,oxymorphone,NA,15,mg,global pharm,active,NA,NA,NA
'00115131603',oxymorphone hydrochloride,oxymorphone hydrochloride,oxymorphone,NA,15,mg/1,impax generics,NA,NA,NA,NA
