ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00002035102',darvocet-n 50,dextropropoxyphene,propoxyphene,NA,50-325,mg,xanodyne pharm,inactive,NA,NA,NA
'00002035103',darvocet-n 50,dextropropoxyphene,propoxyphene,NA,50-325,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035133',darvocet-n 50,dextropropoxyphene,propoxyphene,NA,50-325,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035143',darvocet-n 50,dextropropoxyphene,propoxyphene,NA,50-325,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035151',darvocet-n 50,dextropropoxyphene,propoxyphene,NA,50-325,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035302',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,aaipharma,inactive,NA,NA,NA
'00002035303',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,aaipharma,inactive,NA,NA,NA
'00002035329',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035333',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,aaipharma,inactive,NA,NA,NA
'00002035343',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035351',darvon-n,dextropropoxyphene,propoxyphene,NA,100,mg,eli lilly & co.,inactive,NA,NA,NA
'00002035402',darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,NA,NA,NA,NA
'00002035403',darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,NA,NA,NA,NA
'00002035429',darvon-n w/a.s.a.,aspirin; propoxyphene napsylate,propoxyphene,NA,NA,NA,NA,inactive,NA,NA,NA
'00002036302',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,aaipharma,inactive,NA,NA,NA
'00002036303',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,aaipharma,inactive,NA,NA,NA
'00002036329',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,eli lilly & co.,inactive,NA,NA,NA
'00002036333',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,aaipharma,inactive,NA,NA,NA
'00002036343',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,eli lilly & co.,inactive,NA,NA,NA
'00002036346',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,eli lilly & co.,inactive,NA,NA,NA
'00002036351',darvocet-n 100,dextropropoxyphene,propoxyphene,NA,100-650,mg,eli lilly & co.,inactive,NA,NA,NA
'00002080202',darvon,propoxyphene hydrochloride,propoxyphene,NA,32 mg,NA,NA,NA,NA,NA,NA
'00002080203',darvon,propoxyphene hydrochloride,propoxyphene,NA,32 mg,NA,NA,NA,NA,NA,NA
'00002080233',darvon,propoxyphene hydrochloride,propoxyphene,NA,32 mg,NA,NA,NA,NA,NA,NA
'00002080302',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,aaipharma,inactive,NA,NA,NA
'00002080303',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,aaipharma,inactive,NA,NA,NA
'00002080329',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,eli lilly & co.,inactive,NA,NA,NA
'00002080333',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,aaipharma,inactive,NA,NA,NA
'00002080343',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,eli lilly & co.,inactive,NA,NA,NA
'00002080346',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,eli lilly & co.,inactive,NA,NA,NA
'00002080351',darvon,dextropropoxyphene,propoxyphene,NA,65,mg,eli lilly & co.,inactive,NA,NA,NA
'00002080402',darvon w/a.s.a.,aspirin; propoxyphene hydrochloride,propoxyphene,NA,NA,NA,NA,NA,NA,NA,NA
'00002080403',darvon w/a.s.a.,aspirin; propoxyphene hydrochloride,propoxyphene,NA,NA,NA,NA,NA,NA,NA,NA
'00002080502',darvon compound,propoxyphene; aspirin; caffeine,propoxyphene,NA,NA,NA,NA,inactive,NA,NA,NA
'00002080602',darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,inactive,NA,NA,NA
'00002080603',darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,inactive,NA,NA,NA
'00002080629',darvon compound-65,dextropropoxyphene,propoxyphene,NA,NA,NA,NA,inactive,NA,NA,NA
'00002237105',darvon-n,propoxyphene napsylate,propoxyphene,NA,50 mg/5 ml,NA,NA,NA,NA,NA,NA
'00002311002',darvon compound 32,dextropropoxyphene,propoxyphene,NA,32-389-32.4,mg,eli lilly & co.,inactive,NA,NA,NA
'00002311003',darvon compound 32,dextropropoxyphene,propoxyphene,NA,32-389-32.4,mg,eli lilly & co.,inactive,NA,NA,NA
