ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00074449803',ultiva,remifentanil,remifentanil,NA,1,mg,bioniche pharma,active,NA,NA,NA
'00074450405',ultiva,remifentanil,remifentanil,NA,2,mg,bioniche pharma,active,NA,NA,NA
'00074450710',ultiva,remifentanil,remifentanil,NA,5,mg,bioniche pharma,active,NA,NA,NA
'00173048300',ultiva,remifentanil,remifentanil,NA,1,mg,abbott hosp,active,NA,NA,NA
'00173048400',ultiva,remifentanil,remifentanil,NA,2,mg,abbott hosp,active,NA,NA,NA
'00173048500',ultiva,remifentanil,remifentanil,NA,5,mg,abbott hosp,active,NA,NA,NA
'24200041644',remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,NA,50 mcg/ml,NA,NA,NA,NA,NA,NA
'61553030079',remifentanil hcl-0.9%nacl (pf),remifentanil,remifentanil,NA,100 mcg/2 ml,(50 mcg/ml),pharmedium,active,NA,NA,NA
'63323072303',remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,NA,1 mg/ml,NA,"fresenius kabi usa, llc",NA,NA,NA,NA
'63323072405',remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,NA,1 mg/ml,NA,"fresenius kabi usa, llc",NA,NA,NA,NA
'63323072510',remifentanil hydrochloride,remifentanil hydrochloride,remifentanil,NA,1 mg/ml,NA,"fresenius kabi usa, llc",NA,NA,NA,NA
'67457019800',ultiva,remifentanil,remifentanil,NA,1,mg,mylan instituti,active,NA,NA,NA
'67457019803',ultiva,remifentanil,remifentanil,NA,1,mg,mylan instituti,active,NA,NA,NA
'67457019805',ultiva,remifentanil,remifentanil,NA,2,mg,mylan instituti,active,NA,NA,NA
'67457019810',ultiva,remifentanil,remifentanil,NA,5,mg,mylan instituti,active,NA,NA,NA
'67457019898',ultiva,remifentanil,remifentanil,NA,5,mg,mylan instituti,active,NA,NA,NA
'67457019899',ultiva,remifentanil,remifentanil,NA,2,mg,mylan instituti,active,NA,NA,NA
