ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00049338225',sufentanil citrate,sufentanil citrate,sufentanil,NA,50 mcg/1 ml,NA,NA,NA,NA,NA,NA
'00074338031',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00074338032',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00074338035',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00074338049',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,novaplus,active,NA,NA,NA
'00074338050',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,novaplus,active,NA,NA,NA
'00074338051',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,novaplus,active,NA,NA,NA
'00074338221',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00074338222',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00074338225',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00406067252',sufentanil citrate (bulk),sufentanil,sufentanil,NA,NA,NA,mallinckrodt ph,active,NA,NA,NA
'00409338031',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338032',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338035',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338049',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira/novaplu,active,NA,NA,NA
'00409338050',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira/novaplu,active,NA,NA,NA
'00409338051',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira/novaplu,active,NA,NA,NA
'00409338221',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338222',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338225',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,hospira,active,NA,NA,NA
'00409338249',sufentanil citrate,sufentanil citrate,sufentanil,NA,50,ug/ml,"hospira, inc.",NA,NA,NA,NA
'00409338250',sufentanil citrate,sufentanil citrate,sufentanil,NA,50,ug/ml,"hospira, inc.",NA,NA,NA,NA
'00409338251',sufentanil citrate,sufentanil citrate,sufentanil,NA,50,ug/ml,"hospira, inc.",NA,NA,NA,NA
'00641095523',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,esi lederle,active,NA,NA,NA
'00641095623',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,esi lederle,active,NA,NA,NA
'00641114133',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641114233',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641114333',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641514133',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,vha pl/esi led,active,NA,NA,NA
'00641514233',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,vha pl/esi led,active,NA,NA,NA
'00641514333',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,vha pl/esi led,active,NA,NA,NA
'00641611001',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641611010',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641611101',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641611110',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641611201',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'00641611210',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005006',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005021',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005036',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005037',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005039',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10019005043',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"west-ward, inc.",active,NA,NA,NA
'10139007501',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'10139007502',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'10139007505',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'10139007510',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'10139007512',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'10139007515',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,"generamedix, in",active,NA,NA,NA
'11098005001',sufenta,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,inactive,NA,NA,NA
'11098005002',sufenta,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,inactive,NA,NA,NA
'11098005005',sufenta,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,inactive,NA,NA,NA
'17478005001',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,active,NA,NA,NA
'17478005002',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,active,NA,NA,NA
'17478005005',sufentanil citrate,sufentanil,sufentanil,NA,50,mcg/ml,akorn inc.,active,NA,NA,NA
'24200036280',sufentanil citrate-ropivacaine hcl-sodium chloride,na cl; ropivacaine hcl; sufentanil citrate,sufentanil,NA,0.2%-0.9%-0.25 mcg/ml,NA,NA,NA,NA,NA,NA
