ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'16590028930',nucynta,tapentadol,tapentadol,NA,100,mg,stat rx usa,active,NA,NA,NA
'16590028960',nucynta,tapentadol hydrochloride,tapentadol,NA,100,mg/1,stat rx usa,NA,NA,NA,NA
'16590028972',nucynta,tapentadol,tapentadol,NA,100,mg,stat rx usa,active,NA,NA,NA
'16590086315',nucynta,tapentadol,tapentadol,NA,50,mg,stat rx usa,active,NA,NA,NA
'16590086330',nucynta,tapentadol,tapentadol,NA,50,mg,stat rx usa,active,NA,NA,NA
'16590086340',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg,NA,NA,NA,NA,NA,NA
'16590086350',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg,NA,NA,NA,NA,NA,NA
'16590086360',nucynta,tapentadol,tapentadol,NA,50,mg,stat rx usa,active,NA,NA,NA
'16590086375',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg,NA,NA,NA,NA,NA,NA
'16590086390',nucynta,tapentadol,tapentadol,NA,50,mg,stat rx usa,active,NA,NA,NA
'16590088930',nucynta,tapentadol hydrochloride,tapentadol,NA,75,mg/1,stat rx usa llc,NA,NA,NA,NA
'16590088960',nucynta,tapentadol hydrochloride,tapentadol,NA,75,mg/1,stat rx usa llc,NA,NA,NA,NA
'16590088972',nucynta,tapentadol,tapentadol,NA,75,mg,stat rx usa,active,NA,NA,NA
'16590088990',nucynta,tapentadol hydrochloride,tapentadol,NA,75 mg,NA,NA,NA,NA,NA,NA
'21695006972',nucynta,tapentadol,tapentadol,NA,50,mg,physician partn,active,NA,NA,NA
'21695006990',nucynta,tapentadol,tapentadol,NA,50,mg,physician partn,active,NA,NA,NA
'35356052500',nucynta,tapentadol,tapentadol,NA,50,mg,quality care,active,NA,NA,NA
'35356052530',nucynta,tapentadol,tapentadol,NA,50,mg,quality care,active,NA,NA,NA
'35356059330',nucynta,tapentadol,tapentadol,NA,75,mg,quality care,active,NA,NA,NA
'35356059390',nucynta,tapentadol hydrochloride,tapentadol,NA,75,mg/1,lake erie medical dba quality care products llc,NA,NA,NA,NA
'35356061130',nucynta,tapentadol,tapentadol,NA,100,mg,quality care,active,NA,NA,NA
'35356061160',nucynta,tapentadol,tapentadol,NA,100,mg,quality care,active,NA,NA,NA
'35356061190',nucynta,tapentadol,tapentadol,NA,100,mg,quality care,active,NA,NA,NA
'35356077060',nucynta er,tapentadol,tapentadol,NA,100,mg,quality care,active,NA,NA,NA
'35356081060',nucynta er,tapentadol,tapentadol,NA,50,mg,quality care,active,NA,NA,NA
'50458081701',nucynta,tapentadol hydrochloride,tapentadol,NA,20,mg/ml,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458081702',nucynta,tapentadol hydrochloride,tapentadol,NA,20,mg/ml,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458082002',nucynta,tapentadol,tapentadol,NA,50,mg,janssen pharmac,active,NA,NA,NA
'50458082004',nucynta,tapentadol,tapentadol,NA,50,mg,janssen pharmac,active,NA,NA,NA
'50458083002',nucynta,tapentadol,tapentadol,NA,75,mg,janssen pharmac,active,NA,NA,NA
'50458083004',nucynta,tapentadol,tapentadol,NA,75,mg,janssen pharmac,active,NA,NA,NA
'50458084002',nucynta,tapentadol,tapentadol,NA,100,mg,janssen pharmac,active,NA,NA,NA
'50458084004',nucynta,tapentadol,tapentadol,NA,100,mg,janssen pharmac,active,NA,NA,NA
'50458086001',nucynta er,tapentadol,tapentadol,NA,50,mg,janssen pharmac,active,NA,NA,NA
'50458086002',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458086101',nucynta er,tapentadol,tapentadol,NA,100,mg,janssen pharmac,active,NA,NA,NA
'50458086102',nucynta,tapentadol hydrochloride,tapentadol,NA,100,mg/1,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458086201',nucynta er,tapentadol,tapentadol,NA,150,mg,janssen pharmac,active,NA,NA,NA
'50458086202',nucynta,tapentadol hydrochloride,tapentadol,NA,150,mg/1,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458086301',nucynta er,tapentadol,tapentadol,NA,200,mg,janssen pharmac,active,NA,NA,NA
'50458086302',nucynta,tapentadol hydrochloride,tapentadol,NA,200,mg/1,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'50458086401',nucynta er,tapentadol,tapentadol,NA,250,mg,janssen pharmac,active,NA,NA,NA
'50458086402',nucynta,tapentadol hydrochloride,tapentadol,NA,250,mg/1,"janssen pharmaceuticals, inc.",NA,NA,NA,NA
'54868597900',nucynta,tapentadol,tapentadol,NA,50,mg,physicians tc.,active,NA,NA,NA
'54868597901',nucynta,tapentadol,tapentadol,NA,50,mg,physicians tc.,active,NA,NA,NA
'54868600200',nucynta,tapentadol,tapentadol,NA,75,mg,physicians tc.,active,NA,NA,NA
'54868603900',nucynta,tapentadol,tapentadol,NA,100,mg,physicians tc.,active,NA,NA,NA
'55700055560',nucynta,tapentadol hydrochloride,tapentadol,NA,100 mg/1,NA,lake erie medical dba quality care products llc,NA,NA,NA,NA
'55700056560',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg/1,NA,lake erie medical dba quality care products llc,NA,NA,NA,NA
'55700060630',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg/1,NA,lake erie medical dba quality care products llc,NA,NA,NA,NA
'63629417901',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629417902',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629417903',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629417904',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629417905',nucynta,tapentadol hydrochloride,tapentadol,NA,50,mg/1,bryant ranch prepack,NA,NA,NA,NA
'63629461101',nucynta,tapentadol,tapentadol,NA,100,mg,bryant ranch pr,active,NA,NA,NA
'63629461102',nucynta,tapentadol,tapentadol,NA,100,mg,bryant ranch pr,active,NA,NA,NA
'63629461103',nucynta,tapentadol,tapentadol,NA,100,mg,bryant ranch pr,active,NA,NA,NA
'68071083291',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg,NA,NA,NA,NA,NA,NA
'68071083391',nucynta,tapentadol hydrochloride,tapentadol,NA,75 mg,NA,NA,NA,NA,NA,NA
'69865021001',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg/1,NA,"depo nf sub, llc",NA,NA,NA,NA
'69865021002',nucynta,tapentadol hydrochloride,tapentadol,NA,50 mg/1,NA,"depo nf sub, llc",NA,NA,NA,NA
'69865022001',nucynta,tapentadol hydrochloride,tapentadol,NA,75 mg/1,NA,"depo nf sub, llc",NA,NA,NA,NA
