ndc,drug_name,generic_name,opioid_ingredient1,opioid_ingredient2,strength,strength_uom,manufacturer,status,ingredients,manufacturer_abbr_name,ir_er
'00045065010',ultracet,tramadol; paracetamol,tramadol,NA,37.5-325,mg,mc neil,active,NA,NA,NA
'00045065060',ultracet,tramadol; paracetamol,tramadol,NA,37.5-325,mg,mc neil,active,NA,NA,NA
'00045065910',ultram,tramadol,tramadol,NA,50,mg,mc neil,active,NA,NA,NA
'00045065960',ultram,tramadol,tramadol,NA,50,mg,mc neil,active,NA,NA,NA
'00045065970',ultram,tramadol,tramadol,NA,50,mg,mc neil,active,NA,NA,NA
'00062065330',ultram er,tramadol,tramadol,NA,100,mg,mc neil,inactive,NA,NA,NA
'00062065530',ultram er,tramadol,tramadol,NA,200,mg,mc neil,inactive,NA,NA,NA
'00062065730',ultram er,tramadol,tramadol,NA,300,mg,mc neil,inactive,NA,NA,NA
'00093005801',tramadol,tramadol,tramadol,NA,50,mg,teva usa,active,NA,NA,NA
'00093005805',tramadol,tramadol,tramadol,NA,50,mg,teva usa,active,NA,NA,NA
'00172635900',tramadol-acetaminophen,tramadol; paracetamol,tramadol,NA,37.5-325,mg,ivax pharmaceut,active,NA,NA,NA
'00172635910',tramadol-acetaminophen,tramadol; paracetamol,tramadol,NA,37.5-325,mg,ivax pharmaceut,active,NA,NA,NA
'00172635960',tramadol-acetaminophen,tramadol; paracetamol,tramadol,NA,37.5-325,mg,ivax pharmaceut,active,NA,NA,NA
'00172635970',tramadol-acetaminophen,tramadol; paracetamol,tramadol,NA,37.5-325,mg,ivax pharmaceut,active,NA,NA,NA
'00172651500',tramadol,tramadol,tramadol,NA,50,mg,ivax pharmaceut,active,NA,NA,NA
'00172651510',tramadol,tramadol,tramadol,NA,50,mg,ivax pharmaceut,active,NA,NA,NA
'00172651560',tramadol,tramadol,tramadol,NA,50,mg,ivax pharmaceut,active,NA,NA,NA
'00172651570',tramadol,tramadol,tramadol,NA,50,mg,ivax pharmaceut,active,NA,NA,NA
'00185031101',tramadol,tramadol,tramadol,NA,50,mg,eon labs,active,NA,NA,NA
'00185031110',tramadol,tramadol,tramadol,NA,50,mg,eon labs,active,NA,NA,NA
