cpt_code,pcs_ccs_single,pcs_ccs_single_label
'11000',169,"(169) debridement of wound, infection or burn"
'11005',169,"(169) debridement of wound, infection or burn"
'11006',169,"(169) debridement of wound, infection or burn"
'11010',169,"(169) debridement of wound, infection or burn"
'11011',169,"(169) debridement of wound, infection or burn"
'11012',169,"(169) debridement of wound, infection or burn"
'11043',169,"(169) debridement of wound, infection or burn"
'11044',169,"(169) debridement of wound, infection or burn"
'11760',175,(175) other or therapeutic procedures on skin and breast
'11762',175,(175) other or therapeutic procedures on skin and breast
'11770',175,(175) other or therapeutic procedures on skin and breast
'11771',175,(175) other or therapeutic procedures on skin and breast
'11772',175,(175) other or therapeutic procedures on skin and breast
'11960',175,(175) other or therapeutic procedures on skin and breast
'11970',175,(175) other or therapeutic procedures on skin and breast
'11971',175,(175) other or therapeutic procedures on skin and breast
'13150',19,"(19) other therapeutic procedures on eyelids, conjunctiva, cornea"
'13160',171,(171) suture of skin and subcutaneous tissue
'14000',172,(172) skin graft
'14001',172,(172) skin graft
'14020',172,(172) skin graft
'14021',172,(172) skin graft
'14040',172,(172) skin graft
'14041',172,(172) skin graft
'14060',172,(172) skin graft
'14061',172,(172) skin graft
'14300',172,(172) skin graft
'14301',172,(172) skin graft
'14350',172,(172) skin graft
'15040',172,(172) skin graft
'15050',172,(172) skin graft
'15100',172,(172) skin graft
'15110',172,(172) skin graft
'15115',172,(172) skin graft
'15120',172,(172) skin graft
'15130',172,(172) skin graft
'15135',172,(172) skin graft
'15150',172,(172) skin graft
'15155',172,(172) skin graft
'15170',172,(172) skin graft
'15175',172,(172) skin graft
'15200',172,(172) skin graft
'15220',172,(172) skin graft
'15240',172,(172) skin graft
'15260',172,(172) skin graft
'15271',172,(172) skin graft
'15273',172,(172) skin graft
'15275',172,(172) skin graft
'15277',172,(172) skin graft
'15300',172,(172) skin graft
'15320',172,(172) skin graft
'15330',172,(172) skin graft
'15335',172,(172) skin graft
'15340',172,(172) skin graft
'15360',172,(172) skin graft
'15365',172,(172) skin graft
'15400',172,(172) skin graft
'15420',172,(172) skin graft
'15430',172,(172) skin graft
'15570',172,(172) skin graft
'15572',172,(172) skin graft
'15574',172,(172) skin graft
'15576',172,(172) skin graft
'15600',172,(172) skin graft
'15610',172,(172) skin graft
'15620',172,(172) skin graft
'15630',172,(172) skin graft
'15650',172,(172) skin graft
'15731',172,(172) skin graft
'15732',172,(172) skin graft
'15734',172,(172) skin graft
'15736',172,(172) skin graft
'15738',172,(172) skin graft
'15740',175,(175) other or therapeutic procedures on skin and breast
'15750',9,(9) other or therapeutic nervous system procedures
'15756',172,(172) skin graft
'15757',172,(172) skin graft
'15758',172,(172) skin graft
'15760',172,(172) skin graft
'15770',172,(172) skin graft
'15819',175,(175) other or therapeutic procedures on skin and breast
'15824',175,(175) other or therapeutic procedures on skin and breast
'15825',175,(175) other or therapeutic procedures on skin and breast
'15826',175,(175) other or therapeutic procedures on skin and breast
'15828',175,(175) other or therapeutic procedures on skin and breast
'15829',175,(175) other or therapeutic procedures on skin and breast
'15830',175,(175) other or therapeutic procedures on skin and breast
'15831',175,(175) other or therapeutic procedures on skin and breast
'15832',175,(175) other or therapeutic procedures on skin and breast
'15833',175,(175) other or therapeutic procedures on skin and breast
'15834',175,(175) other or therapeutic procedures on skin and breast
'15835',175,(175) other or therapeutic procedures on skin and breast
'15836',175,(175) other or therapeutic procedures on skin and breast
'15837',175,(175) other or therapeutic procedures on skin and breast
'15838',175,(175) other or therapeutic procedures on skin and breast
'15839',175,(175) other or therapeutic procedures on skin and breast
'15840',172,(172) skin graft
'15841',172,(172) skin graft
'15842',172,(172) skin graft
'15845',172,(172) skin graft
'15876',175,(175) other or therapeutic procedures on skin and breast
'15877',175,(175) other or therapeutic procedures on skin and breast
'15878',175,(175) other or therapeutic procedures on skin and breast
'15879',175,(175) other or therapeutic procedures on skin and breast
'15920',142,(142) partial excision bone
'15922',142,(142) partial excision bone
'15931',170,(170) excision of skin lesion
'15933',142,(142) partial excision bone
'15934',170,(170) excision of skin lesion
'15935',142,(142) partial excision bone
'15936',170,(170) excision of skin lesion
'15937',142,(142) partial excision bone
'15940',170,(170) excision of skin lesion
'15941',142,(142) partial excision bone
'15944',170,(170) excision of skin lesion
'15945',142,(142) partial excision bone
'15946',142,(142) partial excision bone
'15950',170,(170) excision of skin lesion
'15951',142,(142) partial excision bone
'15952',170,(170) excision of skin lesion
'15953',142,(142) partial excision bone
'15956',170,(170) excision of skin lesion
'15958',142,(142) partial excision bone
'17311',170,(170) excision of skin lesion
'17313',170,(170) excision of skin lesion
'19020',175,(175) other or therapeutic procedures on skin and breast
'19110',174,(174) other non-or therapeutic procedures on skin and breast
'19112',175,(175) other or therapeutic procedures on skin and breast
'19120',166,"(166) lumpectomy, quadrantectomy of breast"
'19125',166,"(166) lumpectomy, quadrantectomy of breast"
'19140',175,(175) other or therapeutic procedures on skin and breast
'19160',166,"(166) lumpectomy, quadrantectomy of breast"
'19162',166,"(166) lumpectomy, quadrantectomy of breast"
'19180',167,(167) mastectomy
'19182',167,(167) mastectomy
'19200',167,(167) mastectomy
'19220',167,(167) mastectomy
'19240',167,(167) mastectomy
'19260',142,(142) partial excision bone
'19271',142,(142) partial excision bone
'19272',142,(142) partial excision bone
'19300',167,(167) mastectomy
'19301',166,"(166) lumpectomy, quadrantectomy of breast"
'19302',166,"(166) lumpectomy, quadrantectomy of breast"
'19303',167,(167) mastectomy
'19304',167,(167) mastectomy
'19305',167,(167) mastectomy
'19306',167,(167) mastectomy
'19307',167,(167) mastectomy
'19316',175,(175) other or therapeutic procedures on skin and breast
'19318',175,(175) other or therapeutic procedures on skin and breast
'19324',175,(175) other or therapeutic procedures on skin and breast
'19325',175,(175) other or therapeutic procedures on skin and breast
'19328',175,(175) other or therapeutic procedures on skin and breast
'19330',175,(175) other or therapeutic procedures on skin and breast
'19340',175,(175) other or therapeutic procedures on skin and breast
'19342',175,(175) other or therapeutic procedures on skin and breast
'19350',175,(175) other or therapeutic procedures on skin and breast
'19355',175,(175) other or therapeutic procedures on skin and breast
'19357',175,(175) other or therapeutic procedures on skin and breast
'19361',175,(175) other or therapeutic procedures on skin and breast
'19364',175,(175) other or therapeutic procedures on skin and breast
'19366',175,(175) other or therapeutic procedures on skin and breast
'19367',175,(175) other or therapeutic procedures on skin and breast
'19368',175,(175) other or therapeutic procedures on skin and breast
'19369',175,(175) other or therapeutic procedures on skin and breast
'19370',175,(175) other or therapeutic procedures on skin and breast
'19371',175,(175) other or therapeutic procedures on skin and breast
'19380',175,(175) other or therapeutic procedures on skin and breast
'20005',164,(164) other or therapeutic procedures on musculoskeletal system
'20100',175,(175) other or therapeutic procedures on skin and breast
'20101',175,(175) other or therapeutic procedures on skin and breast
'20102',175,(175) other or therapeutic procedures on skin and breast
'20103',175,(175) other or therapeutic procedures on skin and breast
'20150',142,(142) partial excision bone
'20661',214,"(214) traction, splints, and other wound care"
'20664',214,"(214) traction, splints, and other wound care"
'20670',161,(161) other or therapeutic procedures on bone
'20680',161,(161) other or therapeutic procedures on bone
'20690',161,(161) other or therapeutic procedures on bone
'20692',161,(161) other or therapeutic procedures on bone
'20693',161,(161) other or therapeutic procedures on bone
'20694',161,(161) other or therapeutic procedures on bone
'20696',161,(161) other or therapeutic procedures on bone
'20697',161,(161) other or therapeutic procedures on bone
'20802',164,(164) other or therapeutic procedures on musculoskeletal system
'20805',164,(164) other or therapeutic procedures on musculoskeletal system
'20808',164,(164) other or therapeutic procedures on musculoskeletal system
'20816',164,(164) other or therapeutic procedures on musculoskeletal system
'20822',164,(164) other or therapeutic procedures on musculoskeletal system
'20824',164,(164) other or therapeutic procedures on musculoskeletal system
'20827',164,(164) other or therapeutic procedures on musculoskeletal system
'20838',164,(164) other or therapeutic procedures on musculoskeletal system
'20900',161,(161) other or therapeutic procedures on bone
'20902',161,(161) other or therapeutic procedures on bone
'20910',164,(164) other or therapeutic procedures on musculoskeletal system
'20912',33,"(33) other or therapeutic procedures on nose, mouth and pharynx"
'20920',160,(160) other therapeutic procedures on muscles and tendons
'20922',160,(160) other therapeutic procedures on muscles and tendons
'20924',160,(160) other therapeutic procedures on muscles and tendons
'20926',175,(175) other or therapeutic procedures on skin and breast
'20955',161,(161) other or therapeutic procedures on bone
'20956',161,(161) other or therapeutic procedures on bone
'20957',161,(161) other or therapeutic procedures on bone
'20962',161,(161) other or therapeutic procedures on bone
'20969',161,(161) other or therapeutic procedures on bone
'20970',161,(161) other or therapeutic procedures on bone
'20972',161,(161) other or therapeutic procedures on bone
'20973',161,(161) other or therapeutic procedures on bone
'20975',161,(161) other or therapeutic procedures on bone
'21010',162,(162) other or therapeutic procedures on joints
'21013',160,(160) other therapeutic procedures on muscles and tendons
'21014',160,(160) other therapeutic procedures on muscles and tendons
'21015',160,(160) other therapeutic procedures on muscles and tendons
'21016',160,(160) other therapeutic procedures on muscles and tendons
'21025',142,(142) partial excision bone
'21026',142,(142) partial excision bone
'21029',142,(142) partial excision bone
'21030',142,(142) partial excision bone
'21031',142,(142) partial excision bone
'21032',142,(142) partial excision bone
'21034',142,(142) partial excision bone
'21040',142,(142) partial excision bone
'21044',142,(142) partial excision bone
'21045',142,(142) partial excision bone
'21046',142,(142) partial excision bone
'21047',142,(142) partial excision bone
'21048',142,(142) partial excision bone
'21049',142,(142) partial excision bone
'21050',142,(142) partial excision bone
'21060',164,(164) other or therapeutic procedures on musculoskeletal system
'21070',142,(142) partial excision bone
'21120',161,(161) other or therapeutic procedures on bone
'21121',161,(161) other or therapeutic procedures on bone
'21122',161,(161) other or therapeutic procedures on bone
'21123',161,(161) other or therapeutic procedures on bone
'21125',161,(161) other or therapeutic procedures on bone
'21127',161,(161) other or therapeutic procedures on bone
'21137',161,(161) other or therapeutic procedures on bone
'21138',161,(161) other or therapeutic procedures on bone
'21139',161,(161) other or therapeutic procedures on bone
'21141',161,(161) other or therapeutic procedures on bone
'21142',161,(161) other or therapeutic procedures on bone
'21143',161,(161) other or therapeutic procedures on bone
'21145',161,(161) other or therapeutic procedures on bone
'21146',161,(161) other or therapeutic procedures on bone
'21147',161,(161) other or therapeutic procedures on bone
'21150',161,(161) other or therapeutic procedures on bone
'21151',161,(161) other or therapeutic procedures on bone
'21154',161,(161) other or therapeutic procedures on bone
'21155',161,(161) other or therapeutic procedures on bone
'21159',161,(161) other or therapeutic procedures on bone
'21160',161,(161) other or therapeutic procedures on bone
'21172',161,(161) other or therapeutic procedures on bone
'21175',161,(161) other or therapeutic procedures on bone
'21179',161,(161) other or therapeutic procedures on bone
'21180',161,(161) other or therapeutic procedures on bone
'21181',161,(161) other or therapeutic procedures on bone
'21182',161,(161) other or therapeutic procedures on bone
'21183',161,(161) other or therapeutic procedures on bone
'21184',161,(161) other or therapeutic procedures on bone
'21188',161,(161) other or therapeutic procedures on bone
'21193',161,(161) other or therapeutic procedures on bone
'21194',161,(161) other or therapeutic procedures on bone
'21195',161,(161) other or therapeutic procedures on bone
'21196',161,(161) other or therapeutic procedures on bone
'21198',161,(161) other or therapeutic procedures on bone
