'ICD-9-CM CODE','ICD-9-CM CODE DESCRIPTION','CATEGORY ASSIGNMENT'
'0001',THERAP ULTRASOUND OF HEAD AN (Begin 2002),2
'0002',THERAPEUTIC ULTRASOUND OF HE (Begin 2002),2
'0003',THERAP ULTRASOUND PERIPHRL V (Begin 2002),2
'0009',OTHER THERAPEUTIC ULTRASOUND (Begin 2002),2
'0010',IMPLANTATION OF CHEMOTHERAPE (Begin 2002),2
'0011',INFUSION DROTRECOGIN ALFA (A (Begin 2002),2
'0012',ADMINISTRATION OF INHALED NI (Begin 2002),2
'0013',INJECTION OR INFUSION OF NES (Begin 2002),2
'0014',INJECT/INFUS OF OXAZOLIDINON (Begin 2002),2
'0015',HIGH-DOSE INFUSION IL-2 (Begin 2003),2
'0016',PRESSURIZED TREAT GRAFT (Begin 2004),2
'0017',INFUSION OF VASOPRESSOR (Begin 2004),2
'0018',INFUS IMMUNOSUP ANTIBODY (Begin 2005),2
'0019',BBBD VIA INFUSION (Begin 2007),2
'0021',IVUS EXTRACRAN CEREB VES (Begin 2004),1
'0022',IVUS INTRATHORACIC VES (Begin 2004),1
'0023',IVUS PERIPHERAL VESSELS (Begin 2004),1
'0024',IVUS CORONARY VESSELS (Begin 2004),1
'0025',IVUS RENAL VESSELS (Begin 2004),1
'0028',INTRAVASCUL IMAGING NEC (Begin 2004),1
'0029',INTRAVASCUL IMAGING NOS (Begin 2004),1
'0031',CAS W CT/CTA (Begin 2004),1
'0032',CAS W MR/MRA (Begin 2004),1
'0033',CAS W FLUOROSCOPY (Begin 2004),1
'0034',IMAGELESS COMP ASST SURG (Begin 2004),1
'0035',CAS W MULTIPLE DATASETS (Begin 2004),1
'0039',OTHER CAS (Begin 2004),1
'0040',PROCEDUREONE VESSEL (Begin 2005),2
'0041',PROCEDURETWO VESSELS (Begin 2005),2
'0042',PROCEDURETHREE VESSELS (Begin 2005),2
'0043',PROCEDUREFOUR+ VESSELS (Begin 2005),2
'0044',PROC-VESSEL BIFURCATION  (Begin 2006),2
'0045',INSERT 1 VASCULAR STENT (Begin 2005),2
'0046',INSERT 2 VASCULAR STENTS (Begin 2005),2
'0047',INSERT 3 VASCULAR STENTS (Begin 2005),2
'0048',INSERT 4+ VASCULR STENTS (Begin 2005),2
'0049',SUPERSAT O2 THERAPY (begin 2008),2
'0050',IMPLA RESYNCHR PACEMAKER W/0 (Begin 2002),4
'0051',IMPLA RESYNCHRONIZATION DEFI (Begin 2002),4
'0052',IMPL/REPL TRANSVENOUS LEAD L (Begin 2002),4
'0053',IMPL/REPL PACEMAKER PLSE GE (Begin 2002),4
