'CPT CODE RANGE','SURGERY FLAG'
'10021-10022','1'
'10030-10030','1'
'10035-10035','1'
'10040-10040','1'
'10060-10061','1'
'10080-10081','1'
'10120-10121','1'
'10140-10140','1'
'10180-10180','1'
'11000-11000','2'
'11004-11004','1'
'11005-11006','2'
'11010-11012','2'
'11042-11042','1'
'11043-11044','2'
'11400-11404','1'
'11406-11406','1'
'11420-11424','1'
'11426-11426','1'
'11440-11444','1'
'11446-11446','1'
'11450-11451','1'
'11462-11463','1'
'11470-11471','1'
'11600-11604','1'
'11606-11606','1'
'11620-11624','1'
'11626-11626','1'
'11640-11644','1'
'11646-11646','1'
'11730-11730','1'
'11740-11740','1'
'11750-11750','1'
'11752-11752','1'
'11760-11760','2'
'11762-11762','2'
'11765-11765','1'
'11770-11772','2'
'11960-11960','2'
'11970-11971','2'
'11980-11983','1'
'12001-12002','1'
'12004-12007','1'
'12011-12011','1'
'12013-12018','1'
'12020-12021','1'
'12031-12032','1'
'12034-12037','1'
'12041-12042','1'
'12044-12047','1'
'12051-12057','1'
'13100-13101','1'
'13120-13121','1'
'13131-13132','1'
'13150-13150','2'
'13151-13152','1'
'13160-13160','2'
'14000-14001','2'
'14020-14021','2'
'14040-14041','2'
'14060-14061','2'
'14300-14301','2'
'14350-14350','2'
'15000-15000','1'
'15002-15002','1'
'15004-15004','1'
'15040-15040','2'
'15050-15050','2'
'15100-15100','2'
'15110-15110','2'
'15115-15115','2'
'15120-15120','2'
'15130-15130','2'
'15135-15135','2'
'15150-15150','2'
'15155-15155','2'
'15170-15170','2'
'15175-15175','2'
'15200-15200','2'
'15220-15220','2'
'15240-15240','2'
'15260-15260','2'
'15271-15271','2'
'15273-15273','2'
'15275-15275','2'
'15277-15277','2'
'15300-15300','2'
'15320-15320','2'
'15330-15330','2'
'15335-15335','2'
'15340-15340','2'
'15360-15360','2'
'15365-15365','2'
'15400-15400','2'
'15420-15420','2'
'15430-15430','2'
'15570-15570','2'
'15572-15572','2'
'15574-15574','2'
'15576-15576','2'
'15600-15600','2'
'15610-15610','2'
'15620-15620','2'
'15630-15630','2'
'15650-15650','2'
'15731-15732','2'
'15734-15734','2'
'15736-15736','2'
'15738-15738','2'
'15740-15740','2'
'15750-15750','2'
'15756-15758','2'
'15760-15760','2'
'15770-15770','2'
'15775-15776','1'
'15819-15819','2'
'15820-15823','1'
'15824-15826','2'
'15828-15842','2'
'15845-15845','2'
'15876-15879','2'
'15920-15920','2'
'15922-15922','2'
'15931-15931','2'
'15933-15937','2'
'15940-15941','2'
'15944-15946','2'
'15950-15953','2'
'15956-15956','2'
'15958-15958','2'
'16020-16020','1'
'16025-16025','1'
'16030-16030','1'
'16035-16035','1'
'17304-17307','1'
'17311-17311','2'
'17313-17313','2'
'19000-19000','1'
'19020-19020','2'
'19081-19081','1'
'19083-19083','1'
'19085-19085','1'
'19100-19101','1'
'19105-19105','1'
'19110-19110','2'
'19112-19112','2'
'19120-19120','2'
'19125-19125','2'
'19140-19140','2'
'19160-19160','2'
'19162-19162','2'
'19180-19180','2'
'19182-19182','2'
'19200-19200','2'
'19220-19220','2'
'19240-19240','2'
'19260-19260','2'
'19271-19272','2'
'19281-19281','1'
'19283-19283','1'
'19285-19285','1'
'19287-19287','1'
'19296-19296','1'
'19298-19298','1'
'19300-19307','2'
'19316-19316','2'
'19318-19318','2'
'19324-19325','2'
'19328-19328','2'
'19330-19330','2'
'19340-19340','2'
'19342-19342','2'
'19350-19350','2'
'19355-19355','2'
'19357-19357','2'
'19361-19361','2'
'19364-19364','2'
'19366-19371','2'
'19380-19380','2'
'20000-20000','1'
'20005-20005','2'
'20100-20103','2'
'20150-20150','2'
'20205-20205','1'
'20220-20220','1'
'20225-20225','1'
'20240-20240','1'
'20245-20245','1'
'20250-20251','1'
'20520-20520','1'
'20525-20525','1'
'20555-20555','1'
'20615-20615','1'
'20650-20650','1'
'20660-20660','1'
'20661-20661','2'
'20662-20663','1'
'20664-20664','2'
'20670-20670','2'
'20680-20680','2'
'20690-20690','2'
'20692-20694','2'
'20696-20697','2'
'20802-20802','2'
'20805-20805','2'
'20808-20808','2'
'20816-20816','2'
'20822-20822','2'
'20824-20824','2'
'20827-20827','2'
'20838-20838','2'
'20900-20900','2'
'20902-20902','2'
'20910-20910','2'
'20912-20912','2'
'20920-20920','2'
'20922-20922','2'
'20924-20924','2'
'20926-20926','2'
'20950-20950','1'
'20955-20957','2'
'20962-20962','2'
'20969-20970','2'
'20972-20973','2'
'20975-20975','2'
'20982-20983','1'
'21010-21010','2'
'21011-21012','1'
'21013-21016','2'
'21025-21026','2'
'21029-21032','2'
'21034-21034','2'
'21040-21040','2'
'21044-21050','2'
'21060-21060','2'
'21070-21070','2'
'21100-21100','1'
'21110-21110','1'
'21120-21123','2'
'21125-21125','2'
'21127-21127','2'
'21137-21139','2'
'21141-21143','2'
'21145-21147','2'
'21150-21151','2'
'21154-21155','2'
'21159-21160','2'
'21172-21172','2'
'21175-21175','2'
'21179-21184','2'
'21188-21188','2'
'21193-21196','2'
'21198-21199','2'
'21206-21206','2'
'21208-21210','2'
'21215-21215','2'
'21230-21230','2'
'21235-21235','2'
'21240-21240','2'
'21242-21249','2'
'21255-21256','2'
'21260-21261','2'
'21263-21263','2'
'21267-21268','2'
'21270-21270','2'
'21275-21275','2'
'21280-21280','2'
'21282-21282','2'
'21295-21296','2'
'21325-21325','2'
'21330-21330','2'
'21335-21336','2'
'21338-21339','2'
'21340-21340','1'
'21343-21344','2'
'21345-21345','1'
'21346-21348','2'
'21355-21355','1'
'21356-21356','2'
'21360-21360','2'
'21365-21366','2'
'21385-21387','2'
'21390-21390','2'
'21395-21395','2'
'21406-21408','2'
'21421-21421','1'
'21422-21423','2'
'21431-21431','1'
'21432-21433','2'
'21435-21436','2'
'21445-21445','2'
'21452-21453','1'
'21454-21454','2'
'21461-21462','2'
'21465-21465','2'
'21470-21470','2'
'21485-21485','1'
'21490-21490','2'
'21495-21495','2'
'21501-21502','2'
'21510-21510','2'
'21552-21552','1'
'21554-21554','2'
'21555-21555','1'
'21556-21558','2'
'21600-21600','2'
'21610-21610','2'
'21615-21616','2'
'21620-21620','2'
'21627-21627','2'
'21630-21630','2'
'21632-21632','2'
'21685-21685','2'
'21700-21700','2'
'21705-21705','2'
'21720-21720','2'
'21725-21725','2'
'21740-21740','2'
'21742-21743','2'
'21750-21750','2'
'21805-21805','2'
'21810-21810','1'
'21811-21813','2'
'21825-21825','2'
'21930-21931','1'
'21932-21933','2'
'21935-21936','2'
'22010-22010','2'
'22015-22015','2'
'22100-22102','2'
'22110-22110','2'
'22112-22112','2'
'22114-22114','2'
'22206-22207','2'
'22210-22210','2'
'22212-22212','2'
'22214-22214','2'
'22220-22220','2'
'22222-22222','2'
'22224-22224','2'
'22318-22319','2'
'22325-22327','2'
'22510-22511','1'
'22513-22514','1'
'22520-22524','1'
'22526-22526','1'
'22532-22533','2'
'22548-22548','2'
'22551-22551','2'
'22554-22554','2'
'22556-22556','2'
'22558-22558','2'
'22586-22586','2'
'22590-22590','2'
'22595-22595','2'
'22600-22600','2'
'22610-22610','2'
'22612-22612','2'
'22630-22630','2'
'22633-22633','2'
'22800-22800','2'
'22802-22802','2'
'22804-22804','2'
'22808-22808','2'
'22810-22810','2'
'22812-22812','2'
'22818-22819','2'
'22830-22830','2'
'22849-22850','2'
'22852-22852','2'
'22855-22857','2'
'22861-22862','2'
'22864-22865','2'
'22867-22867','2'
'22869-22869','2'
'22900-22901','2'
'22902-22903','1'
'22904-22905','2'
'23000-23000','2'
'23020-23020','2'
'23030-23031','1'
'23035-23035','2'
'23040-23040','2'
'23044-23044','2'
'23066-23066','1'
'23071-23071','1'
'23073-23073','2'
'23075-23075','1'
'23076-23078','2'
'23100-23100','1'
'23101-23101','2'
'23105-23107','2'
'23120-23120','2'
'23125-23125','2'
'23130-23130','2'
'23140-23140','2'
'23145-23146','2'
'23150-23150','2'
'23155-23156','2'
'23170-23170','2'
'23172-23172','2'
'23174-23174','2'
'23180-23180','2'
'23182-23182','2'
'23184-23184','2'
'23190-23190','2'
'23195-23195','2'
'23200-23200','2'
'23210-23210','2'
'23220-23222','2'
'23330-23330','1'
'23331-23335','2'
'23395-23395','2'
'23397-23397','2'
'23400-23400','2'
'23405-23406','2'
'23410-23410','2'
'23412-23412','2'
'23415-23415','2'
'23420-23420','2'
'23430-23430','2'
'23440-23440','2'
'23450-23450','2'
'23455-23455','2'
'23460-23460','2'
'23462-23462','2'
'23465-23466','2'
'23470-23470','2'
'23472-23474','2'
'23480-23480','2'
'23485-23485','2'
'23490-23491','2'
'23515-23515','2'
'23530-23530','2'
'23532-23532','2'
'23550-23550','2'
'23552-23552','2'
'23585-23585','2'
'23615-23616','2'
'23630-23630','2'
'23660-23660','2'
'23670-23670','2'
'23680-23680','2'
'23800-23800','2'
'23802-23802','2'
'23900-23900','2'
'23920-23921','2'
'23930-23931','1'
'23935-23935','2'
'24000-24000','2'
'24006-24006','2'
'24071-24071','1'
'24073-24073','2'
'24075-24075','1'
'24076-24077','2'
'24079-24079','2'
'24101-24102','2'
'24105-24105','2'
'24110-24110','2'
'24115-24116','2'
'24120-24120','2'
'24125-24126','2'
'24130-24130','2'
'24134-24134','2'
'24136-24136','2'
'24138-24138','2'
'24140-24140','2'
'24145-24145','2'
'24147-24147','2'
'24149-24153','2'
'24155-24155','2'
'24160-24160','2'
'24164-24164','2'
'24200-24201','1'
'24301-24301','2'
'24305-24305','2'
'24310-24310','2'
'24320-24320','2'
'24330-24332','2'
'24340-24346','2'
'24350-24352','2'
'24354-24354','2'
'24356-24356','2'
'24357-24357','1'
'24358-24363','2'
'24365-24366','2'
'24370-24371','2'
'24400-24400','2'
'24410-24410','2'
'24420-24420','2'
'24430-24430','2'
'24435-24435','2'
'24470-24470','2'
'24495-24495','2'
'24498-24498','2'
'24515-24516','2'
'24538-24538','1'
'24545-24546','2'
'24566-24566','1'
'24575-24575','2'
'24579-24579','2'
'24582-24582','1'
'24586-24587','2'
'24615-24615','2'
'24635-24635','2'
'24665-24666','2'
'24685-24685','2'
'24800-24800','2'
'24802-24802','2'
'24900-24900','2'
'24920-24920','2'
'24925-24925','2'
'24930-24931','2'
'24935-24935','2'
'24940-24940','2'
'25000-25001','2'
'25020-25020','2'
'25023-25025','2'
'25028-25028','1'
'25031-25031','1'
'25035-25035','2'
'25040-25040','2'
'25071-25071','1'
'25073-25073','2'
'25075-25075','1'
'25076-25078','2'
'25085-25085','2'
'25100-25100','1'
'25101-25101','2'
'25105-25105','2'
'25107-25107','2'
'25109-25112','2'
'25115-25116','2'
'25118-25120','2'
'25125-25126','2'
'25130-25130','2'
'25135-25136','2'
'25145-25145','2'
'25150-25151','2'
'25170-25170','2'
'25210-25210','2'
'25215-25215','2'
'25230-25230','2'
'25240-25240','2'
'25248-25248','1'
'25250-25251','2'
'25260-25260','2'
'25263-25263','2'
'25265-25265','2'
'25270-25270','2'
'25272-25272','2'
'25274-25275','2'
'25280-25280','2'
'25290-25290','2'
'25295-25295','2'
'25300-25301','2'
'25310-25310','2'
'25312-25312','2'
'25315-25316','2'
'25320-25320','2'
'25332-25332','2'
'25335-25335','2'
'25337-25337','2'
'25350-25350','2'
'25355-25355','2'
'25360-25360','2'
'25365-25365','2'
'25370-25370','2'
'25375-25375','2'
'25390-25394','2'
'25400-25400','2'
'25405-25405','2'
'25415-25415','2'
'25420-25420','2'
'25425-25426','2'
'25430-25431','2'
'25440-25447','2'
'25449-25450','2'
'25455-25455','2'
'25490-25492','2'
'25515-25515','2'
'25525-25526','2'
'25545-25545','2'
'25574-25575','2'
'25606-25606','1'
'25607-25609','2'
'25611-25611','2'
'25620-25620','2'
'25628-25628','2'
'25645-25645','2'
'25651-25651','1'
'25652-25652','2'
'25670-25670','2'
'25671-25671','1'
'25676-25676','2'
'25685-25685','2'
'25695-25695','2'
'25800-25800','2'
'25805-25805','2'
'25810-25810','2'
'25820-25820','2'
'25825-25825','2'
'25830-25830','2'
'25900-25900','2'
'25905-25905','2'
'25907-25907','2'
'25909-25909','2'
'25915-25915','2'
'25920-25920','2'
'25922-25922','2'
'25924-25924','2'
'25927-25927','2'
'25929-25929','2'
'25931-25931','2'
'26010-26011','1'
'26020-26020','1'
'26025-26025','1'
'26030-26030','1'
'26034-26035','2'
'26037-26037','2'
'26040-26040','2'
'26045-26045','2'
'26055-26055','2'
'26060-26060','2'
'26070-26070','2'
'26075-26075','2'
'26080-26080','2'
'26100-26100','1'
'26105-26105','1'
'26110-26111','1'
'26113-26113','2'
'26115-26115','1'
'26116-26118','2'
'26121-26121','2'
'26123-26123','2'
'26130-26130','2'
'26135-26135','2'
'26140-26140','2'
'26145-26145','2'
'26160-26160','2'
'26170-26170','2'
'26180-26180','2'
'26185-26185','2'
'26200-26200','2'
