drug_name,ndc,strength,strength_uom,manufacturer,status
Norpramin,'00068000701',10,mg,SANOFI/VALIDUS,Active
Norpramin,'30698000701',10,mg,VALIDUS PHARMAC,Active
Norpramin,'54569200600',10,mg,A-S MEDICATION,Active
Norpramin,'00068001101',25,mg,SANOFI/VALIDUS,Active
Norpramin,'00068001110',25,mg,SANOFI-AVENTIS,Active
Norpramin,'00068001161',25,mg,SANOFI-AVENTIS,Active
Norpramin,'30698001101',25,mg,VALIDUS PHARMAC,Active
Norpramin,'54124040230',25,mg,OMEGA LABS.,Active
Norpramin,'54569018400',25,mg,A-S MEDICATION,Active
Norpramin,'54569018401',25,mg,A-S MEDICATION,Active
Norpramin,'54569018402',25,mg,A-S MEDICATION,Active
Norpramin,'00068002001',100,mg,SANOFI/VALIDUS,Inactive
Norpramin,'00068002150',150,mg,SANOFI/VALIDUS,Inactive
Norpramin,'00068001501',50,mg,SANOFI/VALIDUS,Inactive
Norpramin,'00068001510',50,mg,SANOFI-AVENTIS,Inactive
Norpramin,'00068001561',50,mg,SANOFI-AVENTIS,Inactive
Norpramin,'54569018500',50,mg,A-S MEDICATION,Inactive
Norpramin,'54569018501',50,mg,A-S MEDICATION,Inactive
Norpramin,'00068001901',75,mg,SANOFI/VALIDUS,Inactive
Norpramin,'54124062530',75,mg,OMEGA LABS.,Inactive
desipramine,'38779042903',NA,NA,MEDISCA INC.,Active
desipramine,'38779042904',NA,NA,MEDISCA INC.,Active
desipramine,'38779042905',NA,NA,MEDISCA INC.,Active
desipramine,'38779042910',NA,NA,MEDISCA INC.,Active
desipramine,'38779042915',NA,NA,MEDISCA INC.,Active
desipramine,'38779042925',NA,NA,MEDISCA INC.,Active
desipramine,'51927189700',NA,NA,PROFESSIONAL CO,Active
desipramine,'00182130301',10,mg,IVAX/GOLDLINE L,Active
desipramine,'00182265201',10,mg,IVAX/GOLDLINE L,Active
desipramine,'00185002901',10,mg,EON LABS,Active
desipramine,'00185002910',10,mg,VITARINE,Active
desipramine,'00304195401',10,mg,J.J.BALAN INC.,Active
desipramine,'00349881101',10,mg,PARMED PHARM.,Active
desipramine,'00536498001',10,mg,RUGBY,Active
desipramine,'00677124501',10,mg,URL PHARMA,Active
desipramine,'00719129610',10,mg,BIOLINE,Active
desipramine,'00781197101',10,mg,SANDOZ,Active
desipramine,'00781521801',10,mg,SANDOZ,Active
desipramine,'00839748706',10,mg,H L MOORE,Active
desipramine,'00904116960',10,mg,MAJOR PHARMACEU,Active
desipramine,'00955103010',10,mg,WINTHROP US,Active
desipramine,'11845031101',10,mg,MASON DISTRIB.,Active
desipramine,'16590083030',10,mg,STAT RX USA,Active
desipramine,'17236064501',10,mg,DIXON-SHANE,Active
desipramine,'21695084560',10,mg,PHYSICIAN PARTN,Active
desipramine,'23490539101',10,mg,PALMETTO STATE,Active
desipramine,'45963034102',10,mg,ACTAVIS PHARMA,Active
desipramine,'47202291401',10,mg,TEXAS DRUG REPS,Active
desipramine,'51432012503',10,mg,HARBER PHARM.,Active
desipramine,'52152034102',10,mg,ACTAVIS TOTOWA,Active
desipramine,'52959012830',10,mg,PHARMA PAC,Active
desipramine,'54274013710',10,mg,BEST GENERICS,Active
desipramine,'54274013750',10,mg,BEST GENERICS,Active
desipramine,'54868254600',10,mg,PHYSICIANS TC.,Active
desipramine,'58016050200',10,mg,SOUTHWOOD PHARM,Active
desipramine,'58016050215',10,mg,SOUTHWOOD PHARM,Active
desipramine,'58016050228',10,mg,SOUTHWOOD PHARM,Active
desipramine,'58016050230',10,mg,SOUTHWOOD PHARM,Active
desipramine,'58016050250',10,mg,SOUTHWOOD PHARM,Active
desipramine,'58016050260',10,mg,SOUTHWOOD PHARM,Active
desipramine,'69238105301',10,mg,AMNEAL PHARMACE,Active
desipramine,'69238105303',10,mg,AMNEAL PHARMACE,Active
desipramine,'00093032801',100,mg,LEMMON COMPANY,Active
desipramine,'00182131601',100,mg,IVAX/GOLDLINE L,Active
desipramine,'00182131605',100,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133701',100,mg,IVAX/GOLDLINE L,Active
desipramine,'00182187401',100,mg,IVAX/GOLDLINE L,Active
desipramine,'00185073601',100,mg,EON LABS,Active
desipramine,'00185073605',100,mg,EON LABS,Active
desipramine,'00302139101',100,mg,GENETCO,Active
desipramine,'00304190501',100,mg,J.J.BALAN INC.,Active
desipramine,'00349876501',100,mg,PARMED PHARM.,Active
desipramine,'00364224401',100,mg,SCHEIN,Active
desipramine,'00405430801',100,mg,ALIGEN,Active
desipramine,'00536486401',100,mg,RUGBY,Active
desipramine,'00536488401',100,mg,RUGBY,Active
desipramine,'00536495801',100,mg,RUGBY,Active
desipramine,'00591054501',100,mg,WATSON LABS,Active
desipramine,'00615452253',100,mg,VANGARD,Active
desipramine,'00615452263',100,mg,VANGARD,Active
desipramine,'00615452265',100,mg,VANGARD,Active
desipramine,'00677121101',100,mg,URL PHARMA,Active
desipramine,'00719123710',100,mg,BIOLINE,Active
desipramine,'00719132410',100,mg,BIOLINE,Active
desipramine,'00781197501',100,mg,SANDOZ,Active
desipramine,'00832104500',100,mg,PHARMA. BASICS,Active
desipramine,'00839741206',100,mg,H L MOORE,Active
desipramine,'00904156760',100,mg,MAJOR PHARMACEU,Active
desipramine,'00904157360',100,mg,MAJOR PHARMACEU,Active
desipramine,'00904157361',100,mg,MAJOR PHARMACEU,Active
desipramine,'00955103410',100,mg,WINTHROP US,Active
desipramine,'11845031501',100,mg,MASON DISTRIB.,Active
desipramine,'16590058630',100,mg,STAT RX USA,Active
desipramine,'16590058660',100,mg,STAT RX USA,Active
desipramine,'16590058672',100,mg,STAT RX USA,Active
desipramine,'16590058690',100,mg,STAT RX USA,Active
desipramine,'17236048201',100,mg,DIXON-SHANE,Active
desipramine,'23490539201',100,mg,PALMETTO STATE,Active
desipramine,'45963034502',100,mg,ACTAVIS PHARMA,Active
desipramine,'47202286001',100,mg,TEXAS DRUG REPS,Active
desipramine,'50111043901',100,mg,SIDMAK LABS,Active
desipramine,'51432011903',100,mg,HARBER PHARM.,Active
desipramine,'52152034502',100,mg,ACTAVIS TOTOWA,Active
desipramine,'52152034504',100,mg,ACTAVIS TOTOWA,Active
desipramine,'52544054501',100,mg,WATSON PHARMA,Active
desipramine,'52555024501',100,mg,MARTEC PHARM.,Active
desipramine,'54274014310',100,mg,BEST GENERICS,Active
desipramine,'54274023110',100,mg,BEST GENERICS,Active
desipramine,'63629399001',100,mg,BRYANT RANCH PR,Active
desipramine,'63629399002',100,mg,BRYANT RANCH PR,Active
desipramine,'66267062630',100,mg,NUCARE PHARMACE,Active
desipramine,'69238106101',100,mg,AMNEAL PHARMACE,Active
desipramine,'00182130401',150,mg,IVAX/GOLDLINE L,Active
desipramine,'00182130419',150,mg,IVAX/GOLDLINE L,Active
desipramine,'00182265319',150,mg,IVAX/GOLDLINE L,Active
desipramine,'00185076001',150,mg,VITARINE,Active
desipramine,'00185076053',150,mg,EON LABS,Active
desipramine,'00304195501',150,mg,J.J.BALAN INC.,Active
desipramine,'00349881201',150,mg,PARMED PHARM.,Active
desipramine,'00536498101',150,mg,RUGBY,Active
desipramine,'00677124601',150,mg,URL PHARMA,Active
desipramine,'00719129715',150,mg,BIOLINE,Active
desipramine,'00781197650',150,mg,SANDOZ,Active
desipramine,'00839748806',150,mg,H L MOORE,Active
desipramine,'00904157460',150,mg,MAJOR PHARMACEU,Active
desipramine,'00955103505',150,mg,WINTHROP US,Active
desipramine,'11845031601',150,mg,MASON DISTRIB.,Active
desipramine,'17236045201',150,mg,DIXON-SHANE,Active
desipramine,'45963034650',150,mg,ACTAVIS PHARMA,Active
desipramine,'47202291501',150,mg,TEXAS DRUG REPS,Active
desipramine,'50111044005',150,mg,SIDMAK LABS,Active
desipramine,'51432013103',150,mg,HARBER PHARM.,Active
desipramine,'52152034650',150,mg,ACTAVIS TOTOWA,Active
desipramine,'69238106302',150,mg,AMNEAL PHARMACE,Active
desipramine,'00047059424',25,mg,WARNER-CHILCOTT,Active
desipramine,'00093032501',25,mg,TEVA USA,Active
desipramine,'00182133201',25,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133210',25,mg,IVAX/GOLDLINE L,Active
desipramine,'00182133289',25,mg,IVAX/GOLDLINE L,Active
desipramine,'00182184801',25,mg,IVAX/GOLDLINE L,Active
desipramine,'00182184889',25,mg,IVAX/GOLDLINE L,Active
desipramine,'00185001901',25,mg,EON LABS,Active
desipramine,'00185001905',25,mg,EON LABS,Active
desipramine,'00185001910',25,mg,EON LABS,Active
desipramine,'00247003807',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003814',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003815',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003820',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003825',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003830',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003840',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003860',25,mg,PRESCRIPT PHARM,Active
desipramine,'00247003890',25,mg,PRESCRIPT PHARM,Active
desipramine,'00302138801',25,mg,GENETCO,Active
desipramine,'00304184800',25,mg,J.J.BALAN INC.,Active
