drug_name,ndc,strength,strength_uom,manufacturer,status
Gaboxetine,'68405801426',10,mg,PHYSICIAN THERA,Inactive
Prozac,'00247064407',10,mg,PRESCRIPT PHARM,Active
Prozac,'00247064410',10,mg,PRESCRIPT PHARM,Active
Prozac,'00247064414',10,mg,PRESCRIPT PHARM,Active
Prozac,'00247064428',10,mg,PRESCRIPT PHARM,Active
Prozac,'00247064430',10,mg,PRESCRIPT PHARM,Active
Prozac,'00247064460',10,mg,PRESCRIPT PHARM,Active
Prozac,'00777310401',10,mg,DISTA LABS,Active
Prozac,'00777310402',10,mg,DISTA LABS,Active
Prozac,'00777310407',10,mg,DISTA LABS,Active
Prozac,'00777310481',10,mg,DISTA LABS,Active
Prozac,'00777310482',10,mg,DISTA LABS,Active
Prozac,'52959066530',10,mg,PHARMA PAC,Active
Prozac,'54569412900',10,mg,A-S MEDICATION,Active
Prozac,'54868303300',10,mg,PHYSICIANS TC.,Active
Prozac,'54868303302',10,mg,PHYSICIANS TC.,Active
Prozac,'55289030814',10,mg,PD-RX PHARM,Active
Prozac,'55289030821',10,mg,PD-RX PHARM,Active
Prozac,'55289030828',10,mg,PD-RX PHARM,Active
Prozac,'55289030830',10,mg,PD-RX PHARM,Active
Prozac,'61392023430',10,mg,HEARTLAND HLTH,Active
Prozac,'61392023451',10,mg,HEARTLAND HLTH,Active
Prozac,'61392023454',10,mg,HEARTLAND HLTH,Active
Prozac,'61392023456',10,mg,HEARTLAND HLTH,Active
Prozac,'61392023460',10,mg,HEARTLAND HLTH,Active
Prozac,'61392023490',10,mg,HEARTLAND HLTH,Active
Prozac,'00247037200',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037203',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037207',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037214',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037215',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037228',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037230',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037252',20,mg,PRESCRIPT PHARM,Active
Prozac,'00247037260',20,mg,PRESCRIPT PHARM,Active
