drug_name,ndc,strength,strength_uom,manufacturer,status
Alprazolam Intensol,'00054306844',1,mg/mL,ROXANE/WEST-WAR,Active
Gabazolamine,'68405802426',0.25,mg,PHYSICIAN THERA,Inactive
Niravam,'00091332101',0.25,mg,JAZZ PHARMACEUT,Inactive
Niravam,'18860032101',0.25,mg,JAZZ PHARMACEUT,Inactive
Niravam,'33358026300',0.25,mg,CORE PHARMACEUT,Inactive
Niravam,'00091332201',0.5,mg,JAZZ PHARMACEUT,Inactive
Niravam,'16590093872',0.5,mg,STAT RX USA,Inactive
Niravam,'18860032201',0.5,mg,JAZZ PHARMACEUT,Inactive
Niravam,'33358026400',0.5,mg,CORE PHARMACEUT,Inactive
Niravam,'54569578600',0.5,mg,A-S MEDICATION,Inactive
Niravam,'00091332301',1,mg,JAZZ PHARMACEUT,Inactive
Niravam,'18860032301',1,mg,JAZZ PHARMACEUT,Inactive
Niravam,'54569578700',1,mg,A-S MEDICATION,Inactive
Niravam,'00091332401',2,mg,JAZZ PHARMACEUT,Inactive
Niravam,'18860032401',2,mg,JAZZ PHARMACEUT,Inactive
Xanax,'00009002901',0.25,mg,PHARMACIA/UPJHN,Active
Xanax,'00009002902',0.25,mg,PHARMACIA/UPJHN,Active
Xanax,'00009002903',0.25,mg,UPJOHN CO.,Active
Xanax,'00009002909',0.25,mg,UPJOHN CO.,Active
Xanax,'00009002914',0.25,mg,PHARMACIA/UPJHN,Active
Xanax,'00009002917',0.25,mg,UPJOHN CO.,Active
Xanax,'00009002920',0.25,mg,UPJOHN CO.,Active
Xanax,'00009002946',0.25,mg,PHARMACIA/UPJHN,Active
Xanax,'35356001300',0.25,mg,QUALITY CARE,Active
Xanax,'52959032230',0.25,mg,PHARMA PAC,Active
Xanax,'53002041820',0.25,mg,PHARMEDIX,Active
Xanax,'53002041830',0.25,mg,PHARMEDIX,Active
Xanax,'53506084230',0.25,mg,HSN REDI-MED,Active
Xanax,'54124002930',0.25,mg,OMEGA LABS.,Active
Xanax,'54124002960',0.25,mg,OMEGA LABS.,Active
Xanax,'54569095300',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095301',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095302',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095303',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095304',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095305',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095306',0.25,mg,A-S MEDICATION,Active
Xanax,'54569095307',0.25,mg,A-S MEDICATION,Active
Xanax,'54868099200',0.25,mg,PHYSICIANS TC.,Active
Xanax,'54868099201',0.25,mg,PHYSICIANS TC.,Active
Xanax,'54868099202',0.25,mg,PHYSICIANS TC.,Active
Xanax,'54868099203',0.25,mg,PHYSICIANS TC.,Active
Xanax,'54868099204',0.25,mg,PHYSICIANS TC.,Active
Xanax,'55081059000',0.25,mg,CLINICAL PHARM,Active
Xanax,'55081059001',0.25,mg,CLINICAL PHARM,Active
Xanax,'55289034610',0.25,mg,PD-RX PHARM,Active
Xanax,'55289034620',0.25,mg,PD-RX PHARM,Active
Xanax,'55289034630',0.25,mg,PD-RX PHARM,Active
Xanax,'55947052615',0.25,mg,PREPAQ,Active
Xanax,'55947052630',0.25,mg,PREPAQ,Active
Xanax,'60346005110',0.25,mg,QUALITY CARE PH,Active
Xanax,'60346005120',0.25,mg,QUALITY CARE PH,Active
Xanax,'60346005130',0.25,mg,QUALITY CARE PH,Active
Xanax,'60346005160',0.25,mg,QUALITY CARE PH,Active
Xanax,'00009005501',0.5,mg,PHARMACIA/UPJHN,Active
Xanax,'00009005502',0.5,mg,UPJOHN CO.,Active
Xanax,'00009005503',0.5,mg,PHARMACIA/UPJHN,Active
Xanax,'00009005504',0.5,mg,UPJOHN CO.,Active
Xanax,'00009005515',0.5,mg,PHARMACIA/UPJHN,Active
Xanax,'00009005518',0.5,mg,UPJOHN CO.,Active
Xanax,'00009005522',0.5,mg,UPJOHN CO.,Active
Xanax,'00009005546',0.5,mg,PHARMACIA/UPJHN,Active
Xanax,'12280005600',0.5,mg,"DISPENSEXPRESS,",Active
Xanax,'12280005660',0.5,mg,"DISPENSEXPRESS,",Active
Xanax,'52959016220',0.5,mg,PHARMA PAC,Active
Xanax,'53002039515',0.5,mg,PHARMEDIX,Active
Xanax,'53002039516',0.5,mg,PHARMEDIX,Active
Xanax,'53002039530',0.5,mg,PHARMEDIX,Active
Xanax,'53002039550',0.5,mg,PHARMEDIX,Active
Xanax,'53467005515',0.5,mg,PHYS PHARM SVC,Active
Xanax,'53467005530',0.5,mg,PHYS PHARM SVC,Active
Xanax,'53506084315',0.5,mg,HSN REDI-MED,Active
Xanax,'53506084320',0.5,mg,HSN REDI-MED,Active
Xanax,'53506084330',0.5,mg,HSN REDI-MED,Active
Xanax,'54124026002',0.5,mg,OMEGA LABS.,Active
Xanax,'54124026003',0.5,mg,OMEGA LABS.,Active
Xanax,'54124026030',0.5,mg,OMEGA LABS.,Active
Xanax,'54569095400',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095401',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095402',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095403',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095404',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095405',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095406',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095407',0.5,mg,A-S MEDICATION,Active
Xanax,'54569095408',0.5,mg,A-S MEDICATION,Active
Xanax,'54868052201',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052202',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052203',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052204',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052205',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052206',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052207',0.5,mg,PHYSICIANS TC.,Active
Xanax,'54868052208',0.5,mg,PHYSICIANS TC.,Active
Xanax,'55081059100',0.5,mg,CLINICAL PHARM,Active
Xanax,'55081059101',0.5,mg,CLINICAL PHARM,Active
Xanax,'55289001130',0.5,mg,PD-RX PHARM,Active
Xanax,'58016084709',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'58016084710',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'58016084715',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'58016084720',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'58016084730',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'58016084760',0.5,mg,SOUTHWOOD PHARM,Active
Xanax,'60346056710',0.5,mg,QUALITY CARE PH,Active
Xanax,'60346056715',0.5,mg,QUALITY CARE PH,Active
Xanax,'60346056720',0.5,mg,QUALITY CARE PH,Active
Xanax,'60346056730',0.5,mg,QUALITY CARE PH,Active
Xanax,'60346056790',0.5,mg,QUALITY CARE PH,Active
Xanax,'00009009001',1,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009002',1,mg,UPJOHN CO.,Active
Xanax,'00009009004',1,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009013',1,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009015',1,mg,UPJOHN CO.,Active
Xanax,'00009009017',1,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009027',1,mg,UPJOHN CO.,Active
Xanax,'00009009046',1,mg,PHARMACIA/UPJHN,Active
Xanax,'54124009030',1,mg,OMEGA LABS.,Active
Xanax,'54124009060',1,mg,OMEGA LABS.,Active
Xanax,'54569176900',1,mg,A-S MEDICATION,Active
Xanax,'54569176901',1,mg,A-S MEDICATION,Active
Xanax,'54569176902',1,mg,A-S MEDICATION,Active
Xanax,'54868125100',1,mg,PHYSICIANS TC.,Active
Xanax,'54868125101',1,mg,PHYSICIANS TC.,Active
Xanax,'54868125102',1,mg,PHYSICIANS TC.,Active
Xanax,'55289034530',1,mg,PD-RX PHARM,Active
Xanax,'58016009900',1,mg,SOUTHWOOD PHARM,Active
Xanax,'58016009930',1,mg,SOUTHWOOD PHARM,Active
Xanax,'58016009960',1,mg,SOUTHWOOD PHARM,Active
Xanax,'58016009990',1,mg,SOUTHWOOD PHARM,Active
Xanax,'60346007510',1,mg,QUALITY CARE PH,Active
Xanax,'60346007530',1,mg,QUALITY CARE PH,Active
Xanax,'00009009401',2,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009402',2,mg,UPJOHN CO.,Active
Xanax,'00009009403',2,mg,PHARMACIA/UPJHN,Active
Xanax,'00009009407',2,mg,UPJOHN CO.,Active
Xanax,'58016003300',2,mg,SOUTHWOOD PHARM,Active
Xanax,'58016003330',2,mg,SOUTHWOOD PHARM,Active
Xanax,'58016003360',2,mg,SOUTHWOOD PHARM,Active
Xanax,'58016003390',2,mg,SOUTHWOOD PHARM,Active
Xanax XR,'00009005707',0.5,mg,PHARMACIA/UPJHN,Active
Xanax XR,'00009005907',1,mg,PHARMACIA/UPJHN,Active
Xanax XR,'12280028660',1,mg,"DISPENSEXPRESS,",Active
Xanax XR,'00009006607',2,mg,PHARMACIA/UPJHN,Active
Xanax XR,'16590068230',2,mg,STAT RX USA,Active
Xanax XR,'16590068260',2,mg,STAT RX USA,Active
Xanax XR,'16590068290',2,mg,STAT RX USA,Active
Xanax XR,'66267130606',2,mg,NUCARE PHARMACE,Active
Xanax XR,'00009006807',3,mg,PHARMACIA/UPJHN,Active
alprazolam,'00005334031',0.25,mg,ESI LEDERLE,Active
alprazolam,'00005334043',0.25,mg,ESI LEDERLE,Active
alprazolam,'00047078724',0.25,mg,WARNER-CHILCOTT,Active
alprazolam,'00047078730',0.25,mg,WARNER-CHILCOTT,Active
alprazolam,'00054410425',0.25,mg,ROXANE LABS.,Active
alprazolam,'00054410429',0.25,mg,ROXANE LABS.,Active
alprazolam,'00054810424',0.25,mg,ROXANE LABS.,Active
alprazolam,'00054810425',0.25,mg,ROXANE LABS.,Active
alprazolam,'00172483560',0.25,mg,IVAX PHARMACEUT,Active
alprazolam,'00172483570',0.25,mg,IVAX PHARMACEUT,Active
alprazolam,'00172483580',0.25,mg,IVAX PHARMACEUT,Active
alprazolam,'00182002701',0.25,mg,IVAX/GOLDLINE L,Active
alprazolam,'00182002705',0.25,mg,IVAX/GOLDLINE L,Active
alprazolam,'00182002789',0.25,mg,IVAX/GOLDLINE L,Active
alprazolam,'00228202710',0.25,mg,ACTAVIS PHARMA,Active
alprazolam,'00228202750',0.25,mg,ACTAVIS PHARMA,Active
alprazolam,'00228202796',0.25,mg,ACTAVIS PHARMA,Active
alprazolam,'00247020801',0.25,mg,PRESCRIPT PHARM,Active
alprazolam,'00247020807',0.25,mg,PRESCRIPT PHARM,Active
alprazolam,'00247020810',0.25,mg,PRESCRIPT PHARM,Active
alprazolam,'00247020814',0.25,mg,PRESCRIPT PHARM,Active
alprazolam,'00247020830',0.25,mg,PRESCRIPT PHARM,Active
alprazolam,'00364258201',0.25,mg,SCHEIN,Active
alprazolam,'00364258205',0.25,mg,SCHEIN,Active
alprazolam,'00378400101',0.25,mg,MYLAN,Active
alprazolam,'00378400105',0.25,mg,MYLAN,Active
alprazolam,'00378400177',0.25,mg,MYLAN,Active
alprazolam,'00403444030',0.25,mg,COMPUMED INC.,Active
alprazolam,'00405404301',0.25,mg,ALIGEN,Active
alprazolam,'00405404302',0.25,mg,ALIGEN,Active
alprazolam,'00440707006',0.25,mg,LIBERTY PHARM,Active
alprazolam,'00440707030',0.25,mg,LIBERTY PHARM,Active
alprazolam,'00440707060',0.25,mg,LIBERTY PHARM,Active
alprazolam,'00440707090',0.25,mg,LIBERTY PHARM,Active
alprazolam,'00536323501',0.25,mg,RUGBY,Active
alprazolam,'00536323505',0.25,mg,RUGBY,Active
alprazolam,'00536323510',0.25,mg,RUGBY,Active
alprazolam,'00536559601',0.25,mg,RUGBY,Active
alprazolam,'00536559605',0.25,mg,RUGBY,Active
alprazolam,'00603212721',0.25,mg,QUALITEST,Active
alprazolam,'00603212728',0.25,mg,QUALITEST,Active
alprazolam,'00603212732',0.25,mg,QUALITEST,Active
alprazolam,'00603234621',0.25,mg,QUALITEST,Active
alprazolam,'00603234628',0.25,mg,QUALITEST,Active
alprazolam,'00615042613',0.25,mg,VANGARD,Active
alprazolam,'00615042629',0.25,mg,VANGARD,Active
alprazolam,'00615042643',0.25,mg,VANGARD,Active
alprazolam,'00615042653',0.25,mg,VANGARD,Active
alprazolam,'00615042663',0.25,mg,VANGARD,Active
alprazolam,'00615042665',0.25,mg,VANGARD,Active
alprazolam,'00677149601',0.25,mg,URL PHARMA,Active
alprazolam,'00677149605',0.25,mg,URL PHARMA,Active
