drug_name,ndc,strength,strength_uom,manufacturer,status
Active-Pac,'45861010801',300-4-1,mg-%-%,PHARMACEUTICA N,Active
Gabarone,'00182271801',100,mg,IVAX PHARMACEUT,Inactive
Gabarone,'00182271901',300,mg,IVAX PHARMACEUT,Inactive
Gabarone,'00182272001',400,mg,IVAX PHARMACEUT,Inactive
Gralise,'13913000413',300,mg,"DEPOMED, INC.",Active
Gralise,'13913000419',300,mg,"DEPOMED, INC.",Active
Gralise,'13913000519',600,mg,"DEPOMED, INC.",Active
Gralise,'50436126203',600,mg,UNIT DOSE SERVI,Active
Gralise,'54569637200',600,mg,A-S MEDICATION,Active
Gralise 30-Day Starter Pack,'13913000616',300 mg (9)-,600 mg (69),"DEPOMED, INC.",Active
Gralise 30-Day Starter Pack,'54569637100',300 mg (9)-,600 mg (69),A-S MEDICATION,Active
Horizant,'53451010301',300,mg,XENOPORT/ARBOR,Active
Horizant,'00173080601',600,mg,GLAXOSMITHKLINE,Active
Horizant,'53451010101',600,mg,XENOPORT/ARBOR,Active
Neurontin,'00071080324',100,mg,PFIZER US PHARM,Active
Neurontin,'00071080340',100,mg,PFIZER US PHARM,Active
Neurontin,'52959050600',100,mg,PHARMA PAC,Active
Neurontin,'52959050602',100,mg,PHARMA PAC,Active
Neurontin,'52959050614',100,mg,PHARMA PAC,Active
Neurontin,'52959050620',100,mg,PHARMA PAC,Active
Neurontin,'52959050621',100,mg,PHARMA PAC,Active
Neurontin,'52959050630',100,mg,PHARMA PAC,Active
Neurontin,'52959050645',100,mg,PHARMA PAC,Active
Neurontin,'52959050660',100,mg,PHARMA PAC,Active
Neurontin,'52959050690',100,mg,PHARMA PAC,Active
Neurontin,'54569457600',100,mg,A-S MEDICATION,Active
Neurontin,'54569457601',100,mg,A-S MEDICATION,Active
Neurontin,'54868352900',100,mg,PHYSICIANS TC.,Active
Neurontin,'54868352901',100,mg,PHYSICIANS TC.,Active
Neurontin,'54868352902',100,mg,PHYSICIANS TC.,Active
Neurontin,'54868352903',100,mg,PHYSICIANS TC.,Active
Neurontin,'55045269600',100,mg,DRX,Active
Neurontin,'55045269606',100,mg,DRX,Active
Neurontin,'55045269608',100,mg,DRX,Active
Neurontin,'55289084330',100,mg,PD-RX PHARM,Active
Neurontin,'55887054030',100,mg,DHS INC.,Active
Neurontin,'55887054060',100,mg,DHS INC.,Active
Neurontin,'55887054082',100,mg,DHS INC.,Active
Neurontin,'55887054090',100,mg,DHS INC.,Active
Neurontin,'58016042700',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042710',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042714',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042715',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042720',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042721',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042728',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042730',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042740',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042750',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042760',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58016042790',100,mg,SOUTHWOOD PHARM,Active
Neurontin,'58864071260',100,mg,PD-RX PHARM,Active
Neurontin,'63874070601',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070604',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070610',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070614',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070618',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070620',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070621',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070628',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070630',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070640',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070660',100,mg,ALTURA PHARMA,Active
Neurontin,'63874070690',100,mg,ALTURA PHARMA,Active
Neurontin,'66267033930',100,mg,NUCARE PHARMACE,Active
Neurontin,'66267033945',100,mg,NUCARE PHARMACE,Active
Neurontin,'66267033990',100,mg,NUCARE PHARMACE,Active
Neurontin,'67544020060',100,mg,APHENA PHARMA S,Active
Neurontin,'68115025300',100,mg,"DISPENSEXPRESS,",Active
Neurontin,'68115025330',100,mg,"DISPENSEXPRESS,",Active
Neurontin,'68115025360',100,mg,"DISPENSEXPRESS,",Active
