drug_name,ndc,strength,strength_uom,manufacturer,status
Alsuma,'27505000200',6,mg/0.5 mL,PFIZER US PHARM,Active
Imitrex,'00173052300',20,mg/actuation,GLAXOSMITHKLINE,Active
Imitrex,'49999082206',20,mg/actuation,QUALITY CARE,Active
Imitrex,'54569458800',20,mg/actuation,A-S MEDICATION,Active
Imitrex,'54868460600',20,mg/actuation,PHYSICIANS TC.,Active
Imitrex,'55045350201',20,mg/actuation,DRX,Active
Imitrex,'58016123101',20,mg/actuation,SOUTHWOOD PHARM,Active
Imitrex,'00173052400',5,mg/actuation,GLAXOSMITHKLINE,Active
Imitrex,'54868476400',5,mg/actuation,PHYSICIANS TC.,Active
Imitrex,'55045373206',5,mg/actuation,DRX,Active
Imitrex,'00173045003',100,mg,GLAXOSMITHKLINE,Active
Imitrex,'00173073701',100,mg,GLAXOSMITHKLINE,Active
Imitrex,'00173073702',100,mg,GLAXOSMITHKLINE,Active
Imitrex,'16590012809',100,mg,STAT RX USA,Active
Imitrex,'35356025409',100,mg,QUALITY CARE,Active
Imitrex,'52959090909',100,mg,PHARMA PAC,Active
Imitrex,'54569542600',100,mg,A-S MEDICATION,Active
Imitrex,'54569542601',100,mg,A-S MEDICATION,Active
Imitrex,'54868511800',100,mg,PHYSICIANS TC.,Active
Imitrex,'55045373109',100,mg,DRX,Active
Imitrex,'55887044109',100,mg,DHS INC.,Active
Imitrex,'68115090709',100,mg,"DISPENSEXPRESS,",Active
Imitrex,'00173046002',25,mg,GLAXOSMITHKLINE,Active
Imitrex,'00173073500',25,mg,GLAXOSMITHKLINE,Active
Imitrex,'16590012709',25,mg,STAT RX USA,Active
Imitrex,'52959042209',25,mg,PHARMA PAC,Active
Imitrex,'54569419000',25,mg,A-S MEDICATION,Active
Imitrex,'54868377700',25,mg,PHYSICIANS TC.,Active
Imitrex,'55045225009',25,mg,DRX,Active
Imitrex,'55175405509',25,mg,CHESHIRE DRUGS,Active
Imitrex,'55887051309',25,mg,DHS INC.,Active
Imitrex,'58016024609',25,mg,SOUTHWOOD PHARM,Active
Imitrex,'00173045900',50,mg,GLAXOSMITHKLINE,Active
Imitrex,'00173073601',50,mg,GLAXOSMITHKLINE,Active
Imitrex,'00173073602',50,mg,GLAXOSMITHKLINE,Active
Imitrex,'21695015409',50,mg,PHYSICIAN PARTN,Active
Imitrex,'35356025309',50,mg,QUALITY CARE,Active
Imitrex,'35356025318',50,mg,QUALITY CARE,Active
Imitrex,'52959047709',50,mg,PHARMA PAC,Active
Imitrex,'54569419100',50,mg,A-S MEDICATION,Active
Imitrex,'54569419101',50,mg,A-S MEDICATION,Active
Imitrex,'54868385200',50,mg,PHYSICIANS TC.,Active
Imitrex,'55045304009',50,mg,DRX,Active
Imitrex,'58016557409',50,mg,SOUTHWOOD PHARM,Active
Imitrex,'68115069609',50,mg,"DISPENSEXPRESS,",Active
Imitrex,'00173044902',6,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex,'54569370400',6,mg/0.5 mL,A-S MEDICATION,Active
Imitrex,'54868265200',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex,'54868265201',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex,'55045351201',6,mg/0.5 mL,DRX,Active
Imitrex,'00173044903',6,mg/0.5 mL,CERENEX PHARM,Inactive
Imitrex,'54569450500',6,mg/0.5 mL,A-S MEDICATION,Inactive
Imitrex STATdose Kit Refill,'00173073902',4,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex STATdose Kit Refill,'00173044901',6,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex STATdose Kit Refill,'00173047800',6,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex STATdose Kit Refill,'54569370600',6,mg/0.5 mL,A-S MEDICATION,Active
Imitrex STATdose Kit Refill,'54569451100',6,mg/0.5 mL,A-S MEDICATION,Active
Imitrex STATdose Kit Refill,'54868396000',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex STATdose Kit Refill,'55045327101',6,mg/0.5 mL,DRX,Active
Imitrex STATdose Pen,'00173073900',4,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex STATdose Pen,'00173047900',6,mg/0.5 mL,GLAXOSMITHKLINE,Active
Imitrex STATdose Pen,'54569370500',6,mg/0.5 mL,A-S MEDICATION,Active
Imitrex STATdose Pen,'54868318000',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex STATdose Pen,'54868318100',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex STATdose Pen,'54868395900',6,mg/0.5 mL,PHYSICIANS TC.,Active
Imitrex STATdose Pen,'68115077002',6,mg/0.5 mL,"DISPENSEXPRESS,",Active
Onzetra Xsail,'64597031108',11,mg,AVANIR PHARMACE,Active
Sumavel DosePro,'43376010401',4,mg/0.5 mL,ENDO PHARM INC.,Active
Sumavel DosePro,'43376010406',4,mg/0.5 mL,ENDO PHARM INC.,Active
Sumavel DosePro,'63481022901',4,mg/0.5 mL,ENDO PHARM INC.,Active
Sumavel DosePro,'63481022906',4,mg/0.5 mL,ENDO PHARM INC.,Active
Sumavel DosePro,'42254029701',6,mg/0.5 mL,PHYSICIAN PARTN,Active
Sumavel DosePro,'43376010601',6,mg/0.5 mL,ENDO PHARM INC.,Active
Sumavel DosePro,'43376010606',6,mg/0.5 mL,ENDO PHARM INC.,Active
